scheme,family,model_a,model_b,delta_a_minus_b
C_PSEUDO_MATCHED_3F,standalone,SEQ-AVG3,DIST,-0.0011088441720503717
C_PSEUDO_MATCHED_3F,standalone,SEQ-AVG3,ETX-AVG3,0.0002290697621911697
C_PSEUDO_MATCHED_3F,standalone,SEQ-AVG3,SEQ-AVG3,0.0
C_PSEUDO_MATCHED_3F,standalone,SEQ-AVG3,BTYD,-0.04988468222502518
C_PSEUDO_MATCHED_3F,standalone,BTYD,CAP,0.04002428056952834
C_PSEUDO_MATCHED_3F,standalone,BTYD,DIST,0.04877583805297481
C_PSEUDO_MATCHED_3F,standalone,BTYD,ETX-AVG3,0.05011375198721635
C_PSEUDO_MATCHED_3F,standalone,BTYD,SEQ-AVG3,0.04988468222502518
C_PSEUDO_MATCHED_3F,standalone,BTYD,BTYD,0.0
C_PSEUDO_MATCHED_3F,reference,UNC,UNC,0.0
C_PSEUDO_MATCHED_3F,incremental,BTYD05,BTYD05,0.0
C_PSEUDO_MATCHED_3F,incremental,BTYD05,FRESH,-8.794903036135615e-05
C_PSEUDO_MATCHED_3F,incremental,BTYD05,ZERO2D,-0.00028339044589786866
C_PSEUDO_MATCHED_3F,incremental,BTYD05,SEQ_SLOT_25,-0.0003000759996696356
C_PSEUDO_MATCHED_3F,incremental,BTYD05,SEQ_SLOT_50,-0.00033971253595055373
C_PSEUDO_MATCHED_3F,incremental,BTYD05,SEQ_SLOT_75,-0.0005352848101018992
C_PSEUDO_MATCHED_3F,incremental,BTYD05,BTYD05_FRESH1,0.0002115932221644634
C_PSEUDO_MATCHED_3F,incremental,FRESH,BTYD05,8.794903036135615e-05
C_PSEUDO_MATCHED_3F,incremental,FRESH,FRESH,0.0
C_PSEUDO_MATCHED_3F,incremental,FRESH,ZERO2D,-0.0001954414155365125
C_PSEUDO_MATCHED_3F,incremental,FRESH,SEQ_SLOT_25,-0.00021212696930827946
C_PSEUDO_MATCHED_3F,incremental,FRESH,SEQ_SLOT_50,-0.0002517635055891976
C_PSEUDO_MATCHED_3F,incremental,FRESH,SEQ_SLOT_75,-0.00044733577974054306
C_PSEUDO_MATCHED_3F,incremental,FRESH,BTYD05_FRESH1,0.00029954225252581956
C_PSEUDO_MATCHED_3F,incremental,ZERO2D,BTYD05,0.00028339044589786866
C_PSEUDO_MATCHED_3F,incremental,ZERO2D,FRESH,0.0001954414155365125
C_PSEUDO_MATCHED_3F,incremental,ZERO2D,ZERO2D,0.0
C_PSEUDO_MATCHED_3F,incremental,ZERO2D,SEQ_SLOT_25,-1.6685553771766948e-05
C_PSEUDO_MATCHED_3F,incremental,ZERO2D,SEQ_SLOT_50,-5.632209005268507e-05
C_PSEUDO_MATCHED_3F,incremental,ZERO2D,SEQ_SLOT_75,-0.00025189436420403055
C_PSEUDO_MATCHED_3F,incremental,ZERO2D,BTYD05_FRESH1,0.0004949836680623321
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_25,BTYD05,0.0003000759996696356
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_25,FRESH,0.00021212696930827946
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_25,ZERO2D,1.6685553771766948e-05
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_25,SEQ_SLOT_25,0.0
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_25,SEQ_SLOT_50,-3.963653628091812e-05
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_25,SEQ_SLOT_75,-0.0002352088104322636
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_25,BTYD05_FRESH1,0.000511669221834099
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_50,BTYD05,0.00033971253595055373
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_50,FRESH,0.0002517635055891976
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_50,ZERO2D,5.632209005268507e-05
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_50,SEQ_SLOT_25,3.963653628091812e-05
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_50,SEQ_SLOT_50,0.0
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_50,SEQ_SLOT_75,-0.00019557227415134548
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_50,BTYD05_FRESH1,0.0005513057581150171
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_75,BTYD05,0.0005352848101018992
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_75,FRESH,0.00044733577974054306
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_75,ZERO2D,0.00025189436420403055
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_75,SEQ_SLOT_25,0.0002352088104322636
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_75,SEQ_SLOT_50,0.00019557227415134548
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_75,SEQ_SLOT_75,0.0
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_75,BTYD05_FRESH1,0.0007468780322663626
C_PSEUDO_MATCHED_3F,incremental,BTYD05_FRESH1,BTYD05,-0.0002115932221644634
C_PSEUDO_MATCHED_3F,incremental,BTYD05_FRESH1,FRESH,-0.00029954225252581956
C_PSEUDO_MATCHED_3F,incremental,BTYD05_FRESH1,ZERO2D,-0.0004949836680623321
C_PSEUDO_MATCHED_3F,incremental,BTYD05_FRESH1,SEQ_SLOT_25,-0.000511669221834099
C_PSEUDO_MATCHED_3F,incremental,BTYD05_FRESH1,SEQ_SLOT_50,-0.0005513057581150171
C_PSEUDO_MATCHED_3F,incremental,BTYD05_FRESH1,SEQ_SLOT_75,-0.0007468780322663626
C_PSEUDO_MATCHED_3F,incremental,BTYD05_FRESH1,BTYD05_FRESH1,0.0
