variable,fold,segment,quartile,n,p_y_positive,mean_log1p_y,strongest_signed_residual,etx_loss_minus_seq_loss
current_gap_ratio,2025-10-16,never_purchased,2,5479,0.12757802518707792,0.44379536579666395,-0.02593775319205518,-0.01626156566122606
current_gap_ratio,2025-10-16,never_purchased,3,4976,0.11093247588424437,0.39778482127261017,-0.018844347710805832,-0.01323962087624428
current_gap_ratio,2025-10-16,never_purchased,4,4266,0.09376465072667604,0.3228855388823969,-0.014651133719257197,0.0020936035720682668
last_burst_intensity,2025-09-04,all,1,47102,0.596492717931298,2.556569871459358,-0.004109231539493804,0.0013782034343278284
last_burst_intensity,2025-09-04,all,2,47140,0.5996181586762834,2.578737097759137,0.004547234142775333,0.0019912050467052896
last_burst_intensity,2025-09-04,all,3,47119,0.6036842887158047,2.600998857754013,-0.00015621799208974244,0.007419581187112948
last_burst_intensity,2025-09-04,all,4,47157,0.6009288122654113,2.6308187306765722,-0.0002850638918491125,0.004987661104990103
last_burst_intensity,2025-09-04,rec_buy_15_60,1,13298,0.5764024665363212,2.312148748303911,-0.03169268894702411,0.00676001353380328
last_burst_intensity,2025-09-04,rec_buy_15_60,2,13309,0.5826132692163197,2.3355931786391726,-0.006988503374637345,0.0027945279573911848
last_burst_intensity,2025-09-04,rec_buy_15_60,3,13303,0.5925731038111705,2.3481325715662846,-0.006661826278614369,0.0071351403754520435
last_burst_intensity,2025-09-04,rec_buy_15_60,4,13314,0.5827700165239598,2.3399380201848454,-0.017690700540895804,0.012608305567908292
last_burst_intensity,2025-09-04,w180_days_buy_2_15,1,26970,0.6232109751575825,2.5007510503896055,-0.03018055718359017,0.0031980407883012334
last_burst_intensity,2025-09-04,w180_days_buy_2_15,2,26981,0.6267373336792558,2.510481696719481,-0.027491430553984317,0.003640197969166257
last_burst_intensity,2025-09-04,w180_days_buy_2_15,3,26976,0.6309311981020166,2.5203043114410284,-0.027350604710814724,0.006944078670076557
last_burst_intensity,2025-09-04,w180_days_buy_2_15,4,26986,0.6280664048024902,2.53147315098879,-0.019038820398102476,0.007057090065330256
last_burst_intensity,2025-09-04,intersection,1,10823,0.5772891065323847,2.266146845083931,-0.03474818926626931,0.009137015842096034
last_burst_intensity,2025-09-04,intersection,2,10827,0.5821557218065946,2.282529467707066,-0.018844375581507262,0.0006048115607420825
last_burst_intensity,2025-09-04,intersection,3,10824,0.5903547671840355,2.2917954281911257,-0.01907297991464361,0.006266185109203681
last_burst_intensity,2025-09-04,intersection,4,10828,0.583394902105652,2.294865168106182,-0.01865944850769558,0.01031624239276137
last_burst_intensity,2025-09-04,w180_days_buy_0_1,1,10384,0.20531587057010786,0.7311736300011425,-0.004339933912272291,0.004394705067855272
last_burst_intensity,2025-09-04,w180_days_buy_0_1,2,10400,0.20682692307692307,0.7464588007446905,0.024809324168873093,0.0030126148976361736
last_burst_intensity,2025-09-04,w180_days_buy_0_1,3,10389,0.20338819905669459,0.7311956017161565,-0.004280566446738579,0.009223689194291911
last_burst_intensity,2025-09-04,w180_days_buy_0_1,4,10407,0.199577207648698,0.716539347748805,-0.020747990991849333,0.0025013593556481575
last_burst_intensity,2025-09-04,w180_days_buy_16plus,1,9748,0.9392695937628232,4.65549766952597,0.06826861684583763,-0.006870090205312275
last_burst_intensity,2025-09-04,w180_days_buy_16plus,2,9759,0.9432318885131673,4.720072610045355,0.07153252729902652,-0.003656314216600434
last_burst_intensity,2025-09-04,w180_days_buy_16plus,3,9754,0.954685257330326,4.815700734759995,0.07944636886660124,0.006813089267181787
last_burst_intensity,2025-09-04,w180_days_buy_16plus,4,9764,0.9537074969274887,4.94573529679535,0.07335755751407629,0.0019181539748858605
last_burst_intensity,2025-09-04,never_purchased,1,5172,0.12335653518948182,0.4336853019718381,0.005456424201687764,0.002593885916614283
last_burst_intensity,2025-09-04,never_purchased,2,5045,0.12091179385530228,0.42552855648382004,0.02401942239272609,0.005782252235983388
last_burst_intensity,2025-09-04,never_purchased,3,5343,0.11529103499906419,0.41662103137152734,-0.01445241961544665,0.004713736727207493
last_burst_intensity,2025-09-04,never_purchased,4,5405,0.12321924144310824,0.437968978868135,0.006691848601509528,-0.007742819948082363
last_burst_intensity,2025-09-18,all,1,47728,0.6089507207509219,2.6175683507701786,0.007993663511050934,0.0010739595486357041
last_burst_intensity,2025-09-18,all,2,47769,0.6100190500115138,2.6279500442993853,0.003136204705001391,0.002118116577572329
last_burst_intensity,2025-09-18,all,3,47745,0.6136768247984082,2.648605992449082,-0.0010173225737356898,0.0019483227554296545
last_burst_intensity,2025-09-18,all,4,47783,0.6087939225247473,2.6691040447024075,-0.010103234797431162,-0.0013530193953684945
last_burst_intensity,2025-09-18,rec_buy_15_60,1,14259,0.5900834560628375,2.36091251461074,-0.04046572894337181,-0.0033356298828399957
last_burst_intensity,2025-09-18,rec_buy_15_60,2,14278,0.5867068216837092,2.3414581659535996,-0.06377857163804129,0.007684911081143397
last_burst_intensity,2025-09-18,rec_buy_15_60,3,14267,0.6000560734562277,2.3863563882163352,-0.02603237568127731,0.009564332283778324
last_burst_intensity,2025-09-18,rec_buy_15_60,4,14280,0.5958683473389356,2.361471705213736,-0.054899406748642715,0.004621343613209731
last_burst_intensity,2025-09-18,w180_days_buy_2_15,1,27234,0.6362267753543365,2.556816183672148,-0.014332006355356404,0.002796773291859685
last_burst_intensity,2025-09-18,w180_days_buy_2_15,2,27250,0.6365504587155963,2.54864361477253,-0.02904344621860069,0.005422131422319602
last_burst_intensity,2025-09-18,w180_days_buy_2_15,3,27240,0.6436123348017622,2.5698306883453688,-0.016024870822478544,0.0037712969440475254
last_burst_intensity,2025-09-18,w180_days_buy_2_15,4,27255,0.6378646119977985,2.5701334461295353,-0.019368891769438196,0.0018415202987536832
last_burst_intensity,2025-09-18,intersection,1,11573,0.5893026872893804,2.3060260086335793,-0.04538333131906553,-0.0019425526473462944
last_burst_intensity,2025-09-18,intersection,2,11580,0.584887737478411,2.279846058110611,-0.07662783929515685,0.006664809751316028
last_burst_intensity,2025-09-18,intersection,3,11575,0.6014686825053995,2.3371123159041973,-0.024782576759324926,0.008362102907944433
last_burst_intensity,2025-09-18,intersection,4,11581,0.5964942578361109,2.315140969812793,-0.048741933018518854,0.005290502641735294
last_burst_intensity,2025-09-18,w180_days_buy_0_1,1,10475,0.2154653937947494,0.7719261101166156,-0.0008744556548894019,-0.006514637414904411
last_burst_intensity,2025-09-18,w180_days_buy_0_1,2,10488,0.2147215865751335,0.7668939602785743,0.010548732870507076,-0.011653523616673366
last_burst_intensity,2025-09-18,w180_days_buy_0_1,3,10482,0.20988360999809197,0.7499602217834381,-0.0223040896937279,-0.0005792863011794645
last_burst_intensity,2025-09-18,w180_days_buy_0_1,4,10495,0.20447832301095759,0.7433054349355209,-0.028975416246669734,-0.000675837515354174
last_burst_intensity,2025-09-18,w180_days_buy_16plus,1,10019,0.946202215789999,4.712350962766769,0.07795182714065094,0.004324927081335656
last_burst_intensity,2025-09-18,w180_days_buy_16plus,2,10031,0.9512511215232778,4.789235700147961,0.08280452214776213,0.0075415596877194315
last_burst_intensity,2025-09-18,w180_days_buy_16plus,3,10023,0.9546044098573282,4.848291141795828,0.06203101697006494,-0.0003627037602416981
last_burst_intensity,2025-09-18,w180_days_buy_16plus,4,10033,0.952755905511811,4.9524390465569965,0.03480845912081966,-0.01073946444610608
last_burst_intensity,2025-09-18,never_purchased,1,5057,0.128732450069211,0.45623403031956605,0.004381456761917898,-0.004857186264838508
last_burst_intensity,2025-09-18,never_purchased,2,4948,0.12853678253839934,0.44786232166882806,0.03571276265770853,-0.018333018520184593
last_burst_intensity,2025-09-18,never_purchased,3,5252,0.12147753236862148,0.42389143329941703,-0.023996410323664393,-0.005438487116138498
last_burst_intensity,2025-09-18,never_purchased,4,5315,0.12079021636876763,0.43590999227234734,-0.015021894558776498,-0.019039646421743193
last_burst_intensity,2025-10-02,all,1,48394,0.6093317353390916,2.609796939194236,0.0031063232963837104,0.001256496405204179
last_burst_intensity,2025-10-02,all,2,48433,0.6163153221976752,2.6366186098698994,0.016314394504235046,0.00010599216921002414
last_burst_intensity,2025-10-02,all,3,48414,0.6132523650183831,2.6379531136317524,-0.00874471734750217,-0.006609789699868801
last_burst_intensity,2025-10-02,all,4,48453,0.6107774544403856,2.665916810622245,-0.010672522505662153,-0.005196154006898064
last_burst_intensity,2025-10-02,rec_buy_15_60,1,14166,0.5877453056614429,2.344354150664211,-0.02433137919153169,0.0002056463318154794
last_burst_intensity,2025-10-02,rec_buy_15_60,2,14178,0.5938073070955001,2.3561902660882197,-0.015484085957749942,0.000636868724347521
