group_type,segment,metric_type,model,n,positive_rate,logloss,brier,precision_05,recall_05,roc_auc,pr_auc,rmsle,delta_vs_base
buyer_type,high_frequency,rmsle,CLOCK_TWO_PART,377289,0.8252162135657282,,,,,,,1.7373681309390103,0.009101150515214762
buyer_type,high_frequency,rmsle,R0_TWO_PART,377289,0.8252162135657282,,,,,,,1.7700542214276782,0.04178724100388265
buyer_type,high_frequency,rmsle,CLOCK_REPLACE,377289,0.8252162135657282,,,,,,,1.7277810422675737,-0.00048593815622188785
buyer_type,high_frequency,rmsle,CLOCK_META,377289,0.8252162135657282,,,,,,,1.727889338135612,-0.00037764228818359946
buyer_type,low_frequency,classification,R0,47538,0.38813159998317137,1.0418607826304114,0.3229557384699793,0.32255624881830214,0.09246111321879573,0.47673317355135963,0.36302680422716355,,
buyer_type,low_frequency,classification,CLOCK,47538,0.38813159998317137,0.6572667963052687,0.23244832593096706,0.5314533622559653,0.09294889165898867,0.5849961343284245,0.46360451117956303,,
buyer_type,low_frequency,classification,EXISTING_B30,47538,0.38813159998317137,0.6494607579369894,0.22877487652845926,0.5297647855967477,0.2966234892417755,0.6157939076939948,0.49474401752308467,,
buyer_type,low_frequency,rmsle,BASE,47538,0.38813159998317137,,,,,,,1.8750441868729726,0.0
buyer_type,low_frequency,rmsle,CLOCK_TWO_PART,47538,0.38813159998317137,,,,,,,1.8911073915555545,0.016063204682581933
buyer_type,low_frequency,rmsle,R0_TWO_PART,47538,0.38813159998317137,,,,,,,2.1894418647398672,0.31439767786689465
buyer_type,low_frequency,rmsle,CLOCK_REPLACE,47538,0.38813159998317137,,,,,,,1.8744690215394466,-0.0005751653335259732
buyer_type,low_frequency,rmsle,CLOCK_META,47538,0.38813159998317137,,,,,,,1.8748633815799949,-0.00018080529297770376
recency,0-7,classification,R0,249881,0.8508650117455909,0.38250624756300083,0.11927817954224902,0.8780946878173478,0.9435176257554735,0.778835819750441,0.9511663631905175,,
recency,0-7,classification,CLOCK,249881,0.8508650117455909,0.33486792704743634,0.10463709452824982,0.8685444634557541,0.9764880182489476,0.8145878245194476,0.960768032612827,,
recency,0-7,classification,EXISTING_B30,249881,0.8508650117455909,0.33132850474555214,0.10337508215221498,0.8681371323835708,0.9801989511558451,0.8198687266783014,0.9619406113237434,,
recency,0-7,rmsle,BASE,249881,0.8508650117455909,,,,,,,1.652485987719011,0.0
recency,0-7,rmsle,CLOCK_TWO_PART,249881,0.8508650117455909,,,,,,,1.6601080231267842,0.0076220354077731756
recency,0-7,rmsle,R0_TWO_PART,249881,0.8508650117455909,,,,,,,1.7251576492174665,0.0726716614984555
recency,0-7,rmsle,CLOCK_REPLACE,249881,0.8508650117455909,,,,,,,1.652089491501772,-0.0003964962172389175
recency,0-7,rmsle,CLOCK_META,249881,0.8508650117455909,,,,,,,1.6520385098149755,-0.00044747790403554255
recency,8-14,classification,R0,101150,0.7495897182402372,0.5434478802580325,0.17806706425473193,0.788217363403007,0.9071761121589006,0.7099429030998785,0.870873857299212,,
recency,8-14,classification,CLOCK,101150,0.7495897182402372,0.4834432280360649,0.15924316882628914,0.7907886646917445,0.9329869033645032,0.7543544349952702,0.8983365917490149,,
recency,8-14,classification,EXISTING_B30,101150,0.7495897182402372,0.47835989492926956,0.15743651932657407,0.7893683593706812,0.9416388599464528,0.7612854975708451,0.9020161379825287,,
recency,8-14,rmsle,BASE,101150,0.7495897182402372,,,,,,,1.8608914750574073,0.0
recency,8-14,rmsle,CLOCK_TWO_PART,101150,0.7495897182402372,,,,,,,1.8702571266698624,0.009365651612455173
recency,8-14,rmsle,R0_TWO_PART,101150,0.7495897182402372,,,,,,,1.9459863897602954,0.0850949147028881
recency,8-14,rmsle,CLOCK_REPLACE,101150,0.7495897182402372,,,,,,,1.8602486220303873,-0.0006428530270199406
recency,8-14,rmsle,CLOCK_META,101150,0.7495897182402372,,,,,,,1.860624697740308,-0.0002667773170992316
recency,15-30,classification,R0,123720,0.650452634982218,0.6467738701651131,0.21977312192097623,0.6817068478495482,0.9026766409026518,0.6707293556190141,0.7796714455176202,,
recency,15-30,classification,CLOCK,123720,0.650452634982218,0.5772188363640562,0.1975465614446763,0.7223605104946735,0.8510450580311654,0.7189920126869442,0.8225068971995562,,
recency,15-30,classification,EXISTING_B30,123720,0.650452634982218,0.5701792355751575,0.19465924191274125,0.7205418444980516,0.8685289658771778,0.72860304384539,0.8295543370756802,,
recency,15-30,rmsle,BASE,123720,0.650452634982218,,,,,,,1.9485116312229214,0.0
recency,15-30,rmsle,CLOCK_TWO_PART,123720,0.650452634982218,,,,,,,1.9615082337815308,0.01299660255860946
recency,15-30,rmsle,R0_TWO_PART,123720,0.650452634982218,,,,,,,2.045898193359669,0.09738656213674757
recency,15-30,rmsle,CLOCK_REPLACE,123720,0.650452634982218,,,,,,,1.9479341171728948,-0.0005775140500265952
recency,15-30,rmsle,CLOCK_META,123720,0.650452634982218,,,,,,,1.9482776493171554,-0.00023398190576595645
recency,31-60,classification,R0,99432,0.5151661436961944,0.7043507820072018,0.2464385793143692,0.5634877825125412,0.8157504294861784,0.6204703978128847,0.6211968804335779,,
recency,31-60,classification,CLOCK,99432,0.5151661436961944,0.6428111594452839,0.22586590181259594,0.6420145190562614,0.6353467124785257,0.6776144750406498,0.6846275745212824,,
recency,31-60,classification,EXISTING_B30,99432,0.5151661436961944,0.6358835437602426,0.22266992887686157,0.63905238375515,0.6782758082148993,0.6896339944653391,0.6954467976485176,,
recency,31-60,rmsle,BASE,99432,0.5151661436961944,,,,,,,1.9594449896109019,0.0
recency,31-60,rmsle,CLOCK_TWO_PART,99432,0.5151661436961944,,,,,,,1.9736578121776962,0.014212822566794348
recency,31-60,rmsle,R0_TWO_PART,99432,0.5151661436961944,,,,,,,2.0502365176834023,0.09079152807250046
recency,31-60,rmsle,CLOCK_REPLACE,99432,0.5151661436961944,,,,,,,1.9586603868704178,-0.0007846027404840861
recency,31-60,rmsle,CLOCK_META,99432,0.5151661436961944,,,,,,,1.9590812950836796,-0.00036369452722229134
recency,61-90,classification,R0,44972,0.410566574757627,0.6785165214782721,0.24138453483150016,0.44034926470588237,0.2594779029462738,0.5676646725415485,0.44298499037606287,,
recency,61-90,classification,CLOCK,44972,0.410566574757627,0.6474426092721948,0.227895446803865,0.5818274629913222,0.3086546793760832,0.6406129700160496,0.5423040794111446,,
recency,61-90,classification,EXISTING_B30,44972,0.410566574757627,0.6389806892359777,0.22393798658645592,0.5849996169462959,0.4135615251299827,0.6600109421775552,0.562673231130924,,
recency,61-90,rmsle,BASE,44972,0.410566574757627,,,,,,,1.893227120692973,0.0
recency,61-90,rmsle,CLOCK_TWO_PART,44972,0.410566574757627,,,,,,,1.9091299383804263,0.015902817687453386
recency,61-90,rmsle,R0_TWO_PART,44972,0.410566574757627,,,,,,,1.9615516381073437,0.06832451741437073
recency,61-90,rmsle,CLOCK_REPLACE,44972,0.410566574757627,,,,,,,1.892507165547869,-0.0007199551451040342
recency,61-90,rmsle,CLOCK_META,44972,0.410566574757627,,,,,,,1.8932296189912567,2.4982982838039902e-06
recency,91+,classification,R0,151461,0.20288391070968764,0.6064436034243069,0.15969692550888429,0.3197804938887503,0.04171954830941456,0.6305811350904837,0.29727034913636996,,
recency,91+,classification,CLOCK,151461,0.20288391070968764,0.47296267121691327,0.15084435643982633,0.5513059701492538,0.019232646685541345,0.6674062814928454,0.34177509544498,,
recency,91+,classification,EXISTING_B30,151461,0.20288391070968764,0.46557384911942895,0.14859453823324484,0.5237541206127594,0.08789742588434378,0.699470282730538,0.37105013667399395,,
recency,91+,rmsle,BASE,151461,0.20288391070968764,,,,,,,1.4715220728433003,0.0
recency,91+,rmsle,CLOCK_TWO_PART,151461,0.20288391070968764,,,,,,,1.484957195012253,0.013435122168952818
recency,91+,rmsle,R0_TWO_PART,151461,0.20288391070968764,,,,,,,1.5263821218927918,0.05486004904949149
recency,91+,rmsle,CLOCK_REPLACE,151461,0.20288391070968764,,,,,,,1.471441482397418,-8.059044588226705e-05
recency,91+,rmsle,CLOCK_META,151461,0.20288391070968764,,,,,,,1.4715581134032865,3.6040559986183496e-05
normalized_recency,unknown,classification,R0,135130,0.1755790720047362,0.5666255330750699,0.15413316826425666,0.3392485147750945,0.18532411700244458,0.6068901894752108,0.2624210086192896,,
normalized_recency,unknown,classification,CLOCK,135130,0.1755790720047362,0.4469931435846764,0.1392385183131515,0.0,0.0,0.6298507461399104,0.2675527772671317,,
normalized_recency,unknown,classification,EXISTING_B30,135130,0.1755790720047362,0.43978444057047905,0.1372511868851617,0.4791792395896198,0.03346539661131248,0.6740272547995246,0.30435166364237515,,
normalized_recency,unknown,rmsle,BASE,135130,0.1755790720047362,,,,,,,1.3956662375952418,0.0
normalized_recency,unknown,rmsle,CLOCK_TWO_PART,135130,0.1755790720047362,,,,,,,1.4087217165985126,0.013055479003270865
normalized_recency,unknown,rmsle,R0_TWO_PART,135130,0.1755790720047362,,,,,,,1.482766315410065,0.0871000778148232
normalized_recency,unknown,rmsle,CLOCK_REPLACE,135130,0.1755790720047362,,,,,,,1.3954372136862128,-0.0002290239090290136
normalized_recency,unknown,rmsle,CLOCK_META,135130,0.1755790720047362,,,,,,,1.3953970667781377,-0.00026917081710409185
normalized_recency,<0.5,classification,R0,222898,0.7583513535339034,0.5223242751738504,0.16795049591481795,0.8532448869458711,0.8324784807880025,0.7932529904101665,0.9241926496810495,,
normalized_recency,<0.5,classification,CLOCK,222898,0.7583513535339034,0.4317977750749949,0.14274418102037925,0.8231913092853087,0.9091312450084302,0.8105628475208952,0.932486741241328,,
normalized_recency,<0.5,classification,EXISTING_B30,222898,0.7583513535339034,0.4272986475649124,0.14092539400455634,0.8175258324065517,0.9262874552607449,0.8158000923872313,0.934316023108146,,
normalized_recency,<0.5,rmsle,BASE,222898,0.7583513535339034,,,,,,,1.7574587131110395,0.0
normalized_recency,<0.5,rmsle,CLOCK_TWO_PART,222898,0.7583513535339034,,,,,,,1.7668693044363668,0.009410591325327289
