model,fold,bin,n,mean_pred,positive_rate,abs_error,p_min,p_max
CLOCK,2025-09-04,3,18852,0.39274229177422215,0.3692446424782516,0.023497649295970535,0.338143914937973,0.44847747683525085
CLOCK,2025-09-04,4,18852,0.5001332694536152,0.47246976448122213,0.027663504972393116,0.4484846591949463,0.5513159036636353
CLOCK,2025-09-04,5,18852,0.602175899351096,0.5784001697432634,0.023775729607832585,0.5513176321983337,0.6536980271339417
CLOCK,2025-09-04,6,18852,0.703950189855507,0.672607680882665,0.031342508972841965,0.6537043452262878,0.7520834803581238
CLOCK,2025-09-04,7,18852,0.795442469637788,0.7718544451517081,0.023588024486079884,0.7520902752876282,0.8366430997848511
CLOCK,2025-09-04,8,18852,0.8726557464849258,0.8569382558879695,0.015717490596956374,0.8366487622261047,0.9064148664474487
CLOCK,2025-09-04,9,18851,0.9360909516770519,0.930030237122699,0.006060714554352864,0.9064198136329651,0.9633325934410095
CLOCK,2025-09-04,10,18851,0.9834255336874088,0.9851466765688823,0.0017211428814735141,0.963337779045105,0.9982855916023254
CLOCK,2025-09-18,1,19103,0.1362239122390747,0.12354080510914515,0.012683107129929552,0.1362239122390747,0.1362239122390747
CLOCK,2025-09-18,2,19103,0.26247631054423665,0.25540491022352513,0.007071400320711518,0.1362239122390747,0.33010753989219666
CLOCK,2025-09-18,3,19103,0.38508000167378553,0.38360466942365073,0.0014753322501347976,0.3301086723804474,0.4395878314971924
CLOCK,2025-09-18,4,19103,0.4904825914369755,0.48406009527299376,0.006422496163981717,0.4395890235900879,0.5421936511993408
CLOCK,2025-09-18,5,19103,0.595592075278358,0.5900643877924934,0.00552768748586463,0.5421938300132751,0.6498463749885559
CLOCK,2025-09-18,6,19102,0.7011575388847228,0.6889854465500994,0.012172092334623352,0.6498470902442932,0.7497941255569458
CLOCK,2025-09-18,7,19102,0.7937459918469387,0.7841587268348864,0.009587265012052315,0.7498031258583069,0.8359369039535522
CLOCK,2025-09-18,8,19102,0.8723433409207979,0.8661396712386138,0.00620366968218411,0.8359379768371582,0.9060864448547363
CLOCK,2025-09-18,9,19102,0.9360027373642114,0.9410009423097058,0.004998204945494411,0.90608811378479,0.9637895822525024
CLOCK,2025-09-18,10,19102,0.9838937334852834,0.9867029630405193,0.0028092295552358815,0.9637903571128845,0.9983773827552795
CLOCK,2025-10-02,1,19370,0.1197654977440834,0.12157976251935984,0.0018142647752764363,0.1197654977440834,0.1197654977440834
CLOCK,2025-10-02,2,19370,0.2390912385037189,0.24651522973670625,0.0074239912329873425,0.1197654977440834,0.302714079618454
CLOCK,2025-10-02,3,19370,0.35535748799436784,0.3883324728962313,0.03297498490186346,0.302714079618454,0.4066529870033264
CLOCK,2025-10-02,4,19370,0.4587288401178558,0.4882808466701084,0.029552006552252597,0.4066529870033264,0.5135745406150818
