exp_id,probe,requested_gap,actual_gap,n_cutoffs,seed,rounds,wcv,fold_cal,fold_bias,fold_scores,mean_z
GAP-E10-K5-G090-S42-R100,e10,90,91,5,42,100,1.7551164829695138,"[1.7727954448091836, 1.767628055551797, 1.7563247616794546, 1.7491745802390142]","[-0.02952908131562504, 0.021035982661506747, -0.009808331183112085, -0.05155539973560774]","[1.773041357605495, 1.7677532224098367, 1.7563521491571645, 1.7499341905901002]",2.6433070208820655
GAP-E10-K5-G090-S42-R150,e10,90,91,5,42,150,1.754935808075627,"[1.7727494416883414, 1.7674503194016293, 1.7558313808891417, 1.74913268963578]","[-0.03084206690699043, 0.020706421659178798, -0.011403614977326448, -0.055509540008995106]","[1.7730177145469872, 1.767571607446456, 1.7558684120826427, 1.7500132785166254]",2.645123667513384
GAP-E10-K5-G090-S42-R200,e10,90,91,5,42,200,1.755419215825873,"[1.7733802631215045, 1.7678877170196994, 1.7562682372571887, 1.7496324488998047]","[-0.03218152974119359, 0.01964606150724313, -0.012468411193357287, -0.05818812831937503]","[1.7736722381785706, 1.76799687435297, 1.7563124956784197, 1.750599772798009]",2.646667899495311
GAP-E10-K5-G090-S42-R250,e10,90,91,5,42,250,1.7560028164887906,"[1.7738097840595664, 1.7681971262844043, 1.756846686712517, 1.7503064329816767]","[-0.03218382819931476, 0.018621440796462885, -0.01262907677267222, -0.05986400306324624]","[1.7741017301223196, 1.768295177694539, 1.756892078129126, 1.7513298684713277]",2.6473920784791307
GAP-E10-K5-G090-S42-R300,e10,90,91,5,42,300,1.756527108133321,"[1.774300995946801, 1.7686624054730087, 1.7572229995827588, 1.7509236020969952]","[-0.0327912493960536, 0.018320872404194777, -0.013959660570884491, -0.0612807022099755]","[1.774603981246172, 1.7687572922532984, 1.757278447596135, 1.7519956588876435]",2.6483124832791773
GAP-E10-K5-G120-S42-R100,e10,120,126,5,42,100,1.7564327986319639,"[1.7782518664263751, 1.7694654306077147, 1.7569210168947744, 1.7502031480323195]","[0.0653430758067266, 0.0008933766460450521, -0.014733955365083595, -0.012087373829186898]","[1.7794519993539502, 1.7694656561339577, 1.7569827970265586, 1.7502448868625005]",2.616220295927784
GAP-E10-K5-G120-S42-R150,e10,120,126,5,42,150,1.7563664495777802,"[1.7781791480409102, 1.7693609530725571, 1.7566024953333568, 1.7502732135184065]","[0.07560031017610358, 0.003272360459262824, -0.015475779742219586, -0.012744083699650854]","[1.7797855178156219, 1.7693639791181472, 1.756670665312655, 1.7503196089941382]",2.613475983555164
GAP-E10-K5-G120-S42-R200,e10,120,126,5,42,200,1.7567194547735776,"[1.7787339820853258, 1.7695743764113945, 1.7571398063635475, 1.75054373265517]","[0.08061086655563754, 0.0032640070266252152, -0.01792539937301907, -0.014122755269314169]","[1.7805596566338266, 1.7695773866642979, 1.757231236647587, 1.7506007003753576]",2.613221139492011
GAP-E10-K5-G120-S42-R250,e10,120,126,5,42,250,1.7571666916579565,"[1.7797737644292893, 1.7700727026998209, 1.7573018356406973, 1.7510467328097032]","[0.08113263482172295, 0.0034160866884582752, -0.01839994374138154, -0.015547862333200158]","[1.7816220578405282, 1.7700759990721615, 1.7573981625349149, 1.7511157575976146]",2.6135400906643995
GAP-E10-K5-G120-S42-R300,e10,120,126,5,42,300,1.757629002601263,"[1.7804596167652047, 1.7706340210233842, 1.7577472532117906, 1.7514647959199765]","[0.08164710625703098, 0.0036174962407917732, -0.0198249056351969, -0.01840628402634259]","[1.7823306923497242, 1.770637716384831, 1.7578590489462227, 1.7515615098073674]",2.6144546026893964
