variable,fold,n,pearson,spearman,positive_fold_signs,negative_fold_signs
search_cart_share_30,2025-09-18,191025,-0.0021069603644398127,0.0207851491407506,,
search_cart_share_30,2025-10-02,193694,0.0005667653903936987,0.021857592995075996,,
search_cart_share_30,2025-10-16,197379,-0.0016016696889298518,0.018786955790785924,,
search_cart_share_30,wcv_weighted,770616,-0.0013506347798732407,0.019876260899136165,4,0
search_cart_share_90,2025-09-04,188518,-0.0017529043128560707,-0.006484183679155275,,
search_cart_share_90,2025-09-18,191025,-0.004474644190984708,-0.005983913977014767,,
search_cart_share_90,2025-10-02,193694,-0.003009242921360551,-0.007576915991650656,,
search_cart_share_90,2025-10-16,197379,-0.0041294013808669885,-0.01098810132626721,,
search_cart_share_90,wcv_weighted,770616,-0.0037158009173722238,-0.008983010210950517,0,4
search_cart_share_180,2025-09-04,188518,-0.0018712328651550266,-0.010342766158639872,,
search_cart_share_180,2025-09-18,191025,-0.006384289368704533,-0.011317579718147092,,
search_cart_share_180,2025-10-02,193694,-0.005403844299567177,-0.012559157643610373,,
search_cart_share_180,2025-10-16,197379,-0.006026007592006775,-0.01614043202419581,,
search_cart_share_180,wcv_weighted,770616,-0.0056258608247202885,-0.014033413366963727,0,4
share_trend_30_minus_180,2025-09-04,188518,0.0003429277785215799,0.04796171999027619,,
share_trend_30_minus_180,2025-09-18,191025,0.011668928556542127,0.05608142075011974,,
share_trend_30_minus_180,2025-10-02,193694,0.014550234743336294,0.05740009748974192,,
share_trend_30_minus_180,2025-10-16,197379,0.007355331006188734,0.051528298518851365,,
share_trend_30_minus_180,wcv_weighted,770616,0.009394624666038888,0.053033416369212244,4,0
recency_last_search_purchase,2025-09-04,188518,-0.00036235592384543133,-0.07084592234098687,,
recency_last_search_purchase,2025-09-18,191025,-0.003472535449709257,-0.07710228696142757,,
recency_last_search_purchase,2025-10-02,193694,-0.010876515393895293,-0.08154137056528515,,
recency_last_search_purchase,2025-10-16,197379,-0.007921735741630864,-0.07286565744423172,,
recency_last_search_purchase,wcv_weighted,770616,-0.007664242190503181,-0.07531398647770712,0,4
recency_last_catalog_purchase,2025-09-04,188518,-0.00814291225648086,-0.045562932932599484,,
recency_last_catalog_purchase,2025-09-18,191025,-0.010430696464724346,-0.04717618867622225,,
recency_last_catalog_purchase,2025-10-02,193694,-0.008974071454262007,-0.04688568947262054,,
recency_last_catalog_purchase,2025-10-16,197379,-0.009953293368700674,-0.04722424276027357,,
recency_last_catalog_purchase,wcv_weighted,770616,-0.009600696743778113,-0.04305192024358938,0,4
recency_difference,2025-09-04,188518,0.006611624754498228,-0.010282196022896964,,
recency_difference,2025-09-18,191025,0.00620375685735593,-0.01352503054896633,,
recency_difference,2025-10-02,193694,-0.0007493720229760412,-0.018171368246631063,,
recency_difference,2025-10-16,197379,0.002564829317598746,-0.011683536638639741,,
recency_difference,wcv_weighted,770616,0.0023850385283786034,-0.011345668011448193,0,4
dominant_historical_channel,2025-09-04,188518,-0.0012372844443600491,0.03924106330127568,,
dominant_historical_channel,2025-09-18,191025,0.0008444408073974184,0.04368687950183397,,
dominant_historical_channel,2025-10-02,193694,0.008210459007438727,0.04976161183792485,,
dominant_historical_channel,2025-10-16,197379,0.005807545144602306,0.045869605558761704,,
dominant_historical_channel,wcv_weighted,770616,0.005303452490268441,0.04650982640062485,4,0
historical_switch_30_90,2025-09-04,188518,-0.0032536236194265333,-0.028450967632904764,,
historical_switch_30_90,2025-09-18,191025,-0.009709411886829368,-0.03322069576628277,,
historical_switch_30_90,2025-10-02,193694,-0.01288840323757621,-0.03790349500874373,,
historical_switch_30_90,2025-10-16,197379,-0.005669423034111121,-0.03103841235446245,,
historical_switch_30_90,wcv_weighted,770616,-0.007988259280326598,-0.03257304063917965,0,4
