outer_fold,cell,n_donor,residual_mean,shrinkage,correction
2025-09-04,213,1212,2.532656505082808,0.05713746935696776,0.144709583450894
2025-09-04,214,1614,2.2058792296759857,0.07467382252243916,0.16472143410275936
2025-09-04,215,2354,1.8226268512398773,0.10530553815871879,0.1919327014323464
2025-09-04,216,3162,1.4409556812121105,0.13651670840169242,0.19671452655179575
2025-09-04,217,4199,1.0711383346519132,0.17351956692425308,0.18586345994476564
2025-09-04,218,5846,0.7405428987474285,0.226185870153989,0.1675003399395445
2025-09-04,219,9276,0.3749660972709723,0.3168465637382156,0.11880671943863706
2025-09-04,220,22,4.769399728704935,0.0010987913295375088,0.005240575068999529
2025-09-04,221,61,4.100088752135305,0.0030407257863516277,0.012467245594948087
2025-09-04,222,122,3.664760561973517,0.006063015604810655,0.022219500475140097
2025-09-04,223,195,3.2262556053101576,0.00965585540975489,0.03115225763978612
2025-09-04,224,303,2.79060942551596,0.014923902871496824,0.041646784018683734
2025-09-04,225,486,2.3150431535584275,0.023723518500439324,0.05492096908275875
2025-09-04,226,743,1.951838275389769,0.03581931253916984,0.0699135052121004
2025-09-04,227,1016,1.4620381007927212,0.048344118766653975,0.07068094358609654
2025-09-04,228,1663,1.0464066807747774,0.07676683746480173,0.08032933158512001
2025-09-04,229,3400,0.5250459520046551,0.1452991452991453,0.07628872806905244
2025-09-04,231,1,3.9719969821445353,4.999750012499375e-05,0.0001985899196112462
2025-09-04,232,4,3.4069758728834243,0.0001999600079984003,0.0006812589227921265
2025-09-04,233,5,2.0683791873693567,0.00024993751562109475,0.0005169655554534757
2025-09-04,234,5,0.9857340425443087,0.00024993751562109475,0.000246371917656663
2025-09-04,235,11,0.8535086072359487,0.0005496976662835441,0.000469171689550519
2025-09-04,236,10,0.9023410442181463,0.0004997501249375312,0.00045094504958428103
2025-09-04,237,11,-0.18019969781865394,0.0005496976662835441,-9.905535335591393e-05
2025-09-04,238,17,0.5777301090646689,0.0008492781136034371,0.00049065353719835
2025-09-04,239,12,-0.6363654789819174,0.0005996402158704777,-0.00038159033318923695
2025-09-18,30,51588,-0.38854819063636836,0.720623568195787,-0.27999698355239666
2025-09-18,31,43796,-0.8624717130249842,0.6865007210483416,-0.59208745287545
2025-09-18,32,36182,-1.3402824832128017,0.6440140970417572,-0.8631608132071766
2025-09-18,33,29804,-1.7961539740416648,0.5984258292506626,-1.0748649313777563
2025-09-18,34,23378,-2.247001639561724,0.5389367882336669,-1.210991846781179
