variable,fold,bin,n,residual_mean,residual_std
search_gmv_share_90,2025-09-18,2,3274,-0.006476421880578016,1.8620286998810711
search_gmv_share_90,2025-09-18,3,44527,-0.001829975507745449,1.5400368450161785
search_gmv_share_90,2025-09-18,4,15776,0.016340393747970354,1.6768484475371457
search_gmv_share_90,2025-09-18,5,123643,-0.0019225617617567782,1.8353830898572165
search_gmv_share_90,2025-10-02,0,2264,-0.003432451021013634,1.9023451989498348
search_gmv_share_90,2025-10-02,1,1541,0.07680849848870669,1.8968696059922736
search_gmv_share_90,2025-10-02,2,3375,0.03432084997899843,1.9002478589111316
search_gmv_share_90,2025-10-02,3,44888,-0.028210939043278743,1.5219558116999345
search_gmv_share_90,2025-10-02,4,16021,0.016852785608852595,1.6672215394273338
search_gmv_share_90,2025-10-02,5,125605,0.006129616319387108,1.8237435035340677
search_gmv_share_90,2025-10-16,0,2327,0.026754225807341554,1.9384085860163678
search_gmv_share_90,2025-10-16,1,1561,0.010746470070654738,1.9931751934543727
search_gmv_share_90,2025-10-16,2,3472,0.07112859023465931,1.8748120260969106
search_gmv_share_90,2025-10-16,3,45709,-0.016935151103280817,1.5131883212470807
search_gmv_share_90,2025-10-16,4,16337,0.03722167866246116,1.656810998838469
search_gmv_share_90,2025-10-16,5,127973,-0.0012502053640806377,1.815387621209632
search_gmv_share_90,wcv_weighted,0,9152,0.014444869727915845,1.9224607299009588
search_gmv_share_90,wcv_weighted,1,6179,0.027782886563056598,1.9603393028975058
search_gmv_share_90,wcv_weighted,2,13377,0.04626248110191117,1.883001440133234
search_gmv_share_90,wcv_weighted,3,179316,-0.01639978224566195,1.520070237094678
search_gmv_share_90,wcv_weighted,4,63572,0.02763166629159644,1.6661672819596491
search_gmv_share_90,wcv_weighted,5,499020,0.0004957305545995631,1.822217374594239
search_gmv_share_180,2025-09-04,0,1765,-0.060998582560635256,1.7799587412092168
search_gmv_share_180,2025-09-04,1,1543,-0.014434534863783653,1.945278745143901
search_gmv_share_180,2025-09-04,2,3587,0.0054762482185788785,1.9195547728413107
search_gmv_share_180,2025-09-04,3,33181,0.0009282686098194268,1.453219474024323
search_gmv_share_180,2025-09-04,4,23236,0.040608680833065874,1.7601080255986326
search_gmv_share_180,2025-09-04,5,125206,-0.006900931647678413,1.8353834181948134
search_gmv_share_180,2025-09-18,0,1752,0.013935119236193361,1.8409158199714004
search_gmv_share_180,2025-09-18,1,1530,-0.011979013152416935,1.9696121749406037
search_gmv_share_180,2025-09-18,2,3557,0.011349942280551285,1.8955978170966756
search_gmv_share_180,2025-09-18,3,33513,0.00379024243128384,1.4624929564922737
search_gmv_share_180,2025-09-18,4,23359,0.034898466338947935,1.7350941524117038
search_gmv_share_180,2025-09-18,5,127314,-0.007765633420375193,1.8278613712663057
search_gmv_share_180,2025-10-02,0,1769,0.008440195657684025,1.813266974039582
search_gmv_share_180,2025-10-02,1,1551,0.021957502769805636,1.8991107772801845
search_gmv_share_180,2025-10-02,2,3569,0.019037393500779914,1.914599045834817
search_gmv_share_180,2025-10-02,3,33825,-0.016536418113708182,1.4435356792136074
search_gmv_share_180,2025-10-02,4,23602,0.023668797280768917,1.731252564175216
search_gmv_share_180,2025-10-02,5,129378,-0.0008982814778651181,1.815672222186661
search_gmv_share_180,2025-10-16,0,1795,-0.019952372201780307,1.8051970290060633
search_gmv_share_180,2025-10-16,1,1554,0.020517101178848973,1.9739055089389717
search_gmv_share_180,2025-10-16,2,3728,-0.004661992490937288,1.912411663396369
search_gmv_share_180,2025-10-16,3,34525,-0.009893768296784091,1.43138415006551
search_gmv_share_180,2025-10-16,4,24178,0.031355503097753853,1.730121766015661
search_gmv_share_180,2025-10-16,5,131599,-0.003003215545517492,1.8071717940490073
search_gmv_share_180,wcv_weighted,0,7081,-0.010648536651059259,1.8105731780295493
search_gmv_share_180,wcv_weighted,1,6178,0.014138173714776688,1.951585027736991
search_gmv_share_180,wcv_weighted,2,14441,0.004360389255752152,1.911279637473002
search_gmv_share_180,wcv_weighted,3,135044,-0.009106601385074287,1.4402985809324027
search_gmv_share_180,wcv_weighted,4,94375,0.030407609295882647,1.7331210121844725
search_gmv_share_180,wcv_weighted,5,513497,-0.0033344068775411078,1.8140964438835283
search_ord_share_30,2025-09-04,0,2629,-0.0007860283517281355,1.9679532110557378
search_ord_share_30,2025-09-04,1,153,0.15526521084213962,1.6811786383803344
search_ord_share_30,2025-09-04,2,817,-0.0427625454634538,1.8325486880460007
search_ord_share_30,2025-09-04,3,77714,0.0002399809191197965,1.7263998729599472
search_ord_share_30,2025-09-04,4,8289,0.009642134056381936,1.5127484602507524
search_ord_share_30,2025-09-04,5,98916,-0.0008620564708876387,1.8114393829800803
search_ord_share_30,2025-09-18,0,2658,-0.028312195267996054,1.9759943527781176
search_ord_share_30,2025-09-18,1,175,0.11029945750417071,1.667667472703572
search_ord_share_30,2025-09-18,2,835,0.06424529219565144,1.7108528195081756
search_ord_share_30,2025-09-18,3,79554,-0.020195899656592794,1.7345065080539213
search_ord_share_30,2025-09-18,4,8139,0.048041267300036584,1.4626539853463831
search_ord_share_30,2025-09-18,5,99664,0.012220694711242847,1.7972554664369926
search_ord_share_30,2025-10-02,0,2803,0.019524201006337196,1.946088746614115
search_ord_share_30,2025-10-02,1,168,0.20341237513131705,1.5022630982512224
search_ord_share_30,2025-10-02,2,837,0.07347501648430572,1.7088939451487584
search_ord_share_30,2025-10-02,3,81811,-0.03532325119050952,1.7253352674853748
search_ord_share_30,2025-10-02,4,8130,0.016683128970783043,1.4787176391961019
search_ord_share_30,2025-10-02,5,99945,0.026052313386103466,1.7818504939090674
search_ord_share_30,2025-10-16,0,2857,0.05207182415559628,1.9653199454041188
search_ord_share_30,2025-10-16,1,164,0.1254088591095961,1.6268439498900273
search_ord_share_30,2025-10-16,2,925,0.03838976424816305,1.7474949954577856
search_ord_share_30,2025-10-16,3,82364,-0.025036200959595314,1.7111586199145716
search_ord_share_30,2025-10-16,4,8600,0.03047695193458561,1.4644183475057486
search_ord_share_30,2025-10-16,5,102469,0.015566982041032856,1.779453002436966
search_ord_share_30,wcv_weighted,0,10947,0.0295237107802629,1.9619300304229221
search_ord_share_30,wcv_weighted,1,660,0.14634659262629987,1.6039577942414711
search_ord_share_30,wcv_weighted,2,3414,0.04547554295350801,1.7388623304895967
search_ord_share_30,wcv_weighted,3,321443,-0.02550305131411675,1.7191228551251445
search_ord_share_30,wcv_weighted,4,33158,0.02778930980610316,1.4712901250154256
search_ord_share_30,wcv_weighted,5,400994,0.01679099899615401,1.784667827601553
search_ord_share_90,2025-09-04,0,2103,0.0008834825715415168,1.8705112455706006
search_ord_share_90,2025-09-04,1,301,-0.05252037702822407,1.8541180172353688
search_ord_share_90,2025-09-04,2,1352,-0.05487411023799966,1.9846158663169016
search_ord_share_90,2025-09-04,3,44841,0.006467184046201707,1.5493944486399236
search_ord_share_90,2025-09-04,4,21616,0.01474792979228301,1.7322297654132666
search_ord_share_90,2025-09-04,5,118305,-0.0044004169391013434,1.8440316693370238
search_ord_share_90,2025-09-18,0,2087,0.021867620217415746,1.8910539270321811
search_ord_share_90,2025-09-18,1,309,-0.011935641991816022,1.833969705301113
