variable,segment,n,pearson,spearman,residual_mean
search_ord_share_30,w180_days_buy_ge16,163898,0.006374305318222232,0.0061128752731996585,0.041664516325098724
search_ord_share_30,actual_total_y_0,301289,-0.5675347169017935,-0.5837583148811404,-1.543102130311063
search_ord_share_30,gmv_low_0_100,274901,-0.38236540822950477,-0.3749331932489119,0.590669242416516
search_ord_share_30,gmv_medium_100_1000,182253,-0.3948705152242851,-0.23720132820846393,1.50881080997864
search_ord_share_30,gmv_high_gt1000,12173,-0.3642670566058025,-0.04607802665248321,2.2639357788758794
search_ord_share_90,all,770616,0.00105207812500765,0.024702168776105527,7.066755164769495e-08
search_ord_share_90,rec_buy_15_60,223152,-0.0013841977653079817,-0.0036165575544939987,-0.026619940663462134
search_ord_share_90,w180_days_buy_2_15,438482,-0.0031555085202864025,-0.0043424684257363805,-0.008160543444188845
search_ord_share_90,intersection,181406,-0.0028266581185874746,-0.00032663300922460687,-0.02745787896165491
search_ord_share_90,w180_days_buy_0_1,168236,-0.00571108583893539,-0.1866412545489184,-0.019320627146450445
search_ord_share_90,w180_days_buy_ge16,163898,-0.0038424320897727355,0.007173397602795942,0.041664516325098724
search_ord_share_90,actual_total_y_0,301289,-0.5720573996887872,-0.6369336905469026,-1.543102130311063
search_ord_share_90,gmv_low_0_100,274901,-0.2785627402556067,-0.11912257754291371,0.590669242416516
search_ord_share_90,gmv_medium_100_1000,182253,-0.23983477418511362,0.05536756359859514,1.50881080997864
search_ord_share_90,gmv_high_gt1000,12173,-0.2189675087333456,0.11983019163667134,2.2639357788758794
search_ord_share_180,all,770616,-0.0007226043906065619,-0.004124922108930915,7.066755164769495e-08
search_ord_share_180,rec_buy_15_60,223152,-0.0024616878257641825,-0.0056089016907200535,-0.026619940663462134
search_ord_share_180,w180_days_buy_2_15,438482,-0.00707343884779947,-0.007754423197949124,-0.008160543444188845
search_ord_share_180,intersection,181406,-0.004298526405423509,-0.001579366364111822,-0.02745787896165491
search_ord_share_180,w180_days_buy_0_1,168236,-0.0018380533072796868,-0.24987603976334782,-0.019320627146450445
search_ord_share_180,w180_days_buy_ge16,163898,-0.0068105809121112556,-0.0041852108698928825,0.041664516325098724
search_ord_share_180,actual_total_y_0,301289,-0.521004817697309,-0.5510926152243624,-1.543102130311063
search_ord_share_180,gmv_low_0_100,274901,-0.20441240967309734,0.015765963655349054,0.590669242416516
search_ord_share_180,gmv_medium_100_1000,182253,-0.16632808384763462,0.1101012750153857,1.50881080997864
search_ord_share_180,gmv_high_gt1000,12173,-0.161893342189739,0.11085792692958077,2.2639357788758794
search_cart_share_30,all,770616,-0.00214148380785942,0.019719672791980652,7.066755164769495e-08
search_cart_share_30,rec_buy_15_60,223152,-0.006046809555193522,-0.006326581337577819,-0.026619940663462134
search_cart_share_30,w180_days_buy_2_15,438482,-0.0036924286901001734,-0.0019614488643232564,-0.008160543444188845
search_cart_share_30,intersection,181406,-0.005974097010110597,-0.010114727440062601,-0.02745787896165491
search_cart_share_30,w180_days_buy_0_1,168236,-0.012529816441997072,-0.12222445696139805,-0.019320627146450445
search_cart_share_30,w180_days_buy_ge16,163898,-0.0014153526227462015,0.011934856484733547,0.041664516325098724
search_cart_share_30,actual_total_y_0,301289,-0.34101920364699334,-0.3450819554833369,-1.543102130311063
search_cart_share_30,gmv_low_0_100,274901,-0.2395695582304089,-0.12468171774949681,0.590669242416516
search_cart_share_30,gmv_medium_100_1000,182253,-0.2358512881624707,-0.00745692437363701,1.50881080997864
search_cart_share_30,gmv_high_gt1000,12173,-0.21614316176297566,0.06974930434457627,2.2639357788758794
search_cart_share_90,all,770616,-0.003347172343723557,-0.007782782145451753,7.066755164769495e-08
search_cart_share_90,rec_buy_15_60,223152,-0.0032982074401606437,0.003565913235515745,-0.026619940663462134
search_cart_share_90,w180_days_buy_2_15,438482,-0.00463931425767603,0.0012363078057051602,-0.008160543444188845
search_cart_share_90,intersection,181406,-0.004563545878504845,0.006192277382554316,-0.02745787896165491
search_cart_share_90,w180_days_buy_0_1,168236,-0.00812407283434879,-0.08590824199322905,-0.019320627146450445
search_cart_share_90,w180_days_buy_ge16,163898,-0.00412397800313446,0.007638041905985658,0.041664516325098724
search_cart_share_90,actual_total_y_0,301289,-0.21925797138701247,-0.09194391539804038,-1.543102130311063
search_cart_share_90,gmv_low_0_100,274901,-0.12028421597976541,0.0593958107847632,0.590669242416516
search_cart_share_90,gmv_medium_100_1000,182253,-0.1185398904627252,0.07718166276302778,1.50881080997864
search_cart_share_90,gmv_high_gt1000,12173,-0.14138846354668133,0.05166603715523893,2.2639357788758794
search_cart_share_180,all,770616,-0.004930018364114516,-0.012615413838942987,7.066755164769495e-08
search_cart_share_180,rec_buy_15_60,223152,-0.004639529849455413,-0.00017430123676584388,-0.026619940663462134
search_cart_share_180,w180_days_buy_2_15,438482,-0.007101261944097169,-0.0020627590254118687,-0.008160543444188845
search_cart_share_180,intersection,181406,-0.00549828443403771,0.0011836809336255509,-0.02745787896165491
search_cart_share_180,w180_days_buy_0_1,168236,-0.005982212220147052,-0.04692908492245424,-0.019320627146450445
search_cart_share_180,w180_days_buy_ge16,163898,-0.007447042266689742,-0.00295602836579308,0.041664516325098724
search_cart_share_180,actual_total_y_0,301289,-0.15685897058566403,0.028640734941464813,-1.543102130311063
search_cart_share_180,gmv_low_0_100,274901,-0.08864941608151251,0.05946376423888833,0.590669242416516
search_cart_share_180,gmv_medium_100_1000,182253,-0.0988497927153708,0.04026360682782314,1.50881080997864
search_cart_share_180,gmv_high_gt1000,12173,-0.12370001060299371,-0.005725129979253146,2.2639357788758794
share_trend_30_minus_180,all,770616,0.008522958710088064,0.05324847215630564,7.066755164769495e-08
share_trend_30_minus_180,rec_buy_15_60,223152,0.004251059210511618,0.008435511037231355,-0.026619940663462134
share_trend_30_minus_180,w180_days_buy_2_15,438482,0.007134042519436621,0.011535241800191099,-0.008160543444188845
share_trend_30_minus_180,intersection,181406,0.0031673923333296497,-0.0007468171990107664,-0.02745787896165491
share_trend_30_minus_180,w180_days_buy_0_1,168236,-0.0005972373687850223,0.19853640602093023,-0.019320627146450445
share_trend_30_minus_180,w180_days_buy_ge16,163898,0.01096331410721266,0.004215542011581473,0.041664516325098724
share_trend_30_minus_180,actual_total_y_0,301289,-0.04183521016921262,-0.0017953280352853414,-1.543102130311063
share_trend_30_minus_180,gmv_low_0_100,274901,-0.25788205063461234,-0.29299939155103266,0.590669242416516
share_trend_30_minus_180,gmv_medium_100_1000,182253,-0.2971544247841668,-0.2603319838052194,1.50881080997864
share_trend_30_minus_180,gmv_high_gt1000,12173,-0.2520230109306171,-0.16469562343992827,2.2639357788758794
recency_last_search_purchase,all,770616,-0.005840890144911427,-0.07572839770387078,7.066755164769495e-08
recency_last_search_purchase,rec_buy_15_60,223152,-0.004711369337712627,-0.010400451038624822,-0.026619940663462134
recency_last_search_purchase,w180_days_buy_2_15,438482,-0.002837135083100407,-0.011582108070879962,-0.008160543444188845
recency_last_search_purchase,intersection,181406,-0.00044570789824729593,0.0028440366381306016,-0.02745787896165491
recency_last_search_purchase,w180_days_buy_0_1,168236,0.004838511146702334,0.29150511461223544,-0.019320627146450445
