cutoff,source,feature,pearson_residual,mean,std
2025-10-02,PLACEBO,pd_w90_gmv_rel,0.008439832416538375,320.6579895019531,699.16357421875
2025-10-16,REAL,pd_w30_present_rel,0.003692113027337703,11.250513076782227,7.179112911224365
2025-10-16,PLACEBO,pd_w30_present_rel,0.0036822347848427172,11.320679664611816,7.222202777862549
2025-10-16,REAL,pd_w30_searches_rel,0.003708415793453184,38.170494079589844,55.10154342651367
2025-10-16,PLACEBO,pd_w30_searches_rel,0.00369660705182808,38.13747024536133,55.05465316772461
2025-10-16,REAL,pd_w30_carts_rel,0.00808780026685187,12.266728401184082,22.058574676513672
2025-10-16,PLACEBO,pd_w30_carts_rel,0.008108030392825856,12.241076469421387,22.01824378967285
2025-10-16,REAL,pd_w30_orders_rel,0.012125528201023684,3.327035427093506,6.749715805053711
2025-10-16,PLACEBO,pd_w30_orders_rel,0.012104613399734322,3.3192241191864014,6.729891777038574
2025-10-16,REAL,pd_w30_gmv_rel,0.007315012541153462,112.83912658691406,316.4013366699219
2025-10-16,PLACEBO,pd_w30_gmv_rel,0.007371253891547169,112.1335678100586,314.9468688964844
2025-10-16,REAL,pd_w90_present_rel,-8.351231431026997e-05,33.75153732299805,20.282793045043945
2025-10-16,PLACEBO,pd_w90_present_rel,-6.885757208468997e-05,33.79384994506836,20.296831130981445
2025-10-16,REAL,pd_w90_searches_rel,0.0009179783182500548,109.09945678710938,145.9195556640625
2025-10-16,PLACEBO,pd_w90_searches_rel,0.0009190468775632444,109.19268798828125,146.03396606445312
2025-10-16,REAL,pd_w90_carts_rel,0.0036617598524167137,35.06093978881836,57.30882263183594
2025-10-16,PLACEBO,pd_w90_carts_rel,0.0036259796153368176,35.101829528808594,57.38359451293945
2025-10-16,REAL,pd_w90_orders_rel,0.006647088300059666,9.509381294250488,17.255868911743164
2025-10-16,PLACEBO,pd_w90_orders_rel,0.00658182840966248,9.519367218017578,17.2698974609375
2025-10-16,REAL,pd_w90_gmv_rel,0.0036573958421243042,322.5184326171875,707.75927734375
2025-10-16,PLACEBO,pd_w90_gmv_rel,0.003585435410785024,322.9659423828125,709.5392456054688
