cutoff,arm,recipient_side,segment,n,base_score,candidate_score,delta
2025-09-18,REAL,0,LOW_BUY90,31121,1.6641394854844258,1.6641394854844258,0.0
2025-09-18,REAL,1,ALL,95629,1.759886879180855,1.759886879180855,0.0
2025-09-18,REAL,1,RECENT_SEARCH,78466,1.773186894571679,1.773186894571679,0.0
2025-09-18,REAL,1,LOW_BUY90,31280,1.6561146000942366,1.6561146000942366,0.0
2025-09-18,PLACEBO,0,ALL,95396,1.7611286876405652,1.7611286876405652,0.0
2025-09-18,PLACEBO,0,RECENT_SEARCH,78122,1.7745270906060242,1.7745270906060242,0.0
2025-09-18,PLACEBO,0,LOW_BUY90,31121,1.6641394854844258,1.6641394854844258,0.0
2025-09-18,PLACEBO,1,ALL,95629,1.759886879180855,1.759886879180855,0.0
2025-09-18,PLACEBO,1,RECENT_SEARCH,78466,1.773186894571679,1.773186894571679,0.0
2025-09-18,PLACEBO,1,LOW_BUY90,31280,1.6561146000942366,1.6561146000942366,0.0
2025-09-18,CONTROL_ONLY,0,ALL,95396,1.7611286876405652,1.7611286876405652,0.0
2025-09-18,CONTROL_ONLY,0,RECENT_SEARCH,78122,1.7745270906060242,1.7745270906060242,0.0
2025-09-18,CONTROL_ONLY,0,LOW_BUY90,31121,1.6641394854844258,1.6641394854844258,0.0
2025-09-18,CONTROL_ONLY,1,ALL,95629,1.759886879180855,1.759886879180855,0.0
2025-09-18,CONTROL_ONLY,1,RECENT_SEARCH,78466,1.773186894571679,1.773186894571679,0.0
2025-09-18,CONTROL_ONLY,1,LOW_BUY90,31280,1.6561146000942366,1.6561146000942366,0.0
2025-10-02,REAL,0,ALL,96693,1.7469849384990352,1.7469849384990352,0.0
2025-10-02,REAL,0,RECENT_SEARCH,79752,1.759202382591122,1.759202382591122,0.0
2025-10-02,REAL,0,LOW_BUY90,31177,1.639422233732394,1.639422233732394,0.0
2025-10-02,REAL,1,ALL,97001,1.7502571545254346,1.7502571545254346,0.0
2025-10-02,REAL,1,RECENT_SEARCH,80003,1.763933385048556,1.763933385048556,0.0
2025-10-02,REAL,1,LOW_BUY90,31511,1.6436032030400891,1.6436032030400891,0.0
2025-10-02,PLACEBO,0,ALL,96693,1.7469849384990352,1.7469849384990352,0.0
2025-10-02,PLACEBO,0,RECENT_SEARCH,79752,1.759202382591122,1.759202382591122,0.0
2025-10-02,PLACEBO,0,LOW_BUY90,31177,1.639422233732394,1.639422233732394,0.0
2025-10-02,PLACEBO,1,ALL,97001,1.7502571545254346,1.7502571545254346,0.0
2025-10-02,PLACEBO,1,RECENT_SEARCH,80003,1.763933385048556,1.763933385048556,0.0
2025-10-02,PLACEBO,1,LOW_BUY90,31511,1.6436032030400891,1.6436032030400891,0.0
2025-10-02,CONTROL_ONLY,0,ALL,96693,1.7469849384990352,1.7469849384990352,0.0
2025-10-02,CONTROL_ONLY,0,RECENT_SEARCH,79752,1.759202382591122,1.759202382591122,0.0
2025-10-02,CONTROL_ONLY,0,LOW_BUY90,31177,1.639422233732394,1.639422233732394,0.0
2025-10-02,CONTROL_ONLY,1,ALL,97001,1.7502571545254346,1.7502571545254346,0.0
2025-10-02,CONTROL_ONLY,1,RECENT_SEARCH,80003,1.763933385048556,1.763933385048556,0.0
2025-10-02,CONTROL_ONLY,1,LOW_BUY90,31511,1.6436032030400891,1.6436032030400891,0.0
2025-10-16,REAL,0,ALL,98613,1.7418665616146538,1.7418665616146538,0.0
2025-10-16,REAL,0,RECENT_SEARCH,81624,1.756643684502307,1.756643684502307,0.0
2025-10-16,REAL,0,LOW_BUY90,31697,1.6290627215300069,1.6290627215300069,0.0
2025-10-16,REAL,1,ALL,98766,1.7406893569291604,1.7406893569291604,0.0
2025-10-16,REAL,1,RECENT_SEARCH,81836,1.7535163012278325,1.7535163012278325,0.0
2025-10-16,REAL,1,LOW_BUY90,31824,1.6302125640004563,1.6302125640004563,0.0
2025-10-16,PLACEBO,0,ALL,98613,1.7418665616146538,1.7418665616146538,0.0
2025-10-16,PLACEBO,0,RECENT_SEARCH,81624,1.756643684502307,1.756643684502307,0.0
2025-10-16,PLACEBO,0,LOW_BUY90,31697,1.6290627215300069,1.6290627215300069,0.0
2025-10-16,PLACEBO,1,ALL,98766,1.7406893569291604,1.7406893569291604,0.0
2025-10-16,PLACEBO,1,RECENT_SEARCH,81836,1.7535163012278325,1.7535163012278325,0.0
2025-10-16,PLACEBO,1,LOW_BUY90,31824,1.6302125640004563,1.6302125640004563,0.0
2025-10-16,CONTROL_ONLY,0,ALL,98613,1.7418665616146538,1.7418665616146538,0.0
2025-10-16,CONTROL_ONLY,0,RECENT_SEARCH,81624,1.756643684502307,1.756643684502307,0.0
2025-10-16,CONTROL_ONLY,0,LOW_BUY90,31697,1.6290627215300069,1.6290627215300069,0.0
2025-10-16,CONTROL_ONLY,1,ALL,98766,1.7406893569291604,1.7406893569291604,0.0
2025-10-16,CONTROL_ONLY,1,RECENT_SEARCH,81836,1.7535163012278325,1.7535163012278325,0.0
2025-10-16,CONTROL_ONLY,1,LOW_BUY90,31824,1.6302125640004563,1.6302125640004563,0.0
