experiment_id,namespace,source_ref,code_path,link_kind,source_report
team_a_current:exp_032:exp_032_s04_cond_fresh_pilot,team_a_current,WORKTREE,src/seq_cond.py,explicit_primary_report_reference,experiments/exp_032_s04_cond_fresh_pilot.md
team_a_current:exp_032:exp_032_s04_cond_fresh_pilot,team_a_current,WORKTREE,src/test_seq_cond.py,explicit_primary_report_reference,experiments/exp_032_s04_cond_fresh_pilot.md
team_a_current:exp_032:exp_032_s04_conditional_fresh_seq,team_a_current,WORKTREE,src/dist_pact.py,explicit_primary_report_reference,experiments/EXP_032_S04_conditional_fresh_seq.md
team_a_current:exp_032:exp_032_s04_conditional_fresh_seq,team_a_current,WORKTREE,src/seq_cond.py,explicit_primary_report_reference,experiments/EXP_032_S04_conditional_fresh_seq.md
team_a_current:exp_032b,team_a_current,WORKTREE,research/strategies/results/SEQ8/mix_diversity.py,explicit_primary_report_reference,experiments/exp_032b_prod_extensive.md
team_a_current:exp_032b,team_a_current,WORKTREE,research/strategies/results/SEQ8/prod_folds.py,explicit_primary_report_reference,experiments/exp_032b_prod_extensive.md
team_a_current:exp_032b,team_a_current,WORKTREE,src/dist_pact.py,explicit_primary_report_reference,experiments/exp_032b_prod_extensive.md
team_a_current:exp_032b,team_a_current,WORKTREE,src/test_seq_cond.py,explicit_primary_report_reference,experiments/exp_032b_prod_extensive.md
team_a_current:exp_035,team_a_current,WORKTREE,research/strategies/results/MIX9/build_d3a_avg3.py,explicit_primary_report_reference,experiments/exp_035_mix9_seq_slot.md
team_a_current:exp_035,team_a_current,WORKTREE,research/strategies/results/MIX9/lofo_mix.py,explicit_primary_report_reference,experiments/exp_035_mix9_seq_slot.md
team_a_current:exp_035,team_a_current,WORKTREE,research/strategies/results/MIX9/make_submission.sh,explicit_primary_report_reference,experiments/exp_035_mix9_seq_slot.md
team_a_current:exp_035,team_a_current,WORKTREE,research/strategies/results/MIX9/push_pull.sh,explicit_primary_report_reference,experiments/exp_035_mix9_seq_slot.md
team_a_current:exp_035,team_a_current,WORKTREE,research/strategies/results/MIX9/seed_noise.py,explicit_primary_report_reference,experiments/exp_035_mix9_seq_slot.md
team_a_current:exp_036,team_a_current,WORKTREE,research/strategies/results/ETX1/make_submission.sh,explicit_primary_report_reference,experiments/exp_036_etx_sparse_event_transformer.md
team_a_current:exp_036,team_a_current,WORKTREE,src/etx.py,explicit_primary_report_reference,experiments/exp_036_etx_sparse_event_transformer.md
team_a_current:exp_036,team_a_current,WORKTREE,src/test_etx.py,explicit_primary_report_reference,experiments/exp_036_etx_sparse_event_transformer.md
team_a_current:exp_037,team_a_current,WORKTREE,research/strategies/results/ETX2/depth_fix.py,explicit_primary_report_reference,experiments/exp_037_etx_avg3_strongest.md
team_a_current:exp_037,team_a_current,WORKTREE,research/strategies/results/ETX2/make_submission.sh,explicit_primary_report_reference,experiments/exp_037_etx_avg3_strongest.md
team_a_current:exp_037,team_a_current,WORKTREE,research/strategies/results/ETX2/pull_a10.sh,explicit_primary_report_reference,experiments/exp_037_etx_avg3_strongest.md
team_a_current:exp_037,team_a_current,WORKTREE,research/strategies/results/ETX2/run_a10.sh,explicit_primary_report_reference,experiments/exp_037_etx_avg3_strongest.md
team_a_current:exp_037,team_a_current,WORKTREE,research/strategies/results/ETX2/run_all.sh,explicit_primary_report_reference,experiments/exp_037_etx_avg3_strongest.md
team_a_current:exp_037,team_a_current,WORKTREE,research/strategies/results/ETX2/run_local.sh,explicit_primary_report_reference,experiments/exp_037_etx_avg3_strongest.md
team_a_current:exp_037,team_a_current,WORKTREE,src/etx.py,explicit_primary_report_reference,experiments/exp_037_etx_avg3_strongest.md
team_a_current:exp_037,team_a_current,WORKTREE,src/test_etx.py,explicit_primary_report_reference,experiments/exp_037_etx_avg3_strongest.md
team_a_current:exp_038,team_a_current,WORKTREE,research/strategies/results/FNL1/analyze.py,explicit_primary_report_reference,experiments/exp_038_fnl_future_funnel.md
team_a_current:exp_038,team_a_current,WORKTREE,research/strategies/results/FNL1/run.sh,explicit_primary_report_reference,experiments/exp_038_fnl_future_funnel.md
team_a_current:exp_038,team_a_current,WORKTREE,research/strategies/results/FNL1/run_makeup.sh,explicit_primary_report_reference,experiments/exp_038_fnl_future_funnel.md
team_a_current:exp_038,team_a_current,WORKTREE,src/fnl.py,explicit_primary_report_reference,experiments/exp_038_fnl_future_funnel.md
team_a_current:exp_038,team_a_current,WORKTREE,src/seq.py,explicit_primary_report_reference,experiments/exp_038_fnl_future_funnel.md
team_a_current:exp_038,team_a_current,WORKTREE,src/test_fnl.py,explicit_primary_report_reference,experiments/exp_038_fnl_future_funnel.md
team_a_current:exp_039,team_a_current,WORKTREE,src/block4_saf.py,explicit_primary_report_reference,experiments/exp_039_block4_saf.md
team_a_current:exp_039,team_a_current,WORKTREE,src/features.py,explicit_primary_report_reference,experiments/exp_039_block4_saf.md
team_a_current:exp_039,team_a_current,WORKTREE,src/test_block4_saf.py,explicit_primary_report_reference,experiments/exp_039_block4_saf.md
team_a_current:exp_039,team_a_current,WORKTREE,src/test_pipeline.py,explicit_primary_report_reference,experiments/exp_039_block4_saf.md
team_a_current:exp_039,team_a_current,WORKTREE,src/test_validation.py,explicit_primary_report_reference,experiments/exp_039_block4_saf.md
team_a_current:exp_040,team_a_current,WORKTREE,src/fresh_contrast.py,explicit_primary_report_reference,experiments/exp_040_fresh_contrast_moe.md
team_a_current:exp_040,team_a_current,WORKTREE,src/test_fresh_contrast.py,explicit_primary_report_reference,experiments/exp_040_fresh_contrast_moe.md
team_a_current:exp_040,team_a_current,WORKTREE,src/test_pipeline.py,explicit_primary_report_reference,experiments/exp_040_fresh_contrast_moe.md
team_a_current:exp_040,team_a_current,WORKTREE,src/test_seq_cond.py,explicit_primary_report_reference,experiments/exp_040_fresh_contrast_moe.md
team_a_current:exp_040,team_a_current,WORKTREE,src/test_validation.py,explicit_primary_report_reference,experiments/exp_040_fresh_contrast_moe.md
team_a_current:exp_041,team_a_current,WORKTREE,src/config.py,explicit_primary_report_reference,experiments/exp_041_ridge15.md
team_a_current:exp_041,team_a_current,WORKTREE,src/ridge15.py,explicit_primary_report_reference,experiments/exp_041_ridge15.md
team_a_current:exp_042,team_a_current,WORKTREE,src/test_zero2d_shrink.py,explicit_primary_report_reference,experiments/exp_042_zero2d_shrink.md
team_a_current:exp_042,team_a_current,WORKTREE,src/zero2d_shrink.py,explicit_primary_report_reference,experiments/exp_042_zero2d_shrink.md
team_a_current:exp_043,team_a_current,WORKTREE,src/config.py,explicit_primary_report_reference,experiments/exp_043_det_pair.md
team_a_current:exp_043,team_a_current,WORKTREE,src/det_pair.py,explicit_primary_report_reference,experiments/exp_043_det_pair.md
team_a_current:exp_043,team_a_current,WORKTREE,src/seq.py,explicit_primary_report_reference,experiments/exp_043_det_pair.md
team_a_current:exp_043,team_a_current,WORKTREE,src/test_det_pair.py,explicit_primary_report_reference,experiments/exp_043_det_pair.md
team_a_current:exp_043,team_a_current,WORKTREE,src/test_fnl.py,explicit_primary_report_reference,experiments/exp_043_det_pair.md
team_a_current:exp_043,team_a_current,WORKTREE,src/test_seq.py,explicit_primary_report_reference,experiments/exp_043_det_pair.md
team_a_current:exp_043,team_a_current,WORKTREE,src/test_validation.py,explicit_primary_report_reference,experiments/exp_043_det_pair.md
team_a_current:exp_043,team_a_current,WORKTREE,src/validation.py,explicit_primary_report_reference,experiments/exp_043_det_pair.md
team_a_current:exp_044,team_a_current,WORKTREE,src/config.py,explicit_primary_report_reference,experiments/exp_044_fresh_conditional_ft.md
team_a_current:exp_044,team_a_current,WORKTREE,src/fresh_cond_ft.py,explicit_primary_report_reference,experiments/exp_044_fresh_conditional_ft.md
team_a_current:exp_044,team_a_current,WORKTREE,src/test_fresh_cond_ft.py,explicit_primary_report_reference,experiments/exp_044_fresh_conditional_ft.md
team_a_current:exp_045,team_a_current,WORKTREE,src/buyctrl_det.py,explicit_primary_report_reference,experiments/exp_045_buyctrl_det.md
team_a_current:exp_045,team_a_current,WORKTREE,src/test_buyctrl_det.py,explicit_primary_report_reference,experiments/exp_045_buyctrl_det.md
team_a_current:exp_045,team_a_current,WORKTREE,src/test_det_pair.py,explicit_primary_report_reference,experiments/exp_045_buyctrl_det.md
team_a_current:exp_045,team_a_current,WORKTREE,src/test_fnl.py,explicit_primary_report_reference,experiments/exp_045_buyctrl_det.md
team_a_current:exp_045,team_a_current,WORKTREE,src/test_fresh_cond_ft.py,explicit_primary_report_reference,experiments/exp_045_buyctrl_det.md
team_a_current:exp_045,team_a_current,WORKTREE,src/test_seq.py,explicit_primary_report_reference,experiments/exp_045_buyctrl_det.md
team_a_current:exp_045,team_a_current,WORKTREE,src/test_validation.py,explicit_primary_report_reference,experiments/exp_045_buyctrl_det.md
team_a_current:exp_046,team_a_current,WORKTREE,src/tabular_backbone_refresh.py,explicit_primary_report_reference,experiments/exp_046_tabular_backbone_refresh.md
team_a_current:exp_046,team_a_current,WORKTREE,src/test_pipeline.py,explicit_primary_report_reference,experiments/exp_046_tabular_backbone_refresh.md
team_a_current:exp_046,team_a_current,WORKTREE,src/test_tabular_backbone_refresh.py,explicit_primary_report_reference,experiments/exp_046_tabular_backbone_refresh.md
team_a_current:exp_046,team_a_current,WORKTREE,src/test_validation.py,explicit_primary_report_reference,experiments/exp_046_tabular_backbone_refresh.md
team_a_current:exp_047,team_a_current,WORKTREE,src/btyd_day_bgnbd.py,explicit_primary_report_reference,experiments/exp_047_btyd_day_bgnbd_residual.md
team_a_current:exp_047,team_a_current,WORKTREE,src/config.py,explicit_primary_report_reference,experiments/exp_047_btyd_day_bgnbd_residual.md
team_a_current:exp_047,team_a_current,WORKTREE,src/test_btyd_day_bgnbd.py,explicit_primary_report_reference,experiments/exp_047_btyd_day_bgnbd_residual.md
team_a_current:exp_047,team_a_current,WORKTREE,src/test_validation.py,explicit_primary_report_reference,experiments/exp_047_btyd_day_bgnbd_residual.md
team_a_current:exp_049,team_a_current,WORKTREE,src/selection_mismatch_followup.py,explicit_primary_report_reference,experiments/exp_049_selection_mismatch_production_followup.md
team_a_current:exp_049,team_a_current,WORKTREE,src/test_btyd_day_bgnbd.py,explicit_primary_report_reference,experiments/exp_049_selection_mismatch_production_followup.md
team_a_current:exp_049,team_a_current,WORKTREE,src/test_fresh_contrast.py,explicit_primary_report_reference,experiments/exp_049_selection_mismatch_production_followup.md
team_a_current:exp_049,team_a_current,WORKTREE,src/test_selection_mismatch_cv.py,explicit_primary_report_reference,experiments/exp_049_selection_mismatch_production_followup.md
team_a_current:exp_049,team_a_current,WORKTREE,src/test_validation.py,explicit_primary_report_reference,experiments/exp_049_selection_mismatch_production_followup.md
team_a_current:exp_050,team_a_current,WORKTREE,src/btyd05_production.py,explicit_primary_report_reference,experiments/exp_050_btyd05_production_resolution.md
team_a_current:exp_051,team_a_current,WORKTREE,src/btyd_exp051.py,explicit_primary_report_reference,experiments/exp_051_btyd_stable_production.md
team_a_current:exp_051,team_a_current,WORKTREE,src/btyd_stable_fit.py,explicit_primary_report_reference,experiments/exp_051_btyd_stable_production.md
team_a_current:exp_051,team_a_current,WORKTREE,src/test_btyd_day_bgnbd.py,explicit_primary_report_reference,experiments/exp_051_btyd_stable_production.md
team_a_current:exp_051,team_a_current,WORKTREE,src/test_btyd_stable_fit.py,explicit_primary_report_reference,experiments/exp_051_btyd_stable_production.md
team_a_current:exp_051,team_a_current,WORKTREE,src/test_validation.py,explicit_primary_report_reference,experiments/exp_051_btyd_stable_production.md
team_a_current:exp_052,team_a_current,WORKTREE,src/channel_shapley_split.py,explicit_primary_report_reference,experiments/exp_052_channel_shapley_split.md
team_a_current:exp_052,team_a_current,WORKTREE,src/test_channel_shapley_split.py,explicit_primary_report_reference,experiments/exp_052_channel_shapley_split.md
team_a_current:exp_052,team_a_current,WORKTREE,src/test_pipeline.py,explicit_primary_report_reference,experiments/exp_052_channel_shapley_split.md
team_a_current:exp_052,team_a_current,WORKTREE,src/test_validation.py,explicit_primary_report_reference,experiments/exp_052_channel_shapley_split.md
team_a_current:exp_056,team_a_current,WORKTREE,src/test_late_unlabeled_etx.py,explicit_primary_report_reference,experiments/exp_056_late_unlabeled_etx.md
team_a_current:exp_057,team_a_current,WORKTREE,src/test_pipeline.py,explicit_primary_report_reference,experiments/exp_057_production_state_reweight.md
team_a_current:exp_057,team_a_current,WORKTREE,src/test_production_state_reweight.py,explicit_primary_report_reference,experiments/exp_057_production_state_reweight.md
team_a_current:exp_057,team_a_current,WORKTREE,src/test_validation.py,explicit_primary_report_reference,experiments/exp_057_production_state_reweight.md
team_a_current:exp_058,team_a_current,WORKTREE,src/config.py,explicit_primary_report_reference,experiments/exp_058_dataset_fingerprint.md
team_a_current:exp_058,team_a_current,WORKTREE,src/dataset_fingerprint.py,explicit_primary_report_reference,experiments/exp_058_dataset_fingerprint.md
team_a_current:exp_058,team_a_current,WORKTREE,src/test_dataset_fingerprint.py,explicit_primary_report_reference,experiments/exp_058_dataset_fingerprint.md
team_a_current:exp_058,team_a_current,WORKTREE,src/test_pipeline.py,explicit_primary_report_reference,experiments/exp_058_dataset_fingerprint.md
team_a_current:exp_058,team_a_current,WORKTREE,src/test_validation.py,explicit_primary_report_reference,experiments/exp_058_dataset_fingerprint.md
team_a_current:exp_059,team_a_current,WORKTREE,research/strategies/results/SEQ65_TEMPORAL_HEAVY/build_submission.py,explicit_primary_report_reference,experiments/exp_059_seq65_temporal_heavy.md
team_a_current:exp_060,team_a_current,WORKTREE,research/strategies/results/LEVEL_MINUS_006_EXP060/build_level_minus_006.mjs,explicit_primary_report_reference,experiments/exp_060_level_minus_006.md
team_a_current:exp_061,team_a_current,WORKTREE,src/open_funnel.py,explicit_primary_report_reference,experiments/exp_061_open_funnel.md
team_a_current:exp_062,team_a_current,WORKTREE,src/config.py,explicit_primary_report_reference,experiments/exp_062_platform_detrend.md
team_a_current:exp_063,team_a_current,WORKTREE,src/occurrence_revisit.py,explicit_primary_report_reference,experiments/exp_063_occurrence_revisit.md
team_a_current:exp_064,team_a_current,WORKTREE,src/config.py,explicit_primary_report_reference,experiments/exp_064_event_order.md
team_a_current:exp_065,team_a_current,WORKTREE,src/final_integration.py,explicit_primary_report_reference,experiments/exp_065_final_integration.md
team_a_current:exp_067,team_a_current,WORKTREE,src/authoritative_latest_audit.py,explicit_primary_report_reference,experiments/exp_067_authoritative_latest_integration.md
team_a_current:exp_067,team_a_current,WORKTREE,src/test_authoritative_latest_audit.py,explicit_primary_report_reference,experiments/exp_067_authoritative_latest_integration.md
team_a_current:exp_068,team_a_current,WORKTREE,src/recency_ridge_predictions.py,explicit_primary_report_reference,experiments/exp_068_recency_ridge_predictions.md
independent_anniversary:exp_058,independent_anniversary,LINKED_WORKTREE:exp/058-exact-anniversary,src/exact_anniversary.py,explicit_primary_report_reference,experiments/exp_058_exact_anniversary.md
independent_anniversary:exp_058,independent_anniversary,LINKED_WORKTREE:exp/058-exact-anniversary,src/test_exact_anniversary.py,explicit_primary_report_reference,experiments/exp_058_exact_anniversary.md
independent_anniversary:exp_058,independent_anniversary,LINKED_WORKTREE:exp/058-exact-anniversary,src/test_pipeline.py,explicit_primary_report_reference,experiments/exp_058_exact_anniversary.md
independent_anniversary:exp_058,independent_anniversary,LINKED_WORKTREE:exp/058-exact-anniversary,src/test_validation.py,explicit_primary_report_reference,experiments/exp_058_exact_anniversary.md
team_a_s2:exp_009,team_a_s2,team-a-strategy-2-impl,src/config.py,explicit_primary_report_reference,experiments/exp_009_s2_aggregation.md
team_a_s2:exp_009,team_a_s2,team-a-strategy-2-impl,src/strategy_2.py,explicit_primary_report_reference,experiments/exp_009_s2_aggregation.md
team_a_s2:exp_010,team_a_s2,team-a-strategy-2-impl,src/config.py,explicit_primary_report_reference,experiments/exp_010_s2_count_hurdle.md
team_a_s2:exp_011,team_a_s2,team-a-strategy-2-impl,src/config.py,explicit_primary_report_reference,experiments/exp_011_s2_k_calibration.md
team_a_s2:exp_012,team_a_s2,team-a-strategy-2-impl,src/config.py,explicit_primary_report_reference,experiments/exp_012_s2_best_submission.md
team_b_core:exp_002,team_b_core,origin/team-b-B2,src/config.py,explicit_primary_report_reference,experiments/exp_002_sply.md
team_b_core:exp_002,team_b_core,origin/team-b-B2,src/train.py,explicit_primary_report_reference,experiments/exp_002_sply.md
team_b_core:exp_003,team_b_core,origin/team-b-B2,src/config.py,explicit_primary_report_reference,experiments/exp_003_calendar.md
team_b_core:exp_003,team_b_core,origin/team-b-B2,src/train.py,explicit_primary_report_reference,experiments/exp_003_calendar.md
team_b_core:exp_004,team_b_core,origin/team-b-B2,src/config.py,explicit_primary_report_reference,experiments/exp_004_ewm.md
team_b_core:exp_004,team_b_core,origin/team-b-B2,src/train.py,explicit_primary_report_reference,experiments/exp_004_ewm.md
team_b_core:exp_005,team_b_core,origin/team-b-B2,src/config.py,explicit_primary_report_reference,experiments/exp_005_multicutoff.md
team_b_core:exp_005,team_b_core,origin/team-b-B2,src/train.py,explicit_primary_report_reference,experiments/exp_005_multicutoff.md
team_b_core:exp_006,team_b_core,origin/team-b-B2,src/config.py,explicit_primary_report_reference,experiments/exp_006_hurdle.md
team_b_core:exp_006,team_b_core,origin/team-b-B2,src/train.py,explicit_primary_report_reference,experiments/exp_006_hurdle.md
team_b_core:exp_007,team_b_core,origin/team-b-B2,src/config.py,explicit_primary_report_reference,experiments/exp_007_tweedie.md
team_b_core:exp_008,team_b_core,origin/team-b-B2,src/config.py,explicit_primary_report_reference,experiments/exp_008_huber.md
team_b_core:exp_009,team_b_core,origin/team-b-B2,src/config.py,explicit_primary_report_reference,experiments/exp_009_search_catalog.md
team_b_core:exp_009,team_b_core,origin/team-b-B2,src/train.py,explicit_primary_report_reference,experiments/exp_009_search_catalog.md
team_b_core:exp_010,team_b_core,origin/team-b-B2,src/config.py,explicit_primary_report_reference,experiments/exp_010_aov_intensity.md
team_b_core:exp_010,team_b_core,origin/team-b-B2,src/train.py,explicit_primary_report_reference,experiments/exp_010_aov_intensity.md
team_b_core:exp_011,team_b_core,origin/team-b-B2,src/config.py,explicit_primary_report_reference,experiments/exp_011_trends.md
team_b_core:exp_011,team_b_core,origin/team-b-B2,src/train.py,explicit_primary_report_reference,experiments/exp_011_trends.md
