namespace,source_ref,source_path,sha256,size_bytes,referenced_by,clean_snapshot_path,status
independent_calendar,codex/calendar-placebo-01,src/report.py,651a606beda74bcfe0fc16dc8ffc6bed336ddb5ee13d8ebb5b8cdb176f295da3,6841,experiments/exp_016_validator_calibration.md,code_index/snapshots/independent_calendar/src/report.py,snapshotted
independent_calendar,codex/calendar-placebo-01,src/seedavg.py,4890b0fe9d04c34f8a5d6a9993062f4970a9ffb79c96bfb3d74d7ac827bc85bb,7664,experiments/exp_018_seed_average.md,code_index/snapshots/independent_calendar/src/seedavg.py,snapshotted
independent_calendar,codex/calendar-placebo-01,src/seq.py,688bdbbadac1e218f61839ff4846f89e99de82517e173a900aec9b4a3311c206,30765,experiments/exp_025_sequence_encoder.md,code_index/snapshots/independent_calendar/src/seq.py,snapshotted
independent_calendar,codex/calendar-placebo-01,src/smoke.py,579e1e330fbdd9a2cb1614a3621930f8c65164e2f0d0f58de450a4f6a6b1ec8f,3708,experiments/exp_021_personal_time.md,code_index/snapshots/independent_calendar/src/smoke.py,snapshotted
independent_calendar,codex/calendar-placebo-01,src/test_calendar_placebo.py,0900e055293c522e6b254d173351efc6e6be563b70f2dd1d4ae1e9c5b37b3663,2461,experiments/exp_029_calendar_placebo.md,code_index/snapshots/independent_calendar/src/test_calendar_placebo.py,snapshotted
independent_calendar,codex/calendar-placebo-01,src/test_calval.py,ccf9cd443dc1abb5e0b693a3258e2ef7c3f7b5f412d115f3413898b81b42c938,9327,experiments/exp_027_next_purchase_clock.md,code_index/snapshots/independent_calendar/src/test_calval.py,snapshotted
independent_calendar,codex/calendar-placebo-01,src/test_domain01.py,8add361bcb0b788316b69e7e8f227333ff2e26ad4b5d263bb8dca2f147551a16,2287,experiments/exp_028_domain_shift.md,code_index/snapshots/independent_calendar/src/test_domain01.py,snapshotted
independent_calendar,codex/calendar-placebo-01,src/test_mhz.py,bc29a395cabcdb35ad33c4ff880ef5a4808915c02597fdd0a50763db57723684,9400,experiments/exp_024_multihorizon_hazard.md,code_index/snapshots/independent_calendar/src/test_mhz.py,snapshotted
independent_calendar,codex/calendar-placebo-01,src/test_pipeline.py,ffd73048dd0ff6b400d289c956ad23993632f0d68ada68abc63b26c2ee5e503f,8743,experiments/exp_014_s1_dist_head.md;experiments/exp_015_last_fold_only.md,code_index/snapshots/independent_calendar/src/test_pipeline.py,snapshotted
independent_calendar,codex/calendar-placebo-01,src/test_renewal.py,371f472ba6bcaf25596e3e686098601d18a7ce270990c1e9c627ab179707bd3f,4918,experiments/exp_027_next_purchase_clock.md,code_index/snapshots/independent_calendar/src/test_renewal.py,snapshotted
