ckpt,seed,panel,depth,train_max,avail,extrap,over_train,rmsle,rmsle_cal,d_cal,auc,bias,mean_z,var_vs_clip
SEQ-01-S43-V1002,43,1016,247,240,289,49,7,1.7510412318898214,1.7480998414528788,-0.0005662508848949255,0.8427864358415654,0.10145117096733758,2.5300679587645782,0.00304568515676151
SEQ-01-S43-V1002,43,1016,254,240,289,49,14,1.750693819690729,1.7475751451424504,-0.0010909471953233218,0.8428582578765924,0.10445076535697595,2.52706836437494,0.005871410476112889
SEQ-01-S43-V1002,43,1016,261,240,289,49,21,1.7501324891124581,1.7472034532422733,-0.0014626390955003732,0.8428788525728872,0.10121177019124028,2.5303073595406755,0.008438643838295196
SEQ-01-S43-V1002,43,1016,268,240,289,49,28,1.7490182273736912,1.7468787273902577,-0.001787364947515968,0.8429520196793903,0.08648393768095142,2.5450351920509644,0.011209358667623808
SEQ-01-S43-V1002,43,1016,275,240,289,49,35,1.7480613400058511,1.7467068385644093,-0.0019592537733643667,0.8429148517075662,0.06880166084752748,2.5627174688843883,0.014291299542309623
SEQ-01-S43-V1002,43,1016,282,240,289,49,42,1.7473466933538575,1.7464884004001675,-0.0021776919376061965,0.8428895463941861,0.054760697971488526,2.5767584317604273,0.017138602877239426
SEQ-01-S43-V1002,43,1016,289,240,289,49,49,1.7471003633483493,1.7465175472435892,-0.0021485450941844952,0.8427823383663281,0.045123572356046804,2.586395557375869,0.019675509990197133
SEQ-01-S44-V0904,44,1016,212,212,289,77,0,1.7538474794100725,1.7538474650050269,0.0,0.8417304951224721,-0.00011760353288936543,2.631636733264805,0.0
SEQ-01-S44-V0904,44,1016,226,212,289,77,14,1.7526831698394079,1.752456305862951,-0.0013911591420758818,0.8421415437943333,-0.028041085682131595,2.6595602154140474,0.007874622497063027
SEQ-01-S44-V0904,44,1016,240,212,289,77,28,1.752584669521376,1.7517104772279488,-0.0021369877770780477,0.8423527122808298,-0.055149195412262486,2.6866683251441783,0.014773170052057973
