candidate,segment,n,share_late,base_rmsle,candidate_rmsle,delta_rmsle
RESIDUAL_REAL,seq_much_greater_etx,29406,0.14898241454258052,1.8739344576210055,1.87393445683113,-7.898754983415301e-10
RESIDUAL_REAL,neural_much_greater_tabular,11008,0.055770877347640836,1.88512897253699,1.8851289715412256,-9.95764359856821e-10
RESIDUAL_REAL,tabular_much_greater_neural,29802,0.1509887070053045,1.813281260236848,1.81328126001272,-2.2412804945304288e-10
RESIDUAL_REAL,prediction_decile_01,19738,0.1000005066395108,1.1445364843560253,1.1445364844488144,9.278910972909671e-11
RESIDUAL_REAL,prediction_decile_02,19738,0.1000005066395108,1.5919808421948747,1.5919808421263777,-6.849698586108843e-11
RESIDUAL_REAL,prediction_decile_03,19738,0.1000005066395108,1.8566418037330057,1.856641803854798,1.2179235397979937e-10
RESIDUAL_REAL,prediction_decile_04,19738,0.1000005066395108,1.9692493083670495,1.969249308232798,-1.342514988067478e-10
RESIDUAL_REAL,prediction_decile_05,19738,0.1000005066395108,2.036395596158834,2.036395595602733,-5.561009430721242e-10
RESIDUAL_REAL,prediction_decile_06,19738,0.1000005066395108,2.028537491791512,2.0285374916055012,-1.8601076234858738e-10
RESIDUAL_REAL,prediction_decile_07,19738,0.1000005066395108,1.959214483838474,1.9592144831643548,-6.741192049020128e-10
RESIDUAL_REAL,prediction_decile_08,19738,0.1000005066395108,1.7863087410901235,1.7863087411824767,9.235323616962887e-11
RESIDUAL_REAL,prediction_decile_09,19738,0.1000005066395108,1.5503235043559254,1.550323504490218,1.3429257705865894e-10
RESIDUAL_REAL,prediction_decile_10,19737,0.0999954402444029,1.206734258175085,1.2067342568728647,-1.3022203315671277e-09
RESIDUAL_SHUFFLED,all,197379,1.0,1.7412785664479717,1.741278566214246,-2.3372570545632243e-10
RESIDUAL_SHUFFLED,y_zero,76413,0.3871384493791133,1.8493381199127794,1.8493381195654772,-3.473021870092907e-10
RESIDUAL_SHUFFLED,y_positive,120966,0.6128615506208868,1.669417590331512,1.6694175901767594,-1.5475265513487102e-10
RESIDUAL_SHUFFLED,rec_buy_15_60,56145,0.28445275333242137,1.9405843349902085,1.9405843343973483,-5.928602053728582e-10
RESIDUAL_SHUFFLED,w180_days_buy_2_15,111441,0.5646041372182451,1.9453560683692304,1.9453560680232562,-3.459741382272341e-10
RESIDUAL_SHUFFLED,intersection,45667,0.23136706539196167,1.981471129437484,1.9814711290003089,-4.37175184941907e-10
RESIDUAL_SHUFFLED,never_buyer,20384,0.103273397879207,1.181486024400946,1.1814860244890113,8.806533280392159e-11
RESIDUAL_SHUFFLED,frequent_buyer,43240,0.21907092446511534,1.4031426275935308,1.4031426275332683,-6.026246168744365e-11
RESIDUAL_SHUFFLED,disagreement_low,83906,0.4251009479225247,1.7414287871482772,1.7414287872005896,5.2312376652707826e-11
RESIDUAL_SHUFFLED,disagreement_medium,68122,0.34513296753960654,1.71407020439509,1.7140702039994138,-3.9567615850444326e-10
RESIDUAL_SHUFFLED,disagreement_high,45351,0.22976608453786876,1.7810959103192867,1.7810959098021446,-5.171421069150028e-10
RESIDUAL_SHUFFLED,etx_much_greater_seq,8503,0.04307955760237918,1.7883213217405727,1.788321319845906,-1.8946666457964056e-09
RESIDUAL_SHUFFLED,seq_much_greater_etx,29406,0.14898241454258052,1.8739344576210055,1.87393445683113,-7.898754983415301e-10
RESIDUAL_SHUFFLED,neural_much_greater_tabular,11008,0.055770877347640836,1.88512897253699,1.8851289715412256,-9.95764359856821e-10
RESIDUAL_SHUFFLED,tabular_much_greater_neural,29802,0.1509887070053045,1.813281260236848,1.81328126001272,-2.2412804945304288e-10
RESIDUAL_SHUFFLED,prediction_decile_01,19738,0.1000005066395108,1.1445364843560253,1.1445364844488144,9.278910972909671e-11
RESIDUAL_SHUFFLED,prediction_decile_02,19738,0.1000005066395108,1.5919808421948747,1.5919808421263777,-6.849698586108843e-11
RESIDUAL_SHUFFLED,prediction_decile_03,19738,0.1000005066395108,1.8566418037330057,1.856641803854798,1.2179235397979937e-10
RESIDUAL_SHUFFLED,prediction_decile_04,19738,0.1000005066395108,1.9692493083670495,1.969249308232798,-1.342514988067478e-10
RESIDUAL_SHUFFLED,prediction_decile_05,19738,0.1000005066395108,2.036395596158834,2.036395595602733,-5.561009430721242e-10
RESIDUAL_SHUFFLED,prediction_decile_06,19738,0.1000005066395108,2.028537491791512,2.0285374916055012,-1.8601076234858738e-10
RESIDUAL_SHUFFLED,prediction_decile_07,19738,0.1000005066395108,1.959214483838474,1.9592144831643548,-6.741192049020128e-10
RESIDUAL_SHUFFLED,prediction_decile_08,19738,0.1000005066395108,1.7863087410901235,1.7863087411824767,9.235323616962887e-11
RESIDUAL_SHUFFLED,prediction_decile_09,19738,0.1000005066395108,1.5503235043559254,1.550323504490218,1.3429257705865894e-10
RESIDUAL_SHUFFLED,prediction_decile_10,19737,0.0999954402444029,1.206734258175085,1.2067342568728647,-1.3022203315671277e-09
