feature,psi,jan_mean,prod_mean,standardized_mean_diff,single_feature_auc
w60_to_ord,0.0009902162048899517,6.14192,5.843964,-0.024666601328305844,0.5085994438
w30_max_daily_searches,0.0007661519084138967,8.628672,8.388504,-0.02391418269686825,0.506667599072
w180_median_activity_gap,0.0007628193439915922,3.367432,3.090104,-0.05506899693096905,0.50706465592
w60_to_cart,0.0007569564823914001,25.675656,24.870708,-0.01747062960997492,0.507678706936
w180_std_purchase_gap,0.0007559237434855036,18.1728175463663,18.683243775469347,0.01929121997511723,0.5061137323680001
w90_to_cart,0.0005537823316986981,37.215376,37.982472,0.011522758520017069,0.5058639966399999
w30_to_cart,0.0005311935603641815,12.563892,12.306816,-0.010532972706004536,0.50609535436
w7_to_ord,0.00046805173986863303,0.645096,0.677624,0.01741482605037842,0.505106364672
w7_searches,0.00046401314063591165,8.2333,8.532668,0.019823405851964602,0.504599921776
w30_cat,0.00039852643121780925,1.578504,1.573992,-0.0015838902666924447,0.505796556208
w90_gmv,0.00029016611361104767,295.3012445804675,287.53891675716494,-0.010963919790589064,0.5017162367760001
w7_gmv,0.00025075067491978515,20.362404084453157,20.167710461004116,-0.0018187325335645356,0.5045961981120001
w30_searches,0.0002412825127791856,35.503344,35.428084,-0.001405744860263141,0.5017923130640001
w90_to_ord,0.00012767438041500748,8.99748,8.942156,-0.003135555444907504,0.5006682140159999
w7_to_cart,8.794281728799586e-05,2.94418,2.8967,-0.00680866320624724,0.500875499584
pct_w30_gmv,0.0,0.500002,0.500002,0.0,0.5951982149999999
