model,feature,gain,split,gain_share
real_20251016_to_20260213,dlog_gmv_14_30,3.6336200714111326,0.2,3.1628835072104385e-05
real_20251016_to_20260213,trend_gmv_7_14,3.5533599853515625,0.2,3.093021139242364e-05
real_20251016_to_20260213,w14_searches,3.478559875488281,0.2,3.0279114059255777e-05
real_20251016_to_20260213,w14_gmv_cat,3.406740188598633,0.2,2.9653959808970965e-05
real_20251016_to_20260213,trend_gmv_7_30,3.4012001037597654,0.2,2.9605736157017735e-05
real_20251016_to_20260213,w14_days_buy,0.0,0.0,0.0
real_20251016_to_20260213,dlog_buyd_7_30,0.0,0.0,0.0
real_20251016_to_20260213,dlog_buyd_7_14,0.0,0.0,0.0
real_20251016_to_20260213,w14_presence_rate,0.0,0.0,0.0
real_20251016_to_20260213,w14_lgmv,0.0,0.0,0.0
real_20251016_to_20260213,w14_days_search,0.0,0.0,0.0
real_20251016_to_20260213,w14_gmv30eq,0.0,0.0,0.0
real_20251016_to_20260213,w14_cat_gmv_share,0.0,0.0,0.0
real_20251016_to_20260213,w180_gmv30eq,0.0,0.0,0.0
real_20251016_to_20260213,w30_gmv30eq,0.0,0.0,0.0
real_20251016_to_20260213,w180_lgmv,0.0,0.0,0.0
real_20251016_to_20260213,w60_cat_gmv_share,0.0,0.0,0.0
real_20251016_to_20260213,w30_days_buy,0.0,0.0,0.0
real_20251016_to_20260213,w7_lgmv_std,0.0,0.0,0.0
real_20251016_to_20260213,w7_lgmv,0.0,0.0,0.0
real_20251016_to_20260213,w7_gmv30eq,0.0,0.0,0.0
real_20251016_to_20260213,w7_cat_gmv_share,0.0,0.0,0.0
real_20251016_to_20260213,w7_days_buy,0.0,0.0,0.0
real_20251016_to_20260213,w7_buyday_rate,0.0,0.0,0.0
real_20251016_to_20260213,w7_aov,0.0,0.0,0.0
real_20251016_to_20260213,w60_gmv30eq,0.0,0.0,0.0
real_20251016_to_20260213,w7_gmv_per_day,0.0,0.0,0.0
real_20251016_to_20260213,w7_gmv_cat,0.0,0.0,0.0
real_20251016_to_20260213,w7_presence_rate,0.0,0.0,0.0
real_20251016_to_20260213,w7_orders,0.0,0.0,0.0
real_20251016_to_20260213,w7_srch_per_day,0.0,0.0,0.0
real_20251016_to_20260213,w90_gmv30eq,0.0,0.0,0.0
