name,wcv,fold_cal,fold_offsets,mean_z,auc_positive,prediction_sha256,component,seed,rounds,artifact,artifact_sha256
CAP_S42_R600,1.760642087514469,"[1.7769911657341246, 1.7720337131895636, 1.7614534516578586, 1.7553448642465437]","[-0.08171608833146897, -0.047530184261614816, -0.06234947720770449, -0.08443674906610224]",2.69468395045514,0.8393177244586343,e805f7691bfc01c2cb64b150549377085f959c2d971a632eb2bef9367fa3cd29,CAP,42,600,,
CAP_S43_R200,1.7602037340708094,"[1.7762440229807184, 1.7713882882231966, 1.7613569536906664, 1.7548259496090455]","[-0.08162749117863066, -0.04686908256280841, -0.06189461184551073, -0.08477772455983583]",2.6944831882676112,0.8395859467328103,301fe3c7e18f1d0db0a0d694a3d29f38b4f74405512a513a86c93e62ad6526a7,CAP,43,200,,
CAP_S43_R250,1.7601575719820015,"[1.776276858031976, 1.771367953072141, 1.7613009730687346, 1.754768365409853]","[-0.08119404051733779, -0.04654179320088681, -0.0617663439929219, -0.08440254376966455]",2.694167557606226,0.8395601303223634,cd26ca144592d508fd781ce36fd0587aa1b46888e59ba5853c0142438af3c4d3,CAP,43,250,,
CAP_S43_R300,1.76015264130981,"[1.776239485382596, 1.7713754016653929, 1.7612818868088875, 1.7547714729622776]","[-0.08071233735076147, -0.046313833812567054, -0.06144100615238799, -0.08424788611280043]",2.6938697753461973,0.839531204046457,f19b9d9e3ccfdb65590fae743b135f4fb74d7a44e8d739fb6ce879f37759369b,CAP,43,300,,
CAP_S43_R600,1.7606464563244615,"[1.7769783330854834, 1.7718294757182431, 1.7615740100540085, 1.7553454400161146]","[-0.08144427229633064, -0.04724629229891806, -0.0620184739705249, -0.08443506211449624]",2.694461638479894,0.839342602342732,c4dd7a0e0e23a70da9799473984106dcc8577515a4a2528c638dc897fc41fff6,CAP,43,600,,
CAP_S44_R200,1.7601649202626122,"[1.776587087522119, 1.7714333910377658, 1.7611611099698534, 1.754796936807765]","[-0.08094345618458207, -0.04728807237027324, -0.06256952512377827, -0.08466527126819379]",2.694561124654775,0.8395508757915434,43e13fbd7fb3ddcb3ee18524c993a1cd7db70e3497257fe3b6e02ae90bd20a48,CAP,44,200,,
CAP_S44_R250,1.760126202840727,"[1.7765999695639147, 1.7713927227804076, 1.7610544718838654, 1.7547862174938391]","[-0.08060283295671179, -0.04675746549846969, -0.062146510129981895, -0.08427926395962453]",2.6941410041984653,0.8395385052249585,db51a876c16c1455a17503d9a8df624c6aa28631858ca1666000c893344ae654,CAP,44,250,,
CAP_S44_R300,1.7601789271235566,"[1.7766403650450866, 1.771481098195255, 1.7610502627783038, 1.754860036788067]","[-0.08076809566140787, -0.04668652241633721, -0.06246800130755986, -0.08453698507675772]",2.6943104693282813,0.8394942613494067,3252d5cf303f5f1aa5f9d2e8aed8a16dc950d479a540d2362bcbfb7d98ef77e4,CAP,44,300,,
CAP_S44_R600,1.7606324471057997,"[1.7772574954948341, 1.7720472010358386, 1.761457241223357, 1.755288230515882]","[-0.08142865706879518, -0.04767455892024825, -0.06277271223588336, -0.08479450841244995]",2.6948587889459423,0.8392902808804592,542dc6edca25bb609b946f5f8a9ab62a72c518f90f08a5bb6691b813eb72d954,CAP,44,600,,
UNC_AVG3_R200,1.750226050675245,"[1.7695891879723349, 1.762750110498274, 1.7515423163358779, 1.7440165107270353]","[-0.16605060139663347, -0.11207451681945377, -0.03552548331240967, -0.06087523869910575]",2.7185489880575155,0.8415131456115066,c5d6e7c65bec8c525589bda8d3c257043aa1311948311e46adf66b1e2336a998,UNC,AVG3,200,C:\Users\Admin\Desktop\OZON-E-CUP\artifacts\TBR_EXP046\TBR_EXP046_UNC_AVG3_R200.npz,41717fed71976ecd11519019b481c13d2b47b60a90a2896b5c20838d718cf446
