candidate,cutoff,n,oracle_headroom,oracle_headroom_debiased,null_df_bias,oracle_rho,rank,oracle_correction_rms,raw_scalar_corr_residual,purged_source,purged_recipient,purged_rho,purged_correction_rms,purged_Delta_MSE,oracle_gate_ge_0_001,observable_gate
availability_tenure_rank,2025-10-02,193694,0.00021779110931473167,7.518647054841827e-05,0.0001426046387663134,0.008437663208807011,9.0,0.014757747433627242,-0.007983213085200752,,,,,,,
availability_tenure_rank,2025-10-16,197379,0.0001685616142649821,3.0210450647006715e-05,0.0001383511636179754,0.007455081688408937,9.0,0.012983128061641471,-0.00757306373846374,,,,,,,
availability_tenure_rank,weighted_1_2_4_8,770616,0.00025110372819452125,0.00010964820123579537,0.0001414555269587259,0.008801438806181455,9.0,0.015400992320110943,-0.006977657766472023,2025-09-04,2025-10-16,0.004531303900419982,0.021873611932199118,0.00013323118314669148,False,False
cohort_joint_gmv_recency_rank,2025-09-04,188518,0.0010506696890383092,0.0006505506950796075,0.0004001189939587017,0.018328897125019995,24.0,0.032414035371090714,0.013438104881070457,,,,,,,
cohort_joint_gmv_recency_rank,2025-09-18,191025,0.001176948799984365,0.0007842015764679399,0.000392747223516425,0.01948410565432745,24.0,0.034306687394506125,0.005879073909056798,,,,,,,
cohort_joint_gmv_recency_rank,2025-10-02,193694,0.0011192082862526835,0.0007389292495425144,0.00038027903671016905,0.019127471845332943,24.0,0.033454570483757246,0.0008242104435774353,,,,,,,
cohort_joint_gmv_recency_rank,2025-10-16,197379,0.0013042052187243742,0.0009352687824097732,0.0003689364363146011,0.020737005007230375,24.0,0.03611378156222877,-0.006298140079245217,,,,,,,
cohort_joint_gmv_recency_rank,weighted_1_2_4_8,770616,0.0012210028122541844,0.000843788073697582,0.0003772147385566025,0.01998020239152331,24.0,0.034917062972864135,-0.0014594684106978627,2025-09-04,2025-10-16,0.0005664303391981702,0.06494992209809751,0.004090353161890852,False,False
cohort_knn_density_rank,2025-09-04,188518,0.00020301363921774868,5.2969016483235553e-05,0.00015004462273451313,0.008056860426175082,9.0,0.014248285483444968,0.005155938042612144,,,,,,,
cohort_knn_density_rank,2025-09-18,191025,0.00044360688030278806,0.0002963266714841287,0.0001472802088186594,0.01196191817711885,9.0,0.021061977122359295,-0.001871982027059207,,,,,,,
cohort_knn_density_rank,2025-10-02,193694,0.00043009687164496826,0.00028749223287865487,0.0001426046387663134,0.011857284894869624,9.0,0.02073877700456246,-0.004682203840912913,,,,,,,
cohort_knn_density_rank,2025-10-16,197379,0.00031780618604938587,0.00017945502243141048,0.0001383511636179754,0.01023656477499503,9.0,0.01782711939852834,-0.0015865386140526245,,,,,,,
cohort_knn_density_rank,weighted_1_2_4_8,770616,0.00035687095831988565,0.00021541543136115976,0.0001414555269587259,0.0107534903039901,9.0,0.01879628686230934,-0.002000610019171928,2025-09-04,2025-10-16,-0.004592823192206376,0.014128219682142397,0.0004256147391556446,False,False
