validation_cutoff,train_cutoff,n,mean_p_test_like,mean_weight,neff_fraction
2025-09-18,2025-06-19,205683,0.2481341511011123,0.9994444229866528,0.9654682020102924
2025-09-18,2025-06-26,206429,0.248039424419403,0.9991899972749564,0.965808785215631
2025-09-18,2025-07-03,207093,0.2476039379835128,0.9980137746774996,0.9657628189834462
2025-09-18,2025-07-10,207577,0.2471483796834945,0.9967704247737162,0.965658492933124
2025-09-18,2025-07-17,208274,0.2466924637556076,0.995519838606406,0.965449131559313
2025-09-18,2025-07-24,209056,0.2466667890548706,0.9954470419954026,0.9653624868855024
2025-09-18,2025-07-31,209914,0.246470034122467,0.9949074090281836,0.9653684386541952
2025-09-18,2025-08-07,211018,0.2462667375802993,0.9943552344224632,0.965200144647578
2025-09-18,2025-08-14,212368,0.2457165867090225,0.9928443006089837,0.965017835814894
2025-09-18,ALL,4091803,0.2483254373073578,1.0,0.96368342647331
2025-10-02,2025-04-03,197912,0.2500245869159698,1.0059416612749352,0.9574418908501398
2025-10-02,2025-04-10,198671,0.2493954002857208,1.0041824899073375,0.9587720467940608
2025-10-02,2025-04-17,199382,0.249013751745224,1.0031058983485934,0.9598452834689936
2025-10-02,2025-04-24,199994,0.2493076026439666,1.0038858284544674,0.9609133836741512
2025-10-02,2025-05-01,200639,0.2496323883533477,1.0047489717805684,0.9619952109851888
2025-10-02,2025-05-08,201274,0.2498637735843658,1.0053619593545848,0.9628362124571408
2025-10-02,2025-05-15,201556,0.2501823306083679,1.006224433486831,0.9637399962702384
2025-10-02,2025-05-22,202557,0.2498339265584945,1.0052697375736142,0.9641784435625352
2025-10-02,2025-05-29,203292,0.2495101541280746,1.0043693829321272,0.9646063499536872
2025-10-02,2025-06-05,203992,0.2490151226520538,1.0030070829737994,0.9649402859164756
2025-10-02,2025-06-12,205122,0.2485261112451553,1.0016611502749555,0.965113249392848
2025-10-02,2025-06-19,205683,0.2481341511011123,1.0006015151594172,0.9654682020102924
2025-10-02,2025-06-26,206429,0.248039424419403,1.000346794890072,0.965808785215631
2025-10-02,2025-07-03,207093,0.2476039379835128,0.9991692105380948,0.9657628189834464
2025-10-02,2025-07-10,207577,0.2471483796834945,0.9979244211641328,0.965658492933124
2025-10-02,2025-07-17,208274,0.2466924637556076,0.9966723871489662,0.9654491315593128
2025-10-02,2025-07-24,209056,0.2466667890548706,0.9965995062587504,0.9653624868855026
2025-10-02,2025-07-31,209914,0.246470034122467,0.9960592485393506,0.9653684386541952
2025-10-02,2025-08-07,211018,0.2462667375802993,0.995506434661551,0.9652001446475776
2025-10-02,2025-08-14,212368,0.2457165867090225,0.9939937515865328,0.9650178358148936
2025-10-02,2025-08-21,213792,0.2444210648536682,0.99044535815987,0.9647054128753866
2025-10-02,2025-08-28,215249,0.2433346807956695,0.9874818506525436,0.9642787003209092
2025-10-02,ALL,4520844,0.2479031533002853,0.9999999999999998,0.9637458918764628
2025-10-16,2025-04-03,197912,0.2500245869159698,1.0071724785218827,0.9574418908501396
2025-10-16,2025-04-10,198671,0.2493954002857208,1.0054111547248326,0.9587720467940614
2025-10-16,2025-04-17,199382,0.249013751745224,1.004333245905347,0.9598452834689938
2025-10-16,2025-04-24,199994,0.2493076026439666,1.00511413029263,0.9609133836741512
2025-10-16,2025-05-01,200639,0.2496323883533477,1.005978329715454,0.9619952109851884
2025-10-16,2025-05-08,201274,0.2498637735843658,1.0065920673087885,0.962836212457141
2025-10-16,2025-05-15,201556,0.2501823306083679,1.0074555967189676,0.9637399962702388
2025-10-16,2025-05-22,202557,0.2498339265584945,1.0064997326901022,0.9641784435625352
2025-10-16,2025-05-29,203292,0.2495101541280746,1.005598276422086,0.9646063499536868
2025-10-16,2025-06-05,203992,0.2490151226520538,1.0042343096252635,0.9649402859164758
2025-10-16,2025-06-12,205122,0.2485261112451553,1.002886730114042,0.965113249392848
2025-10-16,2025-06-19,205683,0.2481341511011123,1.0018257984847734,0.9654682020102916
2025-10-16,2025-06-26,206429,0.248039424419403,1.0015707665531193,0.9658087852156308
2025-10-16,2025-07-03,207093,0.2476039379835128,1.0003917413709371,0.9657628189834464
2025-10-16,2025-07-10,207577,0.2471483796834945,0.9991454289382438,0.9656584929331238
2025-10-16,2025-07-17,208274,0.2466924637556076,0.9978918630001848,0.9654491315593128
2025-10-16,2025-07-24,209056,0.2466667890548706,0.997818892936749,0.965362486885502
2025-10-16,2025-07-31,209914,0.246470034122467,0.9972779741864524,0.9653684386541952
2025-10-16,2025-08-07,211018,0.2462667375802993,0.9967244839147013,0.9652001446475776
2025-10-16,2025-08-14,212368,0.2457165867090225,0.9952099500003256,0.9650178358148936
2025-10-16,2025-08-21,213792,0.2444210648536682,0.9916572149463136,0.9647054128753862
2025-10-16,2025-08-28,215249,0.2433346807956695,0.9886900814472503,0.9642787003209092
2025-10-16,2025-09-04,216510,0.242745891213417,0.9870799782483768,0.96413396844392
2025-10-16,2025-09-11,217820,0.2428794205188751,0.9874476505589944,0.9642507396925504
2025-10-16,ALL,4955174,0.2474569827318191,1.0,0.96376901358487
