scheme,model,weighted_wcv,rank,ordinary_wcv,delta_vs_ordinary
primary_t10_clip4,SEQ-01-MIX,1.7573923605377706,1.0,1.7483427843591761,0.009049576178594476
primary_t10_clip4,SEQ-MIX-ROUNDS-CONTROL,1.7573931820104283,2.0,1.7483471314893495,0.009046050521078763
primary_t10_clip4,S1-DIST-MIX,1.7586184977496941,3.0,1.7494835972519431,0.009134900497751008
primary_t10_clip4,S1-SEEDAVG3,1.7594967441187448,4.0,1.750456402868583,0.009040341250161843
primary_t10_clip4,S1-DIST,1.7596793691959012,5.0,1.7506161139914842,0.009063255204416976
primary_t10_clip4,S1-ROUNDS,1.7600848858582794,6.0,1.7510761354262978,0.009008750431981571
primary_t10_clip4,S1-E10,1.760750381488522,7.0,1.7516982379457107,0.009052143542811253
primary_t10_clip4,S1-E02,1.761489599414187,8.0,1.7515059932485448,0.0099836061656422
primary_t10_clip4,SEQ-01-S42,1.7615184960743302,9.0,1.7526995451684064,0.008818950905923773
primary_t10_clip4,S1-E03a,1.7692634328674401,10.0,1.760642087514469,0.0086213453529711
