relation,vector_a,vector_b,leaderboard_score_a,leaderboard_score_b,RMS_raw_difference,mean_correction,RMS_centered_correction,RMS_d_perp,perp_fraction_RMS,perp_fraction_energy,corr_z_predictions,corr_d_perp_with_ORTH_minus_V2,corr_d_perp_with_A1_365,corr_d_perp_with_A2,corr_d_perp_with_JOINT_V2_out_of_plane,fraction_clipped_or_zero,projection_pass1_RMS,projection_pass2_RMS,current_span_rank,rank_after_addition,condition_design_before,condition_design_after,condition_gram_after
pairwise_team_b,exp_011_dense8_logens_scale120.csv,exp_024_formula_reproduction,1.6549097093483665,,0.07198433973758327,-0.023506073575945603,0.06803829563193102,,,,0.9990820678153979,,,,,,,,66,,48347.855591742205,,
pairwise_team_b,exp_016_post_order_wrec050_scale120.csv,exp_017_dist_post_order_wrec050_scale120.csv,1.6547788658437297,1.6546318190731422,0.05809875101355012,-0.01716196798523358,0.05550614131975227,,,,0.9993727968205902,,,,,,,,66,,48347.855591742205,,
pairwise_team_b,exp_016_post_order_wrec050_scale120.csv,exp_019_behavior_v1_dist_wrec050_scale120.csv,1.6547788658437297,1.654502353530087,0.07098392512533427,-0.021698007773149026,0.06758634540256951,,,,0.9990602457159237,,,,,,,,66,,48347.855591742205,,
pairwise_team_b,exp_016_post_order_wrec050_scale120.csv,exp_020_behavior_v1_slim_dist_wrec050_scale120.csv,1.6547788658437297,1.6547357224929944,0.06999683826321527,-0.0177270142386073,0.06771491957486866,,,,0.9990538288509578,,,,,,,,66,,48347.855591742205,,
pairwise_team_b,exp_016_post_order_wrec050_scale120.csv,exp_024_formula_reproduction,1.6547788658437297,,0.0695538301144618,-0.021697978320682595,0.06608277400644286,,,,0.9991347884158369,,,,,,,,66,,48347.855591742205,,
pairwise_team_b,exp_017_dist_post_order_wrec050_scale120.csv,exp_019_behavior_v1_dist_wrec050_scale120.csv,1.6546318190731422,1.654502353530087,0.05422673158838807,-0.004536039787915448,0.054036679781436725,,,,0.9994021814386366,,,,,,,,66,,48347.855591742205,,
pairwise_team_b,exp_017_dist_post_order_wrec050_scale120.csv,exp_020_behavior_v1_slim_dist_wrec050_scale120.csv,1.6546318190731422,1.6547357224929944,0.054788966710430376,-0.0005650462533737203,0.05478605293255024,,,,0.9993882296382322,,,,,,,,66,,48347.855591742205,,
pairwise_team_b,exp_017_dist_post_order_wrec050_scale120.csv,exp_024_formula_reproduction,1.6546318190731422,,0.06385478457818845,-0.00453601033544902,0.06369347002451313,,,,0.9992430484904047,,,,,,,,66,,48347.855591742205,,
pairwise_team_b,exp_019_behavior_v1_dist_wrec050_scale120.csv,exp_020_behavior_v1_slim_dist_wrec050_scale120.csv,1.654502353530087,1.6547357224929944,0.045513772656490946,0.003970993534541728,0.045340210760156055,,,,0.9995775442234116,,,,,,,,66,,48347.855591742205,,
pairwise_team_b,exp_019_behavior_v1_dist_wrec050_scale120.csv,exp_024_formula_reproduction,1.654502353530087,,0.04884959066649871,2.945246642732968e-08,0.04884959066648982,,,,0.9995664973374446,,,,,,,,66,,48347.855591742205,,
pairwise_team_b,exp_020_behavior_v1_slim_dist_wrec050_scale120.csv,exp_024_formula_reproduction,1.6547357224929944,,0.05670800733018773,-0.003970964082075301,0.05656880359013696,,,,0.9993812449358205,,,,,,,,66,,48347.855591742205,,
