contrast,fold,fold_index,variant,alpha,score,baseline,delta,offset,winsor_lo,winsor_hi,clipped_fraction,bounds_folds
FRESH,2025-09-18,1,HIGH16,0.25,1.7605159504290473,1.7605095767202485,6.373708798745881e-06,-0.07873621248910082,-0.12532310485839843,0.13099954128265512,0.0016332940714566156,"[0, 2, 3]"
FRESH,2025-09-18,1,HIGH16,0.5,1.7605341513182637,1.7605095767202485,2.457459801519235e-05,-0.0787362124891009,-0.12532310485839843,0.13099954128265512,0.0016332940714566156,"[0, 2, 3]"
FRESH,2025-09-18,1,HIGH16,0.75,1.760564179021086,1.7605095767202485,5.460230083742523e-05,-0.07873621248910105,-0.12532310485839843,0.13099954128265512,0.0016332940714566156,"[0, 2, 3]"
FRESH,2025-09-18,1,HIGH16,1.0,1.7606060329323836,1.7605095767202485,9.645621213505429e-05,-0.07873621248910109,-0.12532310485839843,0.13099954128265512,0.0016332940714566156,"[0, 2, 3]"
FRESH,2025-10-02,2,GLOBAL,0.0,1.7486292241899832,1.7486292241899832,0.0,-0.020977553375948806,-0.12684428691864014,0.12994913339614889,0.0014507418918500315,"[0, 1, 3]"
FRESH,2025-10-02,2,GLOBAL,0.25,1.748548196460803,1.7486292241899832,-8.1027729180283e-05,-0.020977553375948754,-0.12684428691864014,0.12994913339614889,0.0014507418918500315,"[0, 1, 3]"
FRESH,2025-10-02,2,GLOBAL,0.5,1.7484888370457046,1.7486292241899832,-0.00014038714427866417,-0.020977553375948657,-0.12684428691864014,0.12994913339614889,0.0014507418918500315,"[0, 1, 3]"
FRESH,2025-10-02,2,GLOBAL,0.75,1.748451148151587,1.7486292241899832,-0.00017807603839625763,-0.02097755337594882,-0.12684428691864014,0.12994913339614889,0.0014507418918500315,"[0, 1, 3]"
FRESH,2025-10-02,2,GLOBAL,1.0,1.7484351311798259,1.7486292241899832,-0.00019409301015738123,-0.020977553375948747,-0.12684428691864014,0.12994913339614889,0.0014507418918500315,"[0, 1, 3]"
FRESH,2025-10-02,2,HIGH16,0.0,1.7486292241899832,1.7486292241899832,0.0,-0.020977553375948806,-0.12684428691864014,0.12994913339614889,0.0014507418918500315,"[0, 1, 3]"
FRESH,2025-10-02,2,HIGH16,0.25,1.7486107299189484,1.7486292241899832,-1.8494271034841248e-05,-0.02097755337594888,-0.12684428691864014,0.12994913339614889,0.0014507418918500315,"[0, 1, 3]"
FRESH,2025-10-02,2,HIGH16,0.5,1.7486062825115238,1.7486292241899832,-2.2941678459398318e-05,-0.020977553375948917,-0.12684428691864014,0.12994913339614889,0.0014507418918500315,"[0, 1, 3]"
FRESH,2025-10-02,2,HIGH16,0.75,1.7486158820748892,1.7486292241899832,-1.3342115094072682e-05,-0.020977553375948924,-0.12684428691864014,0.12994913339614889,0.0014507418918500315,"[0, 1, 3]"
FRESH,2025-10-02,2,HIGH16,1.0,1.7486395283777019,1.7486292241899832,1.030418771863495e-05,-0.02097755337594885,-0.12684428691864014,0.12994913339614889,0.0014507418918500315,"[0, 1, 3]"
FRESH,2025-10-16,3,GLOBAL,0.0,1.7412785662041037,1.7412785662041037,0.0,-0.03538715401397925,-0.12833185195922853,0.07998384475707998,0.0511351258239225,"[0, 1, 2]"
