fold,variant,corr_tab,var_div,solo,mix,mix_d,mix_vs_base,mix_d_vs_prod
2025-09-18,S04LGB_X_FRESH,0.9970998508771087,0.017982568720759,1.7615288347164237,1.7591412515609985,1.7580113690151697,0.000946081219914241,-0.00010170408522514052
2025-09-18,S04LGB_X_VOL,0.9967856700936284,0.01994207062465899,1.7622740707324431,1.7592482107409761,1.7581128047863208,0.001053040399891847,-2.683140740700196e-7
2025-09-18,SEQ_X_CLEAN,0.9936813163511675,0.03925137480780451,1.7641854219365916,1.758670351116483,1.758283948814119,0.00047518077539865367,0.00017087571372420562
2025-09-18,SEQ_X_FRESH,0.9940662321020418,0.03683247009640402,1.7631809146508535,1.7585125516555737,1.7581405766484324,0.00031738131448943996,0.000027503548037488557
2025-09-18,SEQ_X_VOL,0.9936800305489014,0.0392552391716214,1.7640533222015031,1.7586303672343266,1.7582528685895529,0.00043519689324234,0.00013979548915799
2025-09-18,[смесь с SEQ-01],0.9937927606661308,0.03850158372316771,1.7621811386464223,1.7581130731003949,1.7581130731003949,-0.00008209724068941604,0.0
2025-10-02,BASE_1HEAD,0.9929316312777176,0.04322220367417724,1.7504509497659506,1.7445785079186389,1.744669723730502,0.0,0.0002693171461214394
2025-10-02,DIST_TAB,0.9991615071123512,0.005113863150194611,1.7465489722448115,1.7456985298944163,1.7444004066444925,0.00112002197577743,6.011191544530448e-11
2025-10-02,DIST_X_CLEAN,0.9972276150708123,0.016929007806438707,1.7482478602826705,1.7454980256241408,1.744565231502464,0.0009195177055019155,0.00016482491808345046
2025-10-02,DIST_X_FRESH,0.9974938207433912,0.0152936626805069,1.7474410427007916,1.7453540228142566,1.7444305982301607,0.0007755148956176683,0.0000301916457801088
2025-10-02,DIST_X_VOL,0.9972233611363402,0.016956803751716897,1.7483717495522084,1.7455335798557585,1.7445944243752372,0.0009550719371196337,0.0001940177908565932
2025-10-02,MHZ_B30_X_CLEAN,0.9963395636295189,0.02237896720787165,1.7497656897026976,1.7456264441016067,1.7447516950195114,0.0010479361829678346,0.00035128843513088093
2025-10-02,MHZ_B30_X_FRESH,0.9966157447539656,0.020675984328160153,1.748939041854378,1.7454803492821351,1.744615646067103,0.0009018413634962474,0.0002152394827223958
2025-10-02,MHZ_B30_X_VOL,0.9963330170641815,0.022421654482965334,1.7498943789790047,1.7456625758248692,1.7447812339463697,0.0010840679062302794,0.00038082736198918887
2025-10-02,MHZ_CNT_X_CLEAN,0.9965470067433647,0.021099070853306676,1.7491188031284841,1.7455089361445095,1.7446637063119088,0.0009304282258706387,0.0002632997275282545
