bank,fit,component,family,weight
forward_deployable,2025-09-18,BTYD:z_btyd,BTYD_OTHER,0.10968381573484433
forward_deployable,2025-09-18,BTYD:z_strongest,BTYD_OTHER,0.16122991248754506
forward_deployable,2025-09-18,BLOCK4:z_new_honest,BTYD_OTHER,-0.06639892873968019
forward_deployable,2025-10-02,INTERCEPT,INTERCEPT,-0.08179345658176344
forward_deployable,2025-10-02,S1-E02,TABULAR,-0.003458517805764538
forward_deployable,2025-10-02,S1-E03a,TABULAR,0.06181623740528876
forward_deployable,2025-10-02,S1-DIST,TABULAR,0.13828190920778866
forward_deployable,2025-10-02,S1-E11,TABULAR,-0.20697766039970172
forward_deployable,2025-10-02,SEQ-AVG3,SEQ,0.25914371614554743
forward_deployable,2025-10-02,ETX-AVG3,ETX,0.1863174514893044
forward_deployable,2025-10-02,ETX-AVG2,ETX,0.0038593529634927837
forward_deployable,2025-10-02,ETX-01-S42,ETX,0.10669839687655713
forward_deployable,2025-10-02,RIDGE15,TABULAR,-0.04111451771044959
forward_deployable,2025-10-02,HOLIDAY-YOY-FAST,TABULAR,-0.023788729475329243
forward_deployable,2025-10-02,S04-A,TABULAR,-0.13164739077606102
forward_deployable,2025-10-02,S04-B,TABULAR,0.4906269127276623
forward_deployable,2025-10-02,SAMPLE-TB1-AVG3-R300,TABULAR,-0.028204151759930792
forward_deployable,2025-10-02,BTYD:z_btyd,BTYD_OTHER,0.10788748926187347
forward_deployable,2025-10-02,BTYD:z_strongest,BTYD_OTHER,0.14028916019370172
forward_deployable,2025-10-02,BLOCK4:z_new_honest,BTYD_OTHER,-0.04501016257256907
forward_deployable,2025-10-16,INTERCEPT,INTERCEPT,-0.06479082175320329
forward_deployable,2025-10-16,S1-E02,TABULAR,-0.03464367680868204
forward_deployable,2025-10-16,S1-E03a,TABULAR,0.06470741134231178
forward_deployable,2025-10-16,S1-DIST,TABULAR,0.15854000382180589
forward_deployable,2025-10-16,S1-E11,TABULAR,-0.21951761822113908
forward_deployable,2025-10-16,SEQ-AVG3,SEQ,0.2151808754388287
forward_deployable,2025-10-16,ETX-AVG3,ETX,0.11781311575057882
forward_deployable,2025-10-16,ETX-AVG2,ETX,-0.0763400694227278
forward_deployable,2025-10-16,ETX-01-S42,ETX,0.22636790381788943
forward_deployable,2025-10-16,RIDGE15,TABULAR,-0.004259200557958235
forward_deployable,2025-10-16,HOLIDAY-YOY-FAST,TABULAR,-0.0849179460091549
forward_deployable,2025-10-16,S04-A,TABULAR,-0.06617993351056486
forward_deployable,2025-10-16,S04-B,TABULAR,0.5025575023496774
forward_deployable,2025-10-16,SAMPLE-TB1-AVG3-R300,TABULAR,-0.016612479583328912
forward_deployable,2025-10-16,BTYD:z_btyd,BTYD_OTHER,0.09619014720458757
forward_deployable,2025-10-16,BTYD:z_strongest,BTYD_OTHER,0.11410065477457215
forward_deployable,2025-10-16,BLOCK4:z_new_honest,BTYD_OTHER,0.02368135187665157
