seq_seeds,etx_seeds,seed_models_total,additional_historical_seed_families,corr_vs_exact_AVG3,max_candidate_rho_difference,difference_EXP075_joint,difference_EXP081_A,difference_EXP081_B,difference_EXP081_AB_mean,fidelity_pass
42+43+44,42,4,1,0.999968384973082,3.916917690267169e-06,2.7831103907604605e-07,3.7028958730332684e-06,3.904403324820477e-06,3.916917690267169e-06,True
42,42+43+44,4,1,0.9999154402895081,0.00028106748685843147,1.632348672897738e-06,0.00028106748685843147,0.00024181759953992646,0.00026646876623611856,True
42+43+44,43,4,2,0.9999759513987194,4.515514594710668e-06,3.208450773453924e-07,4.268784209025822e-06,4.501088568597406e-06,4.515514594710668e-06,True
42+43+44,44,4,2,0.9999731678851617,5.405742175747935e-06,3.840541344421293e-07,5.110348788462532e-06,5.3884887620501976e-06,5.405742175747935e-06,True
42+44,42+43,4,2,0.9999748240580034,2.2950247644440425e-05,2.535944360258953e-06,2.2950247644440425e-05,1.875068238552796e-05,1.0347101182806018e-08,True
42+44,42+44,4,2,0.9999748624307907,2.3281212801082307e-05,2.5110223788170783e-06,2.3281212801082307e-05,1.8400997974069716e-05,3.4014798411252656e-07,True
42+44,43+44,4,2,0.9999718825095937,2.3696137794203265e-05,2.4797494932037208e-06,2.3696137794203265e-05,1.796262744370794e-05,7.79544597397791e-07,True
43,42+43+44,4,2,0.9999227879180443,5.123876571539246e-05,6.051300278541805e-06,3.287897636492301e-05,5.123876571539246e-05,1.3798945828175091e-05,True
43+44,43+44,4,2,0.9999715464476635,0.00013323019419200083,1.3669090936699584e-06,0.00013323019419200083,0.00011320340142294272,0.00012550621267643988,True
43+44,42+44,4,2,0.9999731657901016,0.00013362201922203013,1.3376729017656845e-06,0.00013362201922203013,0.0001136160359318239,0.0001259203944019259,True
43+44,42+43,4,2,0.9999715221368404,0.00013391623982158748,1.3157423664328632e-06,0.00013391623982158748,0.00011392590021313403,0.00012623141271245544,True
42+43,42+43,4,2,0.999972705931685,0.00014523934870721775,2.116117810823954e-06,0.00012287736474278152,0.00014523934870721775,0.00013884339566429607,True
42+43,42+44,4,2,0.9999726163968101,0.00014563345249987703,2.1443370852960216e-06,0.00012325138156047202,0.00014563345249987703,0.00013923887933518092,True
42+43,43+44,4,2,0.9999713540736885,0.00014605337478488037,2.174430776433374e-06,0.00012364991902608438,0.00014605337478488037,0.0001396602802471135,True
44,42+43+44,4,2,0.9999169605430527,0.00027657192187247395,3.2421376741341174e-06,0.00023256784327663899,0.00027657192187247395,0.0002637364371711401,True
42+43+44,42+43,5,2,0.9999933553645738,3.845923196108686e-06,2.7326644671567257e-07,3.6357806643509682e-06,3.833635556494547e-06,3.845923196108686e-06,True
42+43+44,42+44,5,2,0.9999939707587966,4.1984537769747254e-06,2.9829236244515583e-07,3.969038681269493e-06,4.185048114894313e-06,4.1984537769747254e-06,True
42+43+44,43+44,5,2,0.9999920428124833,4.6234919889795445e-06,3.284939721806112e-07,4.3708519296310755e-06,4.608728937791767e-06,4.6234919889795445e-06,True
42+44,42+43+44,5,2,0.9999807301804967,2.318639768896652e-05,2.5181609714542297e-06,2.318639768896652e-05,1.8501176629409644e-05,2.397374509743866e-07,True
43+44,42+43+44,5,2,0.9999789440395137,0.00013371324408792407,1.3308737416815614e-06,0.00013371324408792407,0.0001137121116316156,0.00012601682773451597,True
42+43,42+43+44,5,2,0.9999791157820137,0.00014551328297611812,2.13573319530363e-06,0.00012313733740870053,0.00014551328297611812,0.0001391182892837295,True
42+43+44,42+43+44,6,2,0.9999999999999998,4.092585083662753e-06,2.9077759361516124e-07,3.8689580603330775e-06,4.07951491782424e-06,4.092585083662753e-06,True
