exp,w_seq,wcv,better,f_0904,f_0918,f_1002,f_1016
SEQ-01-S44,0.5,1.7482291495736566,4,1.7672279665671375,1.761279916381938,1.7491578959022434,1.7421272325831076
SEQ-AVG2,0.0,1.7494835973237886,0,1.7691335679979736,1.762566098123157,1.7507266460832276,1.743135201409954
SEQ-AVG2,0.05,1.7491226337951993,4,1.7687146938380665,1.7621505601993186,1.7503562393447996,1.742799841914011
SEQ-AVG2,0.1,1.7488031559102994,4,1.7683378925754083,1.7617804504109769,1.7500268227957905,1.7425051567592462
SEQ-AVG2,0.15,1.7485251913661193,4,1.7680032643028467,1.7614557975809155,1.7497384195873988,1.7422511665846896
SEQ-AVG2,0.2,1.74828876003791,4,1.7677108333393805,1.7611766268475513,1.7494910500027445,1.7420378891903987
SEQ-AVG2,0.25,1.7480938788459368,4,1.7674606209554717,1.7609429598423685,1.7492847314497495,1.7418653395312307
SEQ-AVG2,0.3,1.7479405617307238,4,1.7672526450848465,1.7607548146815526,1.7491194784550188,1.7417335297116037
SEQ-AVG2,0.35,1.7478288196695588,4,1.7670869206404816,1.7606122059589724,1.7489953026587324,1.7416424689812535
SEQ-AVG2,0.4,1.747758660672659,4,1.7669634595107286,1.7605151447405254,1.7489122128105468,1.7415921637319896
SEQ-AVG2,0.45,1.7477300897802945,4,1.7668822705550515,1.7604636385598456,1.7488702147665143,1.7415826174954523
SEQ-AVG2,0.5,1.7477431090604738,4,1.7668433595998245,1.7604576914121033,1.74886931148702,1.7416138309418745
SEQ-AVG3,0.0,1.7494835973237886,0,1.7691335679979736,1.762566098123157,1.7507266460832276,1.743135201409954
SEQ-AVG3,0.05,1.7491212807271463,4,1.7687126353998364,1.7621711882103133,1.7503465466668962,1.7427972515523935
SEQ-AVG3,0.1,1.7487978284326329,4,1.768330722913081,1.7618161307689955,1.750005274197034,1.7424979181562859
SEQ-AVG3,0.15,1.7485132669175647,4,1.7679879290167422,1.7615009500850927,1.749702851392758,1.7422372211256887
SEQ-AVG3,0.2,1.7482676151821332,4,1.7676842765374445,1.7612256675670774,1.7494392984017093,1.7420151778066952
SEQ-AVG3,0.25,1.7480608896568994,4,1.767419785974906,1.7609903019259008,1.7492146327933535,1.7418318029816713
SEQ-AVG3,0.3,1.7478931041615107,4,1.7671944749581132,1.7607948691686421,1.7490288695531342,1.7416871088643409
SEQ-AVG3,0.35,1.7477642699170177,4,1.7670083584934413,1.760639382593074,1.7488820210774787,1.7415811050957202
SEQ-AVG3,0.4,1.7476743955426157,4,1.7668614489670187,1.760523852783139,1.7487740971696668,1.7415137987409088
SEQ-AVG3,0.45,1.7476234870540075,4,1.76675375615928,1.7604482876053529,1.74870510503656,1.741485194286736
SEQ-AVG3,0.5,1.7476115478595629,4,1.7666852872400676,1.760412692193245,1.748675049286194,1.7414952936402635
