recency_weight,post_order_dist_weight,behavior_dist_weight,rmsle_mean,rmsle_std,bias_mean,pred_log_mean,pred_mean
0.15,0.0,0.85,1.7083081166904555,0.05186237968956742,0.06724168601503888,2.267529928634323,33.93778472099888
0.05,0.55,0.4,1.7083120178058278,0.0519926642149013,0.06637698173574202,2.26839463291362,33.82135618859866
0.05,0.2,0.75,1.7083621647439202,0.05204669456922649,0.06801655546611007,2.266755059183252,33.80917422753444
0.05,0.6,0.35,1.7083840626805196,0.051979634643911005,0.06614636439723709,2.268625250252125,33.82760752416226
0.1,0.05,0.85,1.7084153368682078,0.05195762704827622,0.06786681247035053,2.2669048021790115,33.87508503448734
0.0,0.45,0.55,1.7084277626592623,0.05210674774853989,0.06770361862594632,2.2670679960234157,33.7559768620032
0.0,0.4,0.6,1.7084280367180797,0.052115603336702614,0.06793754879480507,2.2668340658545567,33.753821919999595
0.0,0.5,0.5,1.7084472937358628,0.052096564176991274,0.06747059248833409,2.2673010221610275,33.75925776333558
0.0,0.35,0.65,1.7084481203085158,0.052123129431257124,0.06817238543618775,2.266599229213174,33.7527912228917
0.05,0.15,0.8,1.708448589792709,0.052049083741338584,0.06825441834608514,2.2665171963032766,33.81192628650146
0.05,0.65,0.3,1.7084758972374892,0.05196528308506328,0.0659166438615355,2.2688549707878263,33.83499490837738
0.0,0.55,0.45,1.7084866256474462,0.05208505429515082,0.0672384682875764,2.267533146361785,33.76366681329343
0.0,0.3,0.7,1.7084880179514172,0.05212932469587277,0.06840813134696844,2.2663634833023933,33.75288352383693
0.0,0.6,0.4,1.7085457541658349,0.05207221992986303,0.06700724426909344,2.2677643703802683,33.769206684953176
0.0,0.25,0.75,1.7085477343271676,0.052134187981285905,0.06864478969011523,2.2661268249592466,33.75409803789495
0.1,0.0,0.9,1.708548315275482,0.051956198724209195,0.06810681013318387,2.2666648045161777,33.880497432242365
0.05,0.1,0.85,1.708554844367141,0.05205013720992488,0.06849320111354174,2.26627841353582,33.815800242855474
0.0,0.65,0.35,1.7086246751164778,0.0520580630543007,0.06677691901257665,2.2679946956367854,33.775880545805144
0.0,0.2,0.8,1.708627274317381,0.05213771834097147,0.06888236400716519,2.2658892506421964,33.75643443788064
0.05,0.05,0.9,1.7086809338090672,0.05204985436487429,0.06873290820506783,2.266038706444294,33.82079684420806
0.0,0.7,0.3,1.7087233843643221,0.0520425857821157,0.06654749142790406,2.268224123221458,33.783692070196565
0.0,0.15,0.85,1.7087266430544124,0.05213991504976202,0.06912085823290592,2.2656507564164556,33.7598928517297
0.05,0.0,0.95,1.7088268638283965,0.052048234839345946,0.06897354448717752,2.2657980701621843,33.82691729411172
0.0,0.1,0.9,1.7088458459799454,0.05214077762598804,0.06936027671257028,2.2654113379367917,33.76447386136229
0.0,0.05,0.95,1.7089848889142685,0.05214030585789642,0.06960062422192892,2.265170990427433,33.770178503043894
0.0,0.0,1.0,1.7091437781382663,0.05213849983532227,0.06984190599075002,2.2649297086586118,33.77700826925751
