feature,gain_mean,split_mean
b1_order_days_count_all,524.9714889526367,1.0
has_cat_to_cart_sum_120d,514.2854971885681,15.5
has_cat_to_cart_sum_60d,509.4180030822754,10.5
cat_to_cart_sum_7d,468.7479510307312,13.5
cat_to_ord_sum_all,429.5210018157959,10.5
gmv_cat_sum_14d,418.8153476715088,11.5
orders_per_active_day_7d,413.74981784820557,11.5
b1_order_gmv_max_all,384.908899307251,7.0
cat_to_cart_sum_14d,374.46244621276855,9.5
cat_sum_7d,358.9391975402832,8.0
has_search_to_ord_sum_14d,341.57556104660034,3.5
to_ord_sum_7d,329.5722999572754,6.5
search_to_ord_sum_14d,309.9232006072998,5.0
has_cat_to_ord_sum_all,293.4699487686157,6.5
b1_route_cat_only_to_order_rate_90d,285.2720489501953,7.0
post_order_search_sum,282.99725246429443,6.0
cat_to_ord_max_all,278.85274839401245,7.5
cat_to_cart_sum_60d,258.6942481994629,6.5
gmv_cat_sum_7d,248.89159679412842,7.0
has_cat_to_cart_sum_7d,235.06885433197021,8.0
has_cat_to_cart_sum_14d,216.3531494140625,5.5
has_cat_to_cart_sum_30d,207.7682523727417,5.5
b1_post_order_cart_no_order_days,196.47845077514648,4.5
cat_to_ord_sum_120d,183.07124662399292,5.0
search_to_ord_sum_7d,182.93370246887207,3.0
w365_buyday_rate,147.63375282287598,1.0
has_search_to_ord_sum_7d,138.7232003211975,3.5
post_order_cat_sum,132.58549976348877,3.5
b1_order_gmv_top1_sum,121.53964805603027,2.0
cat_to_ord_sum_30d,109.29554748535156,2.0
has_cat_to_ord_sum_120d,81.66665077209473,2.0
has_cat_to_ord_sum_60d,70.1664514541626,1.5
b1_last_order_day_is_multi,64.20705032348633,1.5
cat_to_ord_sum_60d,55.85669994354248,1.5
b1_route_cat_only_order_days_90d,19.32469940185547,0.5
has_cat_to_ord_sum_30d,16.593050003051758,0.5
no_activity_after_last_order,8.221349716186523,0.5
b1_last_order_had_cart_same_day,0.0,0.0
