recency_weight,post_order_dist_weight,behavior_dist_weight,xgb_behavior_weight,cat_behavior_weight,rmsle_mean,rmsle_std,bias_mean,pred_log_mean,pred_mean
0.25,0.15,0.3,0.15,0.15,1.7070376886237175,0.051324431402172646,0.06286007110179459,2.271911543547567,34.359298373091406
0.2,0.2,0.25,0.25,0.1,1.707038634115556,0.05135509948525401,0.06301115539228164,2.27176045925708,34.38514893337293
0.3,0.0,0.3,0.3,0.1,1.7070389489730067,0.051112130329910306,0.06186616653705146,2.2729054481123105,34.63458488599633
0.2,0.05,0.35,0.3,0.1,1.7070399789199682,0.05129659711263513,0.06334356363595095,2.2714280510134106,34.45777498426866
0.35,0.05,0.2,0.25,0.15,1.7070402863348888,0.05101926156710469,0.06087702139811091,2.273894593251251,34.69847638853502
0.15,0.1,0.35,0.25,0.15,1.7070409105070716,0.05138737276225727,0.06406563751118433,2.2707059771381775,34.342965445998445
0.15,0.05,0.35,0.3,0.15,1.70704146626477,0.051323776345945676,0.06393008778732878,2.270841526862033,34.420168196878436
0.1,0.1,0.3,0.3,0.2,1.7070416655118859,0.05134811947990082,0.06428235127304216,2.2704892633763194,34.3854714481032
0.35,0.05,0.25,0.2,0.15,1.7070417598284018,0.051077717490480616,0.06124714129486741,2.2735244733544944,34.61296499035154
0.15,0.0,0.35,0.3,0.2,1.7070421829332796,0.05125999732530768,0.06389517921410004,2.2708764354352615,34.46893174954536
0.15,0.25,0.2,0.2,0.2,1.7070422663872575,0.051380454344433536,0.06346415525126936,2.271307459398092,34.31976131558269
0.25,0.0,0.35,0.3,0.1,1.707042706612677,0.05120441517492687,0.06272213244045277,2.2720494822089092,34.5441413239231
0.3,0.15,0.25,0.15,0.15,1.7070431528960026,0.051229260689863276,0.062004891268851337,2.2727667233805104,34.445920580471494
0.35,0.0,0.2,0.25,0.2,1.7070439443560317,0.05095927699742652,0.06084171966750884,2.273929894981853,34.75337161648791
0.2,0.1,0.35,0.25,0.1,1.7070442795990033,0.05135865514881719,0.06347942024922348,2.2712921944001385,34.3808456809746
0.25,0.1,0.35,0.15,0.15,1.707044326692298,0.0513261571909213,0.0630943368857253,2.2716772777636365,34.357441525034616
0.3,0.1,0.3,0.2,0.1,1.707044332844268,0.05123195438576011,0.062138226451673884,2.272633388197688,34.474520893872835
0.35,0.05,0.25,0.15,0.2,1.7070444166268621,0.051076919941853344,0.06134791548216767,2.273423699167194,34.582460836637686
0.25,0.15,0.3,0.2,0.1,1.7070449279353173,0.051325093457266144,0.06275975210903217,2.27201186254033,34.39033298305547
0.35,0.0,0.25,0.25,0.15,1.7070455317182436,0.05101841298476098,0.06111124422672631,2.2736603704226352,34.69648449963796
0.2,0.0,0.4,0.2,0.2,1.70704564941641,0.051297455040943685,0.06377923458814472,2.270992380061217,34.39451968255645
0.1,0.2,0.25,0.25,0.2,1.7070464439948285,0.05140950811751222,0.06418398679063508,2.2705876278587267,34.31091987359062
0.1,0.15,0.3,0.25,0.2,1.7070484747839705,0.05141176927829878,0.06441817803902428,2.2703534366103373,34.308639114719305
0.15,0.25,0.2,0.25,0.15,1.707048489712443,0.05138031864173014,0.0633638283190574,2.2714077863303044,34.35045739373579
0.35,0.1,0.2,0.2,0.15,1.7070487320590937,0.05107708259045218,0.06101349992180327,2.2737581147275585,34.61560859501312
0.3,0.1,0.3,0.1,0.2,1.707049499816144,0.0512300002079981,0.06233974732150549,2.2724318673278563,34.41373533897147
0.2,0.25,0.2,0.2,0.15,1.7070495218565538,0.051351010617747904,0.06287830034823205,2.2718933143011295,34.35736787642473
0.3,0.15,0.25,0.2,0.1,1.7070498423548002,0.05123029327305331,0.06190453273337537,2.2728670819159866,34.47707026625075
0.25,0.15,0.25,0.3,0.05,1.707050294577635,0.05126526300517595,0.06228953324556108,2.2724820814038007,34.501223854481054
0.3,0.05,0.35,0.15,0.15,1.707050410815223,0.05123177509609381,0.06247311665333943,2.2722984979960223,34.441898348959114
0.25,0.15,0.3,0.1,0.2,1.7070505297832792,0.0513233587715991,0.06296125689229126,2.2718103577570705,34.32982288838957
0.25,0.2,0.25,0.15,0.15,1.7070508597410454,0.05132137653338678,0.06262670479996535,2.2721449098493967,34.362280367844946
0.25,0.1,0.3,0.3,0.05,1.7070508737760406,0.05126631025726385,0.06252354290036499,2.272248071748997,34.498943144282634
0.15,0.15,0.3,0.3,0.1,1.707051462847923,0.051385278015187226,0.06373135593753099,2.271040258711831,34.37665153773943
0.35,0.1,0.2,0.15,0.2,1.7070521549768,0.05107602429038947,0.061114304778220996,2.273657309871141,34.58512887116017
0.25,0.1,0.35,0.2,0.1,1.707052333631983,0.05132655793360023,0.06299404960759358,2.271777565041768,34.38850149618936
0.25,0.0,0.4,0.2,0.15,1.7070528148555668,0.051266065874364865,0.06319307002448293,2.271578544624879,34.43245828278593
0.15,0.2,0.25,0.3,0.1,1.7070532228272741,0.051383188425347434,0.06349738837783248,2.2712742262715295,34.37912330371638
0.3,0.0,0.35,0.25,0.1,1.7070533093078604,0.05117220028468464,0.062236761008308106,2.2725348536410537,34.55180505247908
0.2,0.25,0.2,0.15,0.2,1.707053596736917,0.05135028208896206,0.06297908120838347,2.271792533440978,34.327308486448615
0.25,0.0,0.4,0.15,0.2,1.7070536054761294,0.05126627108929493,0.06329373433729613,2.271477880312066,34.402161656719116
0.35,0.0,0.3,0.2,0.15,1.707054598535454,0.051077022913865774,0.061481683231443984,2.273289931417918,34.611450165891505
0.2,0.0,0.4,0.25,0.15,1.7070551581681173,0.05129638221711663,0.06367902504414746,2.2710925896052143,34.42545403199482
0.25,0.1,0.35,0.1,0.2,1.7070564010667548,0.05132534477466028,0.06319549153121984,2.271576123118142,34.32794063456271
0.35,0.0,0.3,0.15,0.2,1.707056487522867,0.05107648642619081,0.06158242581517204,2.2731891888341895,34.580920971812475
0.3,0.15,0.25,0.1,0.2,1.7070565415968577,0.05122781790633121,0.06210611513215247,2.2726654995172093,34.41633432004981
0.25,0.2,0.25,0.2,0.1,1.7070573330851508,0.05132229962049115,0.06252635506758364,2.272245259581778,34.39329029037698
0.3,0.1,0.25,0.3,0.05,1.7070573601561811,0.05117303986468036,0.061668212635785036,2.273103402013577,34.58798359691624
0.2,0.05,0.4,0.2,0.15,1.707057749729408,0.05135916514057742,0.06381470733103001,2.2709569073183316,34.34865703061412
0.3,0.05,0.35,0.2,0.1,1.7070586351016017,0.051232285096666656,0.06237282114736464,2.2723987935019974,34.473098207160774
0.2,0.05,0.4,0.15,0.2,1.7070587574862963,0.051359479844093905,0.06391536317625723,2.2708562514731048,34.31849676583124
0.35,0.05,0.25,0.25,0.1,1.7070591806140727,0.05107810304009958,0.061147219292407184,2.2736243953569546,34.645044410673535
0.35,0.0,0.2,0.3,0.15,1.7070615457547689,0.05095882064110199,0.060741767373508004,2.2740298472758536,34.785438458352175
0.3,0.05,0.35,0.1,0.2,1.707062266397985,0.051230852706497826,0.06257427860302034,2.272197336046341,34.41226178886001
0.1,0.2,0.25,0.3,0.15,1.7070637337889072,0.051408244247346635,0.06408411208465403,2.2706875025647077,34.34228271768556
0.1,0.25,0.2,0.25,0.2,1.7070642247955077,0.05140592163673251,0.06395069693012467,2.270820917719237,34.3143237772005
0.25,0.2,0.25,0.1,0.2,1.7070644659367127,0.05132004399532556,0.06272792082825895,2.272043693821103,34.332829716391494
0.3,0.05,0.3,0.3,0.05,1.7070648370621087,0.051172954001966635,0.06190252014489506,2.2728690945044665,34.5861109632996
0.15,0.2,0.3,0.2,0.15,1.7070649999536873,0.05144583815655958,0.06396816075566236,2.2708034538936994,34.271614687023884
0.35,0.1,0.2,0.25,0.1,1.7070653858219857,0.051077729985179926,0.060913546723262435,2.273858067926099,34.6476637142323
0.2,0.25,0.2,0.25,0.1,1.7070655279305353,0.051351330501965095,0.06277837399675357,2.271993240652608,34.38898961690921
0.1,0.15,0.3,0.3,0.15,1.7070665321917107,0.051410243219569204,0.06431833525529096,2.270453279394071,34.34002703638096
0.35,0.05,0.2,0.3,0.1,1.7070674518110787,0.051019150619368694,0.060777477090789844,2.2739941375585717,34.73132878226399
0.35,0.1,0.25,0.15,0.15,1.7070676943951986,0.0511344023834996,0.06138429802798573,2.273387316621376,34.53345564883392
0.15,0.2,0.3,0.15,0.2,1.7070677578101545,0.05144574041044532,0.0640688703970671,2.2707027442522945,34.24163847150078
