feature,is_b1,mean_abs_shap,mean_shap,mean_value,std_value
gmv_sum_30d,False,0.022697561561461133,-0.0080189188183903,102.05958266235237,305.05623246623816
w180_orders_per_day,False,0.021721535163377406,0.0020623466491953455,0.09048666803259403,0.17376762932069686
b1_active_gap_last_over_mean,True,0.021156378522956,-0.0017458935849050815,1.0116749773543188,1.3924648165015512
active_days_14d,False,0.020584293501105463,0.002822420555605986,5.141830000000001,3.826148327290377
w90_gmv,False,0.019583199368939035,-0.0011484642355175081,288.6493998059335,690.6412126101511
w90_buyday_rate,False,0.019190120208892877,3.794963800529295e-05,0.057539223739812156,0.07671565905754746
gmv_sum_120d,False,0.01907946918976039,0.0024423820325965373,379.4547532600279,869.134909836677
b1_weekend_gmv_all,True,0.018543346297302046,0.002349740865623776,272.21528844001614,648.5756374071088
b1_cart_days_30d,True,0.016995383446041526,-0.00036016064386069414,4.21267,4.643489874216917
to_ord_mean_all,False,0.015215543054220055,0.002110435509002209,0.20776948353328512,0.28035318330420145
b1_fresh_buyer_high_intent_score,True,0.015204432017421403,-0.0034176448675257267,0.7986317502100393,1.2547992519261846
first_buy_age_days,False,0.01506611511060266,0.0064172498103620985,1677.54016,3415.0707520878395
post_order_search_share_all,False,0.014626509698473785,0.0017358566266987866,0.10246021345704365,0.18079362523577674
w90_lgmv_std,False,0.013951145369216787,0.007306816039909321,0.5415593580272751,0.5391298449760268
all_lgmv_std,False,0.013621091796427006,-0.005999129808192169,0.7181902836007018,0.4797486917325753
search_mean_all,False,0.013346125145078205,0.0004819406033630662,0.7881268053082331,0.17387458932351013
has_search_to_ord_sum_120d,False,0.013012316069354215,6.934041714496406e-05,6.44581,8.65486339747465
b1_order_gmv_top3_share,True,0.012763046006065905,-0.0017923493547502213,0.559287224049978,0.3353613750205816
w180_lgmv_std,False,0.01265113280196535,0.0036672445475371017,0.6486332685717848,0.5129750917667263
b1_search_intent_score,True,0.012520114576367565,0.0003501133690279785,0.8037583717510925,0.7216770513767761
b1_order_gmv_median_all,True,0.012390966035783128,1.3155583379210328e-06,29.2076350979371,62.36171663709757
cat_sum_all,False,0.01181133157806442,-0.002183210193423272,16.743589999999998,26.95751701451892
b1_search_day_share_active_30d,True,0.011744230290387353,-0.0003564545612024107,0.7810287302320078,0.2492736867872144
b1_active_gap_cv_all,True,0.01154014999587736,0.000741119307809296,1.1674726864996832,0.5088581553208602
gmv_mean_all,False,0.011310406254526,0.0003954206175635859,7.576479474649112,16.24423936582831
searches_sum_30d,False,0.011276971057623044,0.0029882312294976492,37.14068,54.68846348521832
has_search_to_cart_sum_14d,False,0.010890842476097637,-0.0004316059714785873,1.8170899999999999,2.287359246645419
to_ord_sum_30d,False,0.010608443833308057,-0.003616726351863423,3.0841700000000003,6.61366439089908
