candidate,fold,segment_family,segment,n,base_rmsle,candidate_rmsle,delta_rmsle,base_mean_signed_residual,candidate_mean_signed_residual,signed_residual_improvement,mean_squared_error_improvement
replacement_beta1_partial_3fold,2025-09-04,history_purchase_days,0-1,41580,1.4856550544269136,1.4855851011995522,-6.995322736136345e-05,-0.0011410304861025227,-0.002604497130349674,0.0014634666442471514,0.0002078478381518841
replacement_beta1_partial_3fold,2025-09-04,history_purchase_days,16+,39025,1.4231051915636252,1.4227223284466228,-0.0003828631170024188,0.07315186378559883,0.0719010786704602,0.001250785115138639,0.001089562394762926
replacement_beta1_partial_3fold,2025-09-04,history_purchase_days,2-15,107913,1.9674622528962453,1.9674220115584449,-4.0241337800450694e-05,-0.02601454353618976,-0.024998328324064515,-0.0010162152121252453,0.00015834500689161
replacement_beta1_partial_3fold,2025-09-04,history_purchase_days_2_15,2-15,107913,1.9674622528962453,1.9674220115584449,-4.0241337800450694e-05,-0.02601454353618976,-0.024998328324064515,-0.0010162152121252453,0.00015834500689161
replacement_beta1_partial_3fold,2025-09-04,history_purchase_days_2_15,outside,80605,1.4557071310989336,1.455489100136196,-0.00021803096273753653,0.034827956536453715,0.03346745989001637,0.0013604966464373439,0.0006347309170148071
replacement_beta1_partial_3fold,2025-09-04,recency,0-7,60411,1.6714592180761232,1.6712462847280019,-0.0002129333481213358,0.026843981497217943,0.025794809140380855,0.0010491723568370886,0.0007117734744962656
replacement_beta1_partial_3fold,2025-09-04,recency,15-30,30240,1.9612560756914732,1.9611296208293116,-0.00012645486216156243,-0.025294762057259508,-0.023452446127071012,-0.0018423159301884963,0.0004960047425978942
replacement_beta1_partial_3fold,2025-09-04,recency,31-60,22984,1.9778625536132743,1.9776574139156058,-0.0002051396976685549,-0.003206666626948782,-2.633804488190749e-05,-0.0031803285820668744,0.0008114341702608478
replacement_beta1_partial_3fold,2025-09-04,recency,61-90,11019,1.8825591856836035,1.8823153957923071,-0.0002437898912963643,-0.032813735182264804,-0.031020407436661557,-0.0017933277456032466,0.0009178383649625145
replacement_beta1_partial_3fold,2025-09-04,recency,8-14,26458,1.8799500373888738,1.879960646712877,1.0609324003318932e-05,-0.02723274059289722,-0.02775305553168874,0.0005203149387915211,-3.989011067096209e-05
replacement_beta1_partial_3fold,2025-09-04,recency,>90,16441,1.746061385952467,1.7461863410364984,0.00012495508403143063,0.011598655008793986,0.009881288743858569,0.001717366264935417,-0.00043637410818452574
replacement_beta1_partial_3fold,2025-09-04,recency,never,20965,1.2128612063816369,1.2130633708419643,0.000202164460327392,0.0051680789753188235,0.0031081828805560098,0.0020598960947628138,-0.0004904357329494183
replacement_beta1_partial_3fold,2025-09-04,exp037_prediction,high,62840,1.615671643860174,1.6153848743737338,-0.00028676948644013045,0.04909298725367959,0.04948793501165177,-0.00039494775797217774,0.000926568418392945
replacement_beta1_partial_3fold,2025-09-04,exp037_prediction,low,62839,1.6124690332883556,1.6124285354860028,-4.04978023527125e-05,-0.0006152291871544273,-0.001705719743020648,0.0010904905558662206,0.00013060126434839657
replacement_beta1_partial_3fold,2025-09-04,exp037_prediction,medium,62839,2.038427650112823,2.038420555405578,-7.094707245247633e-06,-0.04847853931681952,-0.04778300280399953,-0.0006955365128199914,2.89240445021608e-05
replacement_beta1_partial_3fold,2025-09-04,dist_count_abs_disagreement,high,62840,1.8684688744428641,1.8682468733481556,-0.0002220010947084905,-0.007141628125558187,-0.005274223216777533,-0.0018674049087806536,0.0008295549866240415
replacement_beta1_partial_3fold,2025-09-04,dist_count_abs_disagreement,low,62839,1.6664085307754382,1.666415225603673,6.694828234898864e-06,0.0010257418853507822,-0.00032391186999060687,0.001349653755341389,-2.231268258543086e-05
replacement_beta1_partial_3fold,2025-09-04,dist_count_abs_disagreement,medium,62839,1.759980450504331,1.7599012282484439,-7.922225588719023e-05,0.0061159998898219995,0.005598219019090623,0.0005177808707313766,0.00027885296704600594
replacement_beta1_partial_3fold,2025-09-04,dist_count_signed_disagreement,count_gt_dist,87259,1.7668288138136057,1.766718663566379,-0.00011015024722671463,0.013037307924763071,-0.0038138019494327723,0.016851109874195844,0.000389221128220655
replacement_beta1_partial_3fold,2025-09-04,dist_count_signed_disagreement,count_lt_dist,101259,1.7669303573000956,1.766834537063916,-9.582023617960012e-05,-0.011234778658755221,0.0032865083035142585,-0.01452128696226948,0.00033860618678109296
replacement_beta1_partial_3fold,2025-09-18,target_zero_positive,positive,116594,1.6830190187218057,1.6830415500555347,2.2531333728981195e-05,0.9946304742453208,0.9950456808124766,-0.0004152065671557681,-7.584183402798293e-05
replacement_beta1_partial_3fold,2025-09-18,target_zero_positive,zero,74431,1.875471293449936,1.875518390870528,4.7097420591946104e-05,-1.5580597535188152,-1.5587101625485333,0.0006504090297181353,-0.0001766619387993759
replacement_beta1_partial_3fold,2025-09-18,target_count_class,C0,74431,1.875471293449936,1.875518390870528,4.7097420591946104e-05,-1.5580597535188152,-1.5587101625485333,0.0006504090297181353,-0.0001766619387993759
replacement_beta1_partial_3fold,2025-09-18,target_count_class,C1,37610,1.6879150979916049,1.6878233428961327,-9.175509547221239e-05,0.7722014374581683,0.7731385971918583,-0.0009371597336900184,0.0003097412029322577
replacement_beta1_partial_3fold,2025-09-18,target_count_class,C2,41056,1.7777979402711843,1.7778553301802453,5.7389909061011934e-05,1.1208688663033506,1.12190280626133,-0.0010339399579795128,-0.00020405861784381814
replacement_beta1_partial_3fold,2025-09-18,target_count_class,C3,28801,1.6285987931610886,1.629198171346777,0.0005993781856883373,1.1153246324261523,1.1161157467518874,-0.0007911143257350872,-0.0019526524339269595
replacement_beta1_partial_3fold,2025-09-18,target_count_class,C4,9127,1.3629891738125717,1.3612145419805486,-0.001774631832023088,0.9624841172237587,0.9567790327816178,0.005705084442140906,0.004834458630961466
replacement_beta1_partial_3fold,2025-09-18,predicted_count_class,C0,105744,1.822334287345909,1.8224453502141025,0.00011106286819351219,-0.024543112987051346,-0.024598897055624812,5.5784068573466045e-05,-0.0004047996804808807
replacement_beta1_partial_3fold,2025-09-18,predicted_count_class,C1,530,2.05268355446493,2.0513507141237914,-0.0013328403411385636,-0.07827572678460534,-0.0768067050242687,-0.0014690217603366418,0.005470022434587816
replacement_beta1_partial_3fold,2025-09-18,predicted_count_class,C2,52097,1.8815292394023777,1.8815484036635752,1.9164261197524013e-05,0.013974402951849306,0.015385330348418606,-0.0014109273965692993,-7.211660285795374e-05
