scheme,model,base_score,score,delta,fold_scores,fold_base_scores,fold_deltas,signs,improved_folds,fold_offsets,fold_base_offsets
B_K3_3F,ZERO2D,1.7604688784032436,1.7604695573856444,6.789824006528786e-07,"[1.7771144209498992, 1.7661136603929213, 1.7534862899909422]","[1.777039186663626, 1.7660858903285137, 1.7535177953755132]","[7.523428627331796e-05, 2.7770064407572903e-05, -3.1505384570973405e-05]","[""+"", ""+"", ""-""]",1,"[-0.09473940542072037, -0.06199464457351603, -0.0054540013790908125]","[-0.0990544117774113, -0.06632060287482912, -0.008797529077512023]"
B_K3_3F,SEQ_SLOT_25,1.7604688784032436,1.760421268376717,-4.761002652666134e-05,"[1.7768897781375739, 1.765990217994866, 1.7535196661274284]","[1.777039186663626, 1.7660858903285137, 1.7535177953755132]","[-0.0001494085260520528, -9.567233364760064e-05, 1.8707519151561769e-06]","[""-"", ""-"", ""+""]",2,"[-0.08639888259894098, -0.055913316805240976, 0.005559443748323451]","[-0.0990544117774113, -0.06632060287482912, -0.008797529077512023]"
B_K3_3F,SEQ_SLOT_50,1.7604688784032436,1.7604688784032436,0.0,"[1.777039186663626, 1.7660858903285137, 1.7535177953755132]","[1.777039186663626, 1.7660858903285137, 1.7535177953755132]","[0.0, 0.0, 0.0]","[""0"", ""0"", ""0""]",0,"[-0.09905441177741128, -0.06632060287482908, -0.008797529077511992]","[-0.0990544117774113, -0.06632060287482912, -0.008797529077512023]"
B_K3_3F,SEQ_SLOT_75,1.7604688784032436,1.7606730383474414,0.0002041599441976302,"[1.7773701305186473, 1.7663473286119802, 1.7536616201723705]","[1.777039186663626, 1.7660858903285137, 1.7535177953755132]","[0.000330943855021415, 0.00026143828346647524, 0.00014382479685726146]","[""+"", ""+"", ""+""]",0,"[-0.11170994900809772, -0.07672788894441719, -0.023154501903347443]","[-0.0990544117774113, -0.06632060287482912, -0.008797529077512023]"
C_MATCHED_KPOS_3F,BTYD05,1.7414283359427005,1.7410886234067502,-0.0003397125359504268,"[1.7537355717206111, 1.744903920126007, 1.7360192379686563]","[1.7543312483654332, 1.7454294685705474, 1.7362020415230939]","[-0.000595676644822074, -0.0005255484445403358, -0.00018280355443756058]","[""-"", ""-"", ""-""]",3,"[-0.12191882263664305, -0.0920571708217217, -0.030097015244547207]","[-0.13881486536628862, -0.10926155617734154, -0.04425290533416223]"
C_MATCHED_KPOS_3F,FRESH,1.7414283359427005,1.7411765724371118,-0.0002517635055889121,"[1.754257895038188, 1.7451876938919997, 1.7359006810593984]","[1.7543312483654332, 1.7454294685705474, 1.7362020415230939]","[-7.335332724522914e-05, -0.00024177467854769041, -0.00030136046369544367]","[""-"", ""-"", ""-""]",3,"[-0.1395506398991443, -0.1091654253424244, -0.0437876295722076]","[-0.13881486536628862, -0.10926155617734154, -0.04425290533416223]"
C_MATCHED_KPOS_3F,BTYD05_FRESH1,1.7414283359427005,1.7408770301845853,-0.0005513057581149537,"[1.7537259861632921, 1.744693242024423, 1.7357566852699902]","[1.7543312483654332, 1.7454294685705474, 1.7362020415230939]","[-0.000605262202141077, -0.0007362265461243744, -0.0004453562531037125]","[""-"", ""-"", ""-""]",3,"[-0.12265494111755615, -0.09196113719134866, -0.029631739482592578]","[-0.13881486536628862, -0.10926155617734154, -0.04425290533416223]"
C_MATCHED_KPOS_3F,ZERO2D,1.7414283359427005,1.7413720138526476,-5.6322090052875395e-05,"[1.7543304234077306, 1.7453886325240024, 1.7361241021281995]","[1.7543312483654332, 1.7454294685705474, 1.7362020415230939]","[-8.249577025942756e-07, -4.083604654492312e-05, -7.793939489442181e-05]","[""-"", ""-"", ""-""]",3,"[-0.1338249460459479, -0.10425035595199675, -0.0403893383400873]","[-0.13881486536628862, -0.10926155617734154, -0.04425290533416223]"
C_MATCHED_KPOS_3F,SEQ_SLOT_25,1.7414283359427005,1.7413886994064194,-3.963653628101328e-05,"[1.7541727428607623, 1.7453027974680129, 1.736235639512037]","[1.7543312483654332, 1.7454294685705474, 1.7362020415230939]","[-0.00015850550467089164, -0.00012667110253450353, 3.359798894320143e-05]","[""-"", ""-"", ""+""]",2,"[-0.1261519693132691, -0.09868214444892669, -0.030013085026862462]","[-0.13881486536628862, -0.10926155617734154, -0.04425290533416223]"
C_MATCHED_KPOS_3F,SEQ_SLOT_50,1.7414283359427005,1.7414283359427005,0.0,"[1.7543312483654332, 1.7454294685705474, 1.7362020415230939]","[1.7543312483654332, 1.7454294685705474, 1.7362020415230939]","[0.0, 0.0, 0.0]","[""0"", ""0"", ""0""]",0,"[-0.1388148653662886, -0.10926155617734153, -0.04425290533416219]","[-0.13881486536628862, -0.10926155617734154, -0.04425290533416223]"
C_MATCHED_KPOS_3F,SEQ_SLOT_75,1.7414283359427005,1.7416239082168516,0.00019557227415131377,"[1.7546701590655507, 1.7457224009732981, 1.736313099126454]","[1.7543312483654332, 1.7454294685705474, 1.7362020415230939]","[0.0003389107001174896, 0.00029293240275074517, 0.0001110576033600541]","[""+"", ""+"", ""+""]",0,"[-0.15147799961848177, -0.11984104898899976, -0.058492725641461935]","[-0.13881486536628862, -0.10926155617734154, -0.04425290533416223]"
