arm,group,cohort,n,base,score,delta,base_offset,offset,correction_mean,correction_var,correction_residual_corr,shrink
ANNIV_SHUFFLED,A,all,124787,1.6694247265888973,1.6689630973616707,-0.00046162922722658983,-0.21286764299530292,-0.2129678274698885,0.00022632582508716543,0.0025047468422186568,0.025785158407987115,0.5
ANNIV_SHUFFLED,A,target_zero,57369,1.5941846867714922,1.5923210833790584,-0.0018636033924337436,,,,,,
ANNIV_SHUFFLED,A,target_positive,67418,1.7308760547168558,1.7315116710316822,0.0006356163148264482,,,,,,
ANNIV_SHUFFLED,A,annual_buyer,45820,1.7026086305764232,1.70207293988136,-0.0005356906950630957,,,,,,
ANNIV_SHUFFLED,A,annual_nonbuyer,78967,1.6498640556267437,1.649446687020599,-0.000417368606144608,,,,,,
ANNIV_SHUFFLED,A,recent_buyer,70204,1.7527524097410727,1.7523666529322068,-0.00038575680886587804,,,,,,
ANNIV_SHUFFLED,A,recent_nonbuyer,54583,1.5557014028260694,1.5551278730277769,-0.0005735297982925047,,,,,,
ANNIV_SHUFFLED,A,rec_buy_15_60,39144,1.8861013320800646,1.8854826294985798,-0.0006187025814847757,,,,,,
ANNIV_SHUFFLED,A,base_low,41732,1.3628304232131359,1.3623006251167613,-0.0005297980963745452,,,,,,
ANNIV_SHUFFLED,A,base_mid,41366,1.9435145033875612,1.9429577594823264,-0.0005567439052347467,,,,,,
ANNIV_SHUFFLED,A,base_high,41689,1.6537873901889344,1.6534787733750298,-0.00030861681390459417,,,,,,
ANNIV_SHUFFLED,B,all,125213,1.6677722897960259,1.667302249443728,-0.00047004035229791796,-0.21209629964567853,-0.2118030622369897,-0.0003466047692946664,0.0029570860247931296,0.023619622783760386,0.75
ANNIV_SHUFFLED,B,target_zero,57466,1.5973071330837565,1.5937383963001142,-0.0035687367836423345,,,,,,
ANNIV_SHUFFLED,B,target_positive,67747,1.7252894336739262,1.7272481270480107,0.001958693374084497,,,,,,
ANNIV_SHUFFLED,B,annual_buyer,45999,1.701391693478222,1.7011227939674494,-0.00026889951077269103,,,,,,
ANNIV_SHUFFLED,B,annual_nonbuyer,79214,1.6479349963343775,1.6473442636473825,-0.0005907326869949436,,,,,,
ANNIV_SHUFFLED,B,recent_buyer,70566,1.7521964253571733,1.7516422621322185,-0.000554163224954829,,,,,,
ANNIV_SHUFFLED,B,recent_nonbuyer,54647,1.5519756223815704,1.5516261673599234,-0.0003494550216469605,,,,,,
ANNIV_SHUFFLED,B,rec_buy_15_60,39577,1.8919128513214372,1.8915242490733055,-0.000388602248131642,,,,,,
ANNIV_SHUFFLED,B,base_low,41602,1.3494139993335277,1.3489509989770727,-0.00046300035645496784,,,,,,
ANNIV_SHUFFLED,B,base_mid,41967,1.94959500339637,1.9489770296887357,-0.0006179737076343894,,,,,,
ANNIV_SHUFFLED,B,base_high,41644,1.6473246580045477,1.647009738162041,-0.00031491984250675564,,,,,,
ANNIV_SHIFTED,A,all,124787,1.6694247265888973,1.6681379483534542,-0.0012867782354430979,-0.21286764299530292,-0.21284460588377216,0.0001884799112635081,0.008091252290638791,0.03905142680492323,0.75
ANNIV_SHIFTED,A,target_zero,57369,1.5941846867714922,1.5882151812425913,-0.005969505528900854,,,,,,
ANNIV_SHIFTED,A,target_positive,67418,1.7308760547168558,1.7332479218543833,0.0023718671375274614,,,,,,
ANNIV_SHIFTED,A,annual_buyer,45820,1.7026086305764232,1.701129608964937,-0.0014790216114861643,,,,,,
ANNIV_SHIFTED,A,annual_nonbuyer,78967,1.6498640556267437,1.6486921446816765,-0.0011719109450671894,,,,,,
ANNIV_SHIFTED,A,recent_buyer,70204,1.7527524097410727,1.7512051572875325,-0.0015472524535402599,,,,,,
