segment,exp,n,share,rmsle,auc,mse_share,d_rmsle,d_auc
пересечение,SEQ-D3A-AVG3,45667,0.23136706539196167,1.981888706660133,0.6787145424790371,0.2990397702268077,-0.0023052637964793288,0.0013091025692570923
пересечение,SEQ-AVG3,45667,0.23136706539196167,1.9826108972577658,0.6779476042487227,0.2991033233624597,-0.0015830731988464297,0.0005421643389427189
пересечение,SEQ-01-S42,45667,0.23136706539196167,1.9853462493042657,0.6764605701595678,0.29879052831282654,0.001152278847653454,-0.0009448697502121295
пересечение,SEQ-D3A-BASE-S42,45667,0.23136706539196167,1.985104505471184,0.6765687856176001,0.29836357341124825,0.0009105350145717228,-0.0008366542921798281
пересечение,S1-DIST-MIX,45667,0.23136706539196167,1.9833744895718661,0.6787119554022105,0.2995358700899262,-0.0008194808847461488,0.0013065154924305489
пересечение,SEQ-01-MIX,45667,0.23136706539196167,1.9821727574019754,0.67893951591087,0.2994881562667645,-0.0020212130546368723,0.0015340760010900123
пересечение,SEQAVG3-CLIP-MIX,45667,0.23136706539196167,1.9816378299990591,0.6790730650655779,0.2995027966552371,-0.0025561404575531466,0.0016676251557978805
rec_buy 0-14,ETX-01-S42,91095,0.4615232623531379,1.70540739128299,0.7999988172083999,0.441797420252493,-0.004965264329610974,0.0019270944941217616
rec_buy 0-14,SEQ-D3A-S42,91095,0.4615232623531379,1.7103726556126009,0.7980717227142782,0.4426916178684184,0.0,0.0
rec_buy 0-14,SEQ-D3A-AVG3,91095,0.4615232623531379,1.7062865321898535,0.7991749603185095,0.4421467203214082,-0.00408612342274739,0.0011032376042313663
rec_buy 0-14,SEQ-AVG3,91095,0.4615232623531379,1.7066827424279374,0.7988360650842339,0.44212381874649487,-0.003689913184663496,0.0007643423699557061
rec_buy 0-14,SEQ-01-S42,91095,0.4615232623531379,1.7112793992890356,0.7972190951277244,0.4428210006238749,0.0009067436764347292,-0.0008526275865538002
rec_buy 0-14,SEQ-D3A-BASE-S42,91095,0.4615232623531379,1.7135673571384498,0.7964630794271252,0.4434794174271968,0.0031947015258488864,-0.0016086432871529333
rec_buy 0-14,S1-DIST-MIX,91095,0.4615232623531379,1.7054337069283148,0.8010239980741685,0.4417749983875204,-0.004938948684286126,0.0029522753598902884
rec_buy 0-14,SEQ-01-MIX,91095,0.4615232623531379,1.7048262382634076,0.8005857012173327,0.441925381553369,-0.005546417349193256,0.0025139785030545703
rec_buy 0-14,SEQAVG3-CLIP-MIX,91095,0.4615232623531379,1.7042311484609174,0.8004554502544795,0.441876970925676,-0.00614150715168349,0.0023837275402013303
