cutoff,feature,rho_raw,rho_after_full_span,single_feature_optimal_gain
2025-10-02,etxtab_x_count,0.010398448760877381,-0.002317933840817798,1.6436064851862622e-05
2025-10-02,std_x_z,-0.004850994825707514,0.004373157152695956,5.850405150643477e-05
2025-10-02,std_x_pactive,-0.0038614496188875956,0.0033343973454137343,3.401186739454305e-05
2025-10-02,seqtab_x_etxtab,-0.005337428318436474,-0.0031199063563259848,2.977685951291812e-05
2025-10-02,rank_z_x_rank_pactive,-0.0030765935097811807,-0.001699498660019513,8.835628087676176e-06
2025-10-02,rank_z_x_rank_count,-0.002522102057524667,0.0010894508022007625,3.6308726790941515e-06
2025-10-02,rank_std_x_rank_pactive,-0.004596394787431296,0.002989332893763605,2.7336589807871258e-05
2025-10-02,seqtab_squared,-0.013753979958362618,-0.004515465866597691,6.237361302386704e-05
2025-10-02,etxtab_squared,-0.0011781079294372243,-0.005342923529339235,8.732803556917968e-05
2025-10-16,z_x_pactive,-0.00889425042817431,-0.005511519998235742,9.212906078446496e-05
2025-10-16,z_x_count,-0.008998991591857013,-0.005049342010871673,7.732562603651941e-05
2025-10-16,z_x_value,-0.01014727140267172,-0.01076980308934481,0.000351778582384491
2025-10-16,seq_x_tab,-0.00876111087335883,-0.007795839986887255,0.00018432307267232952
2025-10-16,etx_x_tab,-0.008906280204526714,-0.0074798328231612705,0.00016968273329454945
2025-10-16,other_x_tab,-0.009235874406122242,-0.007709898090192544,0.00018028149205279588
2025-10-16,seqtab_x_pactive,0.01541436135482993,-0.005699817339390999,9.853164760741054e-05
2025-10-16,etxtab_x_pactive,0.010743117924332522,-0.005391979516914595,8.817598830338343e-05
2025-10-16,seqtab_x_count,0.012770535407101543,-0.005680326555955164,9.785893290703358e-05
2025-10-16,etxtab_x_count,0.007616498778427914,-0.0044367602054109275,5.970157417415611e-05
2025-10-16,std_x_z,-0.010075426338517537,0.001825635264032536,1.0108387932614614e-05
2025-10-16,std_x_pactive,-0.009076733414154239,0.0028721443979330447,2.5018796200097054e-05
2025-10-16,seqtab_x_etxtab,-0.012357764038293301,-0.0036791866352614447,4.1054191764619846e-05
2025-10-16,rank_z_x_rank_pactive,-0.00833589633066307,-0.003985140575248494,4.816606417376802e-05
2025-10-16,rank_z_x_rank_count,-0.007915432615427181,-0.002151946322149912,1.4044838087518973e-05
2025-10-16,rank_std_x_rank_pactive,-0.009247384408106171,0.0026621756377495443,2.1494496587694455e-05
2025-10-16,seqtab_squared,-0.016559666778798755,-0.008068071498813745,0.0001974209989541964
2025-10-16,etxtab_squared,-0.008173815511741874,-0.002379254906838483,1.7168636903575563e-05
