cutoff,arm,recipient_side,segment,n,base_score,candidate_score,delta
2025-10-02,SHUFFLED,1,LOW_BUY90,31511,1.6436032030400891,1.6436032030400891,0.0
2025-10-02,SHUFFLED,1,REC_BUY_GT30,37907,1.7204597019622012,1.7204597019622012,0.0
2025-10-02,CONTROL_ONLY,0,ALL,96693,1.7469849384990352,1.7469849384990352,0.0
2025-10-02,CONTROL_ONLY,0,LOW_BUY90,31177,1.639422233732394,1.639422233732394,0.0
2025-10-02,CONTROL_ONLY,0,REC_BUY_GT30,37638,1.7157877230907166,1.7157877230907166,0.0
2025-10-02,CONTROL_ONLY,1,ALL,97001,1.7502571545254346,1.7502571545254346,0.0
2025-10-02,CONTROL_ONLY,1,LOW_BUY90,31511,1.6436032030400891,1.6436032030400891,0.0
2025-10-02,CONTROL_ONLY,1,REC_BUY_GT30,37907,1.7204597019622012,1.7204597019622012,0.0
2025-10-16,REAL,0,ALL,98613,1.7418665616146538,1.7418665616146538,0.0
2025-10-16,REAL,0,LOW_BUY90,31697,1.6290627215300069,1.6290627215300069,0.0
2025-10-16,REAL,0,REC_BUY_GT30,37870,1.6996227236595467,1.6996227236595467,0.0
2025-10-16,REAL,1,ALL,98766,1.7406893569291604,1.7406893569291604,0.0
2025-10-16,REAL,1,LOW_BUY90,31824,1.6302125640004563,1.6302125640004563,0.0
2025-10-16,REAL,1,REC_BUY_GT30,37871,1.7025826634633143,1.7025826634633143,0.0
2025-10-16,SHUFFLED,0,ALL,98613,1.7418665616146538,1.7418665616146538,0.0
2025-10-16,SHUFFLED,0,LOW_BUY90,31697,1.6290627215300069,1.6290627215300069,0.0
2025-10-16,SHUFFLED,0,REC_BUY_GT30,37870,1.6996227236595467,1.6996227236595467,0.0
2025-10-16,SHUFFLED,1,ALL,98766,1.7406893569291604,1.7406893569291604,0.0
2025-10-16,SHUFFLED,1,LOW_BUY90,31824,1.6302125640004563,1.6302125640004563,0.0
2025-10-16,SHUFFLED,1,REC_BUY_GT30,37871,1.7025826634633143,1.7025826634633143,0.0
2025-10-16,CONTROL_ONLY,0,ALL,98613,1.7418665616146538,1.7418665616146538,0.0
2025-10-16,CONTROL_ONLY,0,LOW_BUY90,31697,1.6290627215300069,1.6290627215300069,0.0
2025-10-16,CONTROL_ONLY,0,REC_BUY_GT30,37870,1.6996227236595467,1.6996227236595467,0.0
2025-10-16,CONTROL_ONLY,1,ALL,98766,1.7406893569291604,1.7406893569291604,0.0
2025-10-16,CONTROL_ONLY,1,LOW_BUY90,31824,1.6302125640004563,1.6302125640004563,0.0
2025-10-16,CONTROL_ONLY,1,REC_BUY_GT30,37871,1.7025826634633143,1.7025826634633143,0.0
