cutoff,fold_weight,score_quantile,model,n,score_mean,rmsle,residual_bias
2025-10-02,4.0,4,S1-DIST-MIX,38739,3.6866169200345675,1.8373876725865343,-0.05824718126356987
2025-10-02,4.0,4,S1-ROUNDS,38739,3.6866169200345675,1.8395514615144737,-0.06437467843088815
2025-10-02,4.0,4,S1-SEEDAVG3,38739,3.6866169200345675,1.8387533272138228,-0.06360731280782661
2025-10-02,4.0,5,SEQ-01-MIX,38738,6.812844621999145,1.5796027089755365,-0.02399193104011058
2025-10-02,4.0,5,S1-DIST-MIX,38738,6.812844621999145,1.5807501257878898,-0.030368444246479272
2025-10-02,4.0,5,S1-ROUNDS,38738,6.812844621999145,1.581879643435729,-0.04573551804943075
2025-10-02,4.0,5,S1-SEEDAVG3,38738,6.812844621999145,1.5816834736629801,-0.04535253266466792
2025-10-16,8.0,1,SEQ-01-MIX,39476,-7.833532027855677,1.538451544164158,0.02580592518750385
2025-10-16,8.0,1,S1-DIST-MIX,39476,-7.833532027855677,1.5394133393894576,0.03221603664449789
2025-10-16,8.0,1,S1-ROUNDS,39476,-7.833532027855677,1.5406611421135914,0.03099629827188849
2025-10-16,8.0,1,S1-SEEDAVG3,39476,-7.833532027855677,1.539649874614463,0.032367633708779826
2025-10-16,8.0,2,SEQ-01-MIX,39476,-2.8438218148757963,1.8207759542721378,0.006069414070054017
2025-10-16,8.0,2,S1-DIST-MIX,39476,-2.8438218148757963,1.8208190309187111,0.015064723413208922
2025-10-16,8.0,2,S1-ROUNDS,39476,-2.8438218148757963,1.8221440675196983,0.026558605921806422
2025-10-16,8.0,2,S1-SEEDAVG3,39476,-2.8438218148757963,1.8214140513414772,0.02619003780425534
2025-10-16,8.0,3,SEQ-01-MIX,39476,0.3344513047552474,1.9205516781156844,-0.004066480894801684
2025-10-16,8.0,3,S1-DIST-MIX,39476,0.3344513047552474,1.9215496819158318,0.002688638107560047
2025-10-16,8.0,3,S1-ROUNDS,39476,0.3344513047552474,1.9227823703000475,0.012308734041911617
2025-10-16,8.0,3,S1-SEEDAVG3,39476,0.3344513047552474,1.9225355184550048,0.011517379117661205
2025-10-16,8.0,4,SEQ-01-MIX,39476,3.5974722269192836,1.832166928650563,-0.018987509779710175
2025-10-16,8.0,4,S1-DIST-MIX,39476,3.5974722269192836,1.8334979239672577,-0.02990631972178335
2025-10-16,8.0,4,S1-ROUNDS,39476,3.5974722269192836,1.8349150168679769,-0.03476533720614444
2025-10-16,8.0,4,S1-SEEDAVG3,39476,3.5974722269192836,1.8344811715044427,-0.03456128721277057
2025-10-16,8.0,5,SEQ-01-MIX,39475,6.765616724788576,1.564987792448019,-0.008821572049761243
2025-10-16,8.0,5,S1-DIST-MIX,39475,6.765616724788576,1.5663153061329314,-0.02006358669119603
2025-10-16,8.0,5,S1-ROUNDS,39475,6.765616724788576,1.567822031151422,-0.035063385313154
2025-10-16,8.0,5,S1-SEEDAVG3,39475,6.765616724788576,1.5673171888161757,-0.03551466306994343
