method,outer_fold,fitting_folds,amount_bin,amount_bin_id,p0_bin,p0_lo,p0_hi,n_cell,weight_sum,c_raw,reliability,c_pre_isotonic,correction,eligible
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[3, 10)",2,0,-inf,0.09814505402623849,2,5.100099465449963e-05,-2.353155071594371,9.999000099990002e-05,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[3, 10)",2,1,0.09814505402623849,0.25995290154379735,1993,0.048705696110782085,0.06283554700696475,0.09061974264538716,0.0,0.0,True
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[3, 10)",2,2,0.25995290154379735,0.4519348591464248,79354,1.5284024492026265,-0.015416183551355113,0.7986995994122028,-0.012312899626932319,0.0,True
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[3, 10)",2,3,0.4519348591464248,0.675085335207546,46058,0.8480815532583568,-0.02084917175013136,0.6972357625117321,-0.014536788162940904,0.0,True
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[3, 10)",2,4,0.675085335207546,inf,15,0.00030642366607754593,-1.6080037185656655,0.0007494379215588309,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[10, 30)",3,0,-inf,0.09814505402623849,2665,0.058120885535261436,0.006049257993016716,0.11758217515993823,0.0,0.0,True
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[10, 30)",3,1,0.09814505402623849,0.25995290154379735,79271,1.5172766354166018,0.00315497194099657,0.7985312931268951,0.0,0.0,True
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[10, 30)",3,2,0.25995290154379735,0.4519348591464248,35365,0.6310609834766693,-0.008090617997122143,0.6387609500587014,-0.0051679708384037674,0.0,True
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[10, 30)",3,3,0.4519348591464248,0.675085335207546,143,0.0028082059897238188,0.11287163895780178,0.00709924043091893,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[10, 30)",3,4,0.675085335207546,inf,1,4.053116086311107e-05,-2.8336474401852896,4.999750012499375e-05,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[30, 50)",4,0,-inf,0.09814505402623849,19960,0.3978656597027363,0.04393447351806603,0.4994994994994995,0.0,0.0,True
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[30, 50)",4,1,0.09814505402623849,0.25995290154379735,27370,0.495068176429474,0.014734729398117905,0.5777918513827317,0.0,0.0,True
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[30, 50)",4,2,0.25995290154379735,0.4519348591464248,310,0.0057592166791583035,-0.09016371428654904,0.015263417035942885,0.0,0.0,False
ZERO2D,2025-10-02,"[""2025-09-04"", ""2025-09-18"", ""2025-10-16""]","[30, 50)",4,3,0.4519348591464248,0.675085335207546,0,0.0,0.0,0.0,0.0,0.0,False
