fold,amount_bin,n,user_share,actual_zero_rate,mean_y_true,median_y_true,mean_prediction,median_prediction,mean_p0,rmsle,error_share,zero_row_error_share,positive_row_error_share,mean_calibrated_residual
2025-09-18,"[10, 30)",39342,0.20595210051040438,0.21701997864877232,98.12461128205493,38.32759475708008,18.118751748828736,17.237291106946493,0.22308611553311528,1.9650415571274513,0.25658597885907486,0.14368197675106864,0.11290400210800622,0.0013098780687354915
2025-09-18,"[30, 50)",15781,0.08261222353095145,0.10474621380140675,150.824723389147,77.2140121459961,38.78281110237131,38.20781236632946,0.11276761786890634,1.743241584570572,0.0809995642270838,0.043879417718571505,0.03712014650851229,0.032688166530899274
2025-09-18,"[50, 100)",16680,0.0873184138201806,0.0486810551558753,220.1328504072587,128.21340942382812,70.53465208286426,68.20730856532336,0.05889515572468262,1.4926992939540515,0.06277311915364656,0.028022587727552707,0.03475053142609386,0.07134764287831685
2025-09-18,"[100, +inf)",16029,0.08391048292108363,0.014224218603780647,511.28133379446814,311.8774719238281,219.93715867323985,164.49197660167528,0.017976923244777267,1.1562849033099774,0.0361967141130127,0.010666006466280102,0.0255307076467326,0.07253973581453249
2025-10-02,"[0, 1)",33155,0.1711720548907039,0.8415020358920223,11.830074333902793,0.0,0.3630318478030091,0.3040379865099351,0.8159063340234968,1.3425353176931543,0.10089945921386902,0.017670254500413617,0.0832292047134554,-0.029006857861445846
2025-10-02,"[1, 3)",29238,0.15094943570786912,0.6242219030029413,28.166931585091934,0.0,1.8998841924433725,1.8533392751083224,0.6164084476707111,1.8482796944822437,0.16864420170177835,0.05618461035755376,0.1124595913442246,-0.022404096651601053
2025-10-02,"[3, 10)",42978,0.2218860677150557,0.41719019032993626,51.971652380374245,10.636568069458008,5.87007211002965,5.560996787831098,0.4181299259595362,2.0233172767600403,0.2970725669651518,0.14148214635982945,0.15559042060532233,-0.01902057394739451
2025-10-02,"[10, 30)",39104,0.2018854481811517,0.21243351063829788,96.72698758698417,38.908416748046875,18.1092278240966,17.204711744951286,0.22119475278636647,1.9526375567119807,0.25174034798677586,0.13981453853259476,0.11192580945418118,0.01569483608263487
2025-10-02,"[30, 50)",15862,0.0818920565427943,0.09519606606985248,150.61344773688322,77.94287109375,38.956253318341865,38.45734556135895,0.11118215874251262,1.7003471515191702,0.07743218411593829,0.040110774952095564,0.037321409163842724,0.06151757014583005
2025-10-02,"[50, 100)",16794,0.08670376986380579,0.053888293438132666,209.610373853914,125.36477661132812,70.85450013332326,69.04855299910106,0.0593373577617773,1.5181070549132794,0.06535025904519022,0.03100845293534186,0.03434180610984836,0.01705585865600013
2025-10-02,"[100, +inf)",16563,0.08551116709861947,0.016241019139044858,504.2178221907162,305.52911376953125,223.97749607992418,167.77293622388032,0.018368496521211364,1.1788083268659897,0.0388609809712964,0.012736471158089686,0.026124509813206714,0.03370650964858326
2025-10-16,"[0, 1)",34453,0.1745525106520957,0.8404783328012074,11.738601594503448,0.0,0.3620516796902293,0.29932629152291135,0.8150132051087403,1.33052069079905,0.10191376744959386,0.017708333828663464,0.0842054336209304,-0.025981919859673384
2025-10-16,"[1, 3)",29524,0.1495802491653114,0.620715350223547,28.202310790643832,0.0,1.8996059372225669,1.8460906075611376,0.6144967347891045,1.8494308971750515,0.16873841345354146,0.05532265028278807,0.11341576317075341,-0.004933460597855172
2025-10-16,"[3, 10)",43443,0.22009940267201678,0.4133232051193518,50.898189450167884,10.797340393066406,5.856954343040145,5.531908017378184,0.41474479207835774,2.0161713244373574,0.2950782658655024,0.13923950882973307,0.15583875703576933,-0.0004637308145231984
2025-10-16,"[10, 30)",39263,0.19892187112104123,0.21452767236329368,95.32954868938957,38.12040710449219,18.088823903149677,17.150879591101962,0.2177252528276732,1.9541940996143907,0.25054250911581555,0.13963671903649155,0.11090579007932404,0.0017111204703589898
