scheme,family,model,score,rank,delta_to_strongest,fold_scores,fold_deltas_to_strongest,folds_correct_sign
B_SURVIVOR_K3,standalone,SEQ-AVG3,1.7523857395587201,2,0.0021283203135407103,"[1.7784450917689625, 1.7678984431458558, 1.7554388829474803, 1.743723572941276]","[0.0013117817457659608, 0.001768912404330747, 0.0018787865505627277, 0.002445006493304147]",0
B_SURVIVOR_K3,standalone,DIST,1.7533882100622804,3,0.0031307908171009924,"[1.7805084394641848, 1.769521107167904, 1.7567887510387468, 1.7442646866224032]","[0.003375129440988278, 0.003391576426378995, 0.0032286546418291984, 0.0029861201744314503]",0
B_SURVIVOR_K3,standalone,CAP,1.7634200895788736,4,0.013162670333694226,"[1.7872463616990992, 1.7776349207870326, 1.7665065566093976, 1.7553448642465437]","[0.010113051675902707, 0.011505390045507546, 0.012946460212480027, 0.014066297798571936]",0
B_SURVIVOR_K3,standalone,BTYD,1.8033407801196901,5,0.05308336087451071,"[1.8255231385716033, 1.8148499090114354, 1.806530795290305, 1.7960956955049574]","[0.04838982854840679, 0.04872037826991038, 0.05297069889338735, 0.05481712905698566]",0
B_SURVIVOR_K3,reference,UNC,1.7542078917667894,1,0.00395047252160996,"[1.7816420788286667, 1.7698178715740824, 1.757696790614577, 1.7451316740083374]","[0.004508768805470131, 0.003688340832557424, 0.004136694217659498, 0.0038531075603656095]",0
B_SURVIVOR_K3,incremental,BTYD05_FRESH1,1.7497799633324622,1,-0.0004774559127171951,"[1.7760963787131556, 1.7654140148618127, 1.7531809955035558, 1.7408813824419915]","[-0.0010369313100409006, -0.0007155158797123029, -0.00037910089336179453, -0.0003971840059802112]",4
B_SURVIVOR_K3,incremental,BTYD05,1.7499207651430615,2,-0.000336654102117917,"[1.776428026994897, 1.765517468129019, 1.7532926675908114, 1.7410222304412177]","[-0.0007052830282994194, -0.0006120626125059037, -0.0002674288061061958, -0.0002563360067540099]",4
B_SURVIVOR_K3,incremental,FRESH,1.7500375400018924,3,-0.00021987924328703556,"[1.7767405914103829, 1.7659950098814836, 1.7534078330756715, 1.7410251445690437]","[-0.0003927186128136473, -0.0001345208600413983, -0.00015226332124607111, -0.0002534218789280729]",4
B_SURVIVOR_K3,incremental,ZERO2D,1.7502411105832347,4,-1.6308661944686165e-05,"[1.7772053223859285, 1.7661558554958845, 1.7535272656189096, 1.7412488203618983]","[7.201236273202127e-05, 2.632475435948578e-05, -3.283077800797507e-05, -2.9746086073423328e-05]",2
B_SURVIVOR_K3,incremental,SEQ_SLOT_50,1.7502574192451794,5,0.0,"[1.7771333100231965, 1.766129530741525, 1.7535600963969176, 1.7412785664479717]","[0.0, 0.0, 0.0, 0.0]",0
