scheme,family,model,delta_mean,delta_median,delta_p025,delta_p10,delta_p90,delta_p975,p_delta_lt0,rank_median,rank_p10,rank_p90,bootstrap_offsets_fixed
C_PSEUDO_MATCHED_3F,standalone,CAP,0.011734313624245787,0.011730338845934218,0.010929717762129776,0.011240558964865578,0.01221753358840938,0.012495762109756503,0.0,4.0,4.0,4.0,True
C_PSEUDO_MATCHED_3F,standalone,DIST,0.0029858075210026334,0.002988627978733671,0.0026268477950777856,0.0027319959231784765,0.003216966560908796,0.0033519289323262033,0.0,3.0,3.0,3.0,True
C_PSEUDO_MATCHED_3F,standalone,ETX-AVG3,0.0016428304059164817,0.0016405582427978516,0.0012533988271440145,0.0013714449746268231,0.0019051977566308942,0.0020660408905574467,0.0,1.0,1.0,2.0,True
C_PSEUDO_MATCHED_3F,standalone,SEQ-AVG3,0.0018988415173121877,0.0018968752452306337,0.0014234555619102919,0.0015915019171578893,0.0022157396589006727,0.0023338028362819173,0.0,2.0,1.0,2.0,True
C_PSEUDO_MATCHED_3F,standalone,BTYD,0.05189497593470982,0.051877413477216416,0.04994450254099706,0.050663530826568694,0.05304649387087153,0.05393850845949981,0.0,5.0,5.0,5.0,True
C_PSEUDO_MATCHED_3F,incremental,BTYD05,-0.0003339173793792702,-0.0003326109477451711,-0.0004323452711105347,-0.00039193970816480127,-0.0002780948366437163,-0.00024093772683829182,1.0,2.0,2.0,2.0,True
C_PSEUDO_MATCHED_3F,incremental,FRESH,-0.0002500053814479326,-0.000249113355364039,-0.0003151855298450801,-0.0002934438841682985,-0.00020668166024342404,-0.00018758731228958332,1.0,3.0,3.0,3.0,True
C_PSEUDO_MATCHED_3F,incremental,ZERO2D,-5.7212829589844635e-05,-5.666698728290509e-05,-8.036707128801779e-05,-7.310935429172272e-05,-4.1474614824577036e-05,-3.530425684785122e-05,1.0,4.0,4.0,5.0,True
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_25,-3.664766039166789e-05,-3.88281685965719e-05,-0.00010629424027034374,-7.842949458545244e-05,1.1345318385447286e-05,3.092672143671364e-05,0.848,5.0,4.0,6.0,True
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,True
C_PSEUDO_MATCHED_3F,incremental,SEQ_SLOT_75,0.00019258533205304928,0.0001946602548872356,0.0001251425061907674,0.00014418704169150143,0.0002340708460127683,0.0002612846238273014,0.0,7.0,7.0,7.0,True
C_PSEUDO_MATCHED_3F,incremental,BTYD05_FRESH1,-0.0005437276363372789,-0.0005436624799456391,-0.000674112779753594,-0.0006249104227338708,-0.00046641996928635797,-0.0004207036324909653,1.0,1.0,1.0,1.0,True
