model,feature,gain,split,gain_share
D1-production,w365_aov,0.0,0.0,0.0
D1-production,w30_srch2cart,0.0,0.0,0.0
D1-production,w30_srch_per_day,0.0,0.0,0.0
D1-production,w30_searches,0.0,0.0,0.0
D1-production,w30_presence_rate,0.0,0.0,0.0
D1-production,w30_lgmv,0.0,0.0,0.0
D1-production,w30_ponly_share,0.0,0.0,0.0
D1-production,w30_orders,0.0,0.0,0.0
D1-production,w30_lgmv_std,0.0,0.0,0.0
D1-production,w30_gmv_max,0.0,0.0,0.0
D1-production,w30_gmv_per_day,0.0,0.0,0.0
D1-production,w365_lgmv,0.0,0.0,0.0
D1-production,w365_gmv30eq,0.0,0.0,0.0
D1-production,w365_ponly_share,0.0,0.0,0.0
D1-production,w365_lgmv_mean,0.0,0.0,0.0
D1-production,w365_gmv_per_day,0.0,0.0,0.0
D1-production,w365_srch2cart,0.0,0.0,0.0
D1-production,w365_srch_per_day,0.0,0.0,0.0
D1-production,w60_buyday_rate,0.0,0.0,0.0
D1-production,w180_srch_per_day,0.0,0.0,0.0
D1-production,w180_srch2cart,0.0,0.0,0.0
D1-production,w30_days_buy,0.0,0.0,0.0
D1-production,w30_days_cart,0.0,0.0,0.0
D1-production,w30_days_cat,0.0,0.0,0.0
D1-production,w30_days_presence_only,0.0,0.0,0.0
D1-production,w30_days_search,0.0,0.0,0.0
D1-production,w30_gmv,0.0,0.0,0.0
D1-production,w30_cat_gmv_share,0.0,0.0,0.0
D1-production,w30_buyday_rate,0.0,0.0,0.0
D1-production,w60_gmv,0.0,0.0,0.0
D1-production,w60_days_search,0.0,0.0,0.0
D1-production,w60_days_present,0.0,0.0,0.0
D1-production,w60_days_presence_only,0.0,0.0,0.0
D1-production,w60_days_cat,0.0,0.0,0.0
D1-production,w60_days_cart,0.0,0.0,0.0
D1-production,w60_days_buy,0.0,0.0,0.0
D1-production,w60_cat_gmv_share,0.0,0.0,0.0
D1-production,w60_carts,0.0,0.0,0.0
D1-production,w60_cart2ord,0.0,0.0,0.0
D1-production,w60_gmv_max,0.0,0.0,0.0
D1-production,w60_gmv30eq,0.0,0.0,0.0
D1-production,w60_gmv_per_day,0.0,0.0,0.0
D1-production,w60_lgmv,0.0,0.0,0.0
D1-production,w60_lgmv_std,0.0,0.0,0.0
D1-production,w60_gmv_cat,0.0,0.0,0.0
D1-production,w7_carts,0.0,0.0,0.0
D1-production,w7_cat_gmv_share,0.0,0.0,0.0
D1-production,w7_days_buy,0.0,0.0,0.0
D1-production,w7_days_cart,0.0,0.0,0.0
D1-production,w7_days_cat,0.0,0.0,0.0
D1-production,w7_days_presence_only,0.0,0.0,0.0
D1-production,w7_days_present,0.0,0.0,0.0
D1-production,w60_orders,0.0,0.0,0.0
D1-production,w60_ponly_share,0.0,0.0,0.0
D1-production,w60_presence_rate,0.0,0.0,0.0
D1-production,w60_searches,0.0,0.0,0.0
D1-production,w60_srch2cart,0.0,0.0,0.0
D1-production,w60_srch_per_day,0.0,0.0,0.0
D1-production,w7_aov,0.0,0.0,0.0
D1-production,w7_buyday_rate,0.0,0.0,0.0
D1-production,w7_cart2ord,0.0,0.0,0.0
D1-production,w7_lgmv_std,0.0,0.0,0.0
