scheme,model,cutoff,rmsle_cal,offset
behavior_t05_clip4,S1-DIST-MIX,2025-09-04,1.7532301627084357,-0.10986844887931156
behavior_t05_clip4,S1-DIST-MIX,2025-09-18,1.7483129518630647,-0.06847539969148322
behavior_t05_clip4,S1-DIST-MIX,2025-10-02,1.7364836744056238,-0.04210273454971041
behavior_t05_clip4,S1-DIST-MIX,2025-10-16,1.7289357565207015,-0.059849999547961656
behavior_t05_clip4,SEQ-01-MIX,2025-09-04,1.7515865962909285,-0.09138305006384588
behavior_t05_clip4,SEQ-01-MIX,2025-09-18,1.7467903815002828,-0.06283795060937189
behavior_t05_clip4,SEQ-01-MIX,2025-10-02,1.7352239041277842,-0.026760547576488707
behavior_t05_clip4,SEQ-01-MIX,2025-10-16,1.7280057640414945,-0.030081642375584115
behavior_t05_clip4,SEQ-MIX-ROUNDS-CONTROL,2025-09-04,1.7515551093158868,-0.09024761196754663
behavior_t05_clip4,SEQ-MIX-ROUNDS-CONTROL,2025-09-18,1.7468046834129631,-0.06208056393164631
behavior_t05_clip4,SEQ-MIX-ROUNDS-CONTROL,2025-10-02,1.7352042216550998,-0.026589900886569765
behavior_t05_clip4,SEQ-MIX-ROUNDS-CONTROL,2025-10-16,1.728026175849614,-0.03002715676250402
behavior_t10_clip4,S1-E10,2025-09-04,1.7388799233519796,-0.0913159476575658
behavior_t10_clip4,S1-E10,2025-09-18,1.7353137493986905,-0.059714689594727
behavior_t10_clip4,S1-E10,2025-10-02,1.7232044877621953,-0.04338670975664916
behavior_t10_clip4,S1-E10,2025-10-16,1.7149203798086412,-0.05329569022727334
behavior_t10_clip4,S1-E02,2025-09-04,1.7384647208210895,-0.17800930359051811
behavior_t10_clip4,S1-E02,2025-09-18,1.7341950681198084,-0.1128193750449489
behavior_t10_clip4,S1-E02,2025-10-02,1.7230044798603326,-0.04155544490991025
behavior_t10_clip4,S1-E02,2025-10-16,1.71516644768525,-0.07090430288285983
behavior_t10_clip4,S1-E03a,2025-09-04,1.744104251325694,-0.08001555303545872
behavior_t10_clip4,S1-E03a,2025-09-18,1.7423085384736534,-0.049312443732066814
behavior_t10_clip4,S1-E03a,2025-10-02,1.7319539643866753,-0.06734298947035391
behavior_t10_clip4,S1-E03a,2025-10-16,1.7254628018800617,-0.08881369490189463
behavior_t10_clip4,S1-DIST,2025-09-04,1.7369498150010563,-0.08016366657334598
behavior_t10_clip4,S1-DIST,2025-09-18,1.7338140977975973,-0.05171612985322854
behavior_t10_clip4,S1-DIST,2025-10-02,1.721803268064657,-0.04683513138694051
behavior_t10_clip4,S1-DIST,2025-10-16,1.7143397253565125,-0.05719948460927023
behavior_t10_clip4,S1-ROUNDS,2025-09-04,1.737850363621416,-0.0837020588558511
behavior_t10_clip4,S1-ROUNDS,2025-09-18,1.734776918116354,-0.05475199093178105
behavior_t10_clip4,S1-ROUNDS,2025-10-02,1.7224681829454918,-0.04220823609257316
behavior_t10_clip4,S1-ROUNDS,2025-10-16,1.7144425445382172,-0.05288356342083522
behavior_t10_clip4,S1-SEEDAVG3,2025-09-04,1.737142206334689,-0.08440073318482107
behavior_t10_clip4,S1-SEEDAVG3,2025-09-18,1.7339926055125108,-0.05485909874614964
behavior_t10_clip4,S1-SEEDAVG3,2025-10-02,1.7218678820297693,-0.042148241274908245
behavior_t10_clip4,S1-SEEDAVG3,2025-10-16,1.7139124844262772,-0.053485027985675004
behavior_t10_clip4,SEQ-01-S42,2025-09-04,1.7375238831091546,-0.051428317469813904
behavior_t10_clip4,SEQ-01-S42,2025-09-18,1.7350301715841283,-0.05200539014948335
behavior_t10_clip4,SEQ-01-S42,2025-10-02,1.7236383239221336,0.007825708748530821
behavior_t10_clip4,SEQ-01-S42,2025-10-16,1.7169485638251034,0.04074373830881403
behavior_t10_clip4,S1-DIST-MIX,2025-09-04,1.7359977125140902,-0.11111820012870666
behavior_t10_clip4,S1-DIST-MIX,2025-09-18,1.7325407791794007,-0.07099253242828048
behavior_t10_clip4,S1-DIST-MIX,2025-10-02,1.7207878545772917,-0.04677333672043569
behavior_t10_clip4,S1-DIST-MIX,2025-10-16,1.713181866626103,-0.0638432787742506
behavior_t10_clip4,SEQ-01-MIX,2025-09-04,1.734362319493409,-0.09271779457494526
behavior_t10_clip4,SEQ-01-MIX,2025-09-18,1.7310379433776637,-0.06489695531110797
behavior_t10_clip4,SEQ-01-MIX,2025-10-02,1.7195293098127693,-0.030904251709921497
behavior_t10_clip4,SEQ-01-MIX,2025-10-16,1.7122443056545416,-0.03310242702532143
behavior_t10_clip4,SEQ-MIX-ROUNDS-CONTROL,2025-09-04,1.7343309538323721,-0.09157626110533096
behavior_t10_clip4,SEQ-MIX-ROUNDS-CONTROL,2025-09-18,1.7310532803260401,-0.06415308443691829
behavior_t10_clip4,SEQ-MIX-ROUNDS-CONTROL,2025-10-02,1.7195161530840675,-0.030727707254469817
behavior_t10_clip4,SEQ-MIX-ROUNDS-CONTROL,2025-10-16,1.7122648953063568,-0.03304122239063178
