scheme,model,cutoff,rmsle_cal,offset
primary_t10_clip10,S1-ROUNDS,2025-10-02,1.7635447595884481,-0.03289409657210781
primary_t10_clip10,S1-ROUNDS,2025-10-16,1.730671281959675,-0.04116390845700356
primary_t10_clip10,S1-SEEDAVG3,2025-09-04,1.7578537168536563,-0.07141683898824011
primary_t10_clip10,S1-SEEDAVG3,2025-09-18,1.7760661747178936,-0.056107740307465896
primary_t10_clip10,S1-SEEDAVG3,2025-10-02,1.7630029049999814,-0.03262971250662114
primary_t10_clip10,S1-SEEDAVG3,2025-10-16,1.7304967496312629,-0.04229194029293295
primary_t10_clip10,SEQ-01-S42,2025-09-04,1.7588150854615934,-0.038087488078814756
primary_t10_clip10,SEQ-01-S42,2025-09-18,1.7776577428297209,-0.04151415083732166
primary_t10_clip10,SEQ-01-S42,2025-10-02,1.764578903630501,0.02462846370877324
primary_t10_clip10,SEQ-01-S42,2025-10-16,1.7325979622765444,0.028936393901688152
primary_t10_clip10,S1-DIST-MIX,2025-09-04,1.756757732748996,-0.10867059578195086
primary_t10_clip10,S1-DIST-MIX,2025-09-18,1.774781065338231,-0.08383148440696638
primary_t10_clip10,S1-DIST-MIX,2025-10-02,1.762222888228036,-0.047280882626217366
primary_t10_clip10,S1-DIST-MIX,2025-10-16,1.7297769500224314,-0.06527895173718772
primary_t10_clip10,SEQ-01-MIX,2025-09-04,1.7553453315813208,-0.08783363826174444
primary_t10_clip10,SEQ-01-MIX,2025-09-18,1.7735929446763459,-0.07179003795704608
primary_t10_clip10,SEQ-01-MIX,2025-10-02,1.7607913685469796,-0.02725246782078088
primary_t10_clip10,SEQ-01-MIX,2025-10-16,1.7285175521261518,-0.038672117706460354
primary_t10_clip10,SEQ-MIX-ROUNDS-CONTROL,2025-09-04,1.7553150368047683,-0.08701715520068976
primary_t10_clip10,SEQ-MIX-ROUNDS-CONTROL,2025-09-18,1.7735627184466516,-0.07096322349546454
primary_t10_clip10,SEQ-MIX-ROUNDS-CONTROL,2025-10-02,1.760800117412163,-0.02697462932292666
primary_t10_clip10,SEQ-MIX-ROUNDS-CONTROL,2025-10-16,1.7284893479865886,-0.038807076329151056
behavior_t05_clip4,S1-E10,2025-09-04,1.7561535120837932,-0.08963113387850015
behavior_t05_clip4,S1-E10,2025-09-18,1.751106949620719,-0.05665304974898226
behavior_t05_clip4,S1-E10,2025-10-02,1.7389637558929747,-0.0382826081807214
behavior_t05_clip4,S1-E10,2025-10-16,1.7307241274271776,-0.0487934287289525
behavior_t05_clip4,S1-E02,2025-09-04,1.7556496161295494,-0.1769007097065686
behavior_t05_clip4,S1-E02,2025-09-18,1.749981875674175,-0.11095196500718273
behavior_t05_clip4,S1-E02,2025-10-02,1.738652695294314,-0.03704279221407086
behavior_t05_clip4,S1-E02,2025-10-16,1.7309256702788614,-0.06771257532387083
behavior_t05_clip4,S1-E03a,2025-09-04,1.761216170111708,-0.08063897150191655
behavior_t05_clip4,S1-E03a,2025-09-18,1.7579310716830492,-0.04851025187358402
behavior_t05_clip4,S1-E03a,2025-10-02,1.7474189527560184,-0.06497998321000038
behavior_t05_clip4,S1-E03a,2025-10-16,1.7411786697659155,-0.08671152867508237
behavior_t05_clip4,S1-DIST,2025-09-04,1.7542198467403611,-0.07852967931626537
behavior_t05_clip4,S1-DIST,2025-09-18,1.749585792442362,-0.04854606972061624
behavior_t05_clip4,S1-DIST,2025-10-02,1.7375555694343778,-0.04168628575093706
behavior_t05_clip4,S1-DIST,2025-10-16,1.7300813673695408,-0.052399995240576064
behavior_t05_clip4,S1-ROUNDS,2025-09-04,1.7551187571454698,-0.08205865709790044
behavior_t05_clip4,S1-ROUNDS,2025-09-18,1.7505532238781516,-0.05160097057122602
behavior_t05_clip4,S1-ROUNDS,2025-10-02,1.7381757265165434,-0.03714392136030197
behavior_t05_clip4,S1-ROUNDS,2025-10-16,1.7302424606344708,-0.04842715496038017
behavior_t05_clip4,S1-SEEDAVG3,2025-09-04,1.7544070066013833,-0.08285558989615548
behavior_t05_clip4,S1-SEEDAVG3,2025-09-18,1.7497603411493983,-0.051713836296034286
behavior_t05_clip4,S1-SEEDAVG3,2025-10-02,1.7375743934091004,-0.03709843430102925
behavior_t05_clip4,S1-SEEDAVG3,2025-10-16,1.729695744289567,-0.04896624675527907
behavior_t05_clip4,SEQ-01-S42,2025-09-04,1.7546805948396718,-0.049682206283878046
behavior_t05_clip4,SEQ-01-S42,2025-09-18,1.7506302116731445,-0.05076129710363129
behavior_t05_clip4,SEQ-01-S42,2025-10-02,1.739305218064307,0.011005562083528183
behavior_t05_clip4,SEQ-01-S42,2025-10-16,1.7327531229731123,0.041756501157811106
