fold,segment,exp,n,share,rmsle,d_rmsle,auc,d_auc,mse_share
2025-09-18,w180_days_buy 2-15,SEQ-D3A-S42,108979,0.570496008375867,1.9626206327204532,-0.0008549560518538168,0.7181945536871517,0.0006932891949240627,0.7025909865566342
2025-09-18,пересечение,SEQ-D3A-BASE-S42,46309,0.24242376652270645,1.9931033033673982,0.0,0.6787796666166752,0.0,0.3091430492587265
2025-09-18,пересечение,SEQ-D3A-S42,46309,0.24242376652270645,1.9923609544064937,-0.0007423489609044154,0.6793095547860099,0.0005298881693346358,0.307672359442677
2025-09-18,rec_buy 0-14,SEQ-D3A-BASE-S42,85135,0.4456746499149326,1.7186673833896668,0.0,0.8020670102014285,0.0,0.42259686993435275
2025-09-18,rec_buy 0-14,SEQ-D3A-S42,85135,0.4456746499149326,1.718661619918887,-5.763470779740487e-6,0.8033270255157948,0.0012600153143663695,0.4208970994198371
2025-09-18,rec_buy 61-180,SEQ-D3A-BASE-S42,23632,0.12371155607904724,1.8510724251894848,0.0,0.6535196229385452,0.0,0.13607607255490126
2025-09-18,rec_buy 61-180,SEQ-D3A-S42,23632,0.12371155607904724,1.8519547327795614,0.0008823075900765698,0.650830598805844,-0.002689024132701112,0.13565888623508074
2025-09-18,rec_buy 180+,SEQ-D3A-BASE-S42,4602,0.02409108755398508,1.6513739221939212,0.0,0.5809108094505575,0.0,0.021089773915224663
2025-09-18,rec_buy 180+,SEQ-D3A-S42,4602,0.02409108755398508,1.651327804992017,-0.000046117201904172234,0.5774987366921424,-0.0034120727584151522,0.021003914252907444
2025-09-18,никогда не покупал,SEQ-D3A-BASE-S42,20572,0.10769271037822274,1.242983342336158,0.0,0.5969610765827394,0.0,0.053412339185750946
2025-09-18,никогда не покупал,SEQ-D3A-S42,20572,0.10769271037822274,1.2897515820263106,0.046768239690152535,0.5332913735276971,-0.06366970305504238,0.05727639681942012
2025-09-18,w180_days_buy 0-1,SEQ-D3A-BASE-S42,41940,0.21955241460541813,1.5140743769008647,0.0,0.6782240276166986,0.0,0.16156873001886668
2025-09-18,w180_days_buy 0-1,SEQ-D3A-S42,41940,0.21955241460541813,1.5342280652551297,0.02015368835426501,0.6535673756498903,-0.02465665196680833,0.165232436548591
2025-09-18,w180_days_buy 16+,SEQ-D3A-BASE-S42,40106,0.20995157701871484,1.4015560145892874,0.0,0.7427652201431139,0.0,0.13239291177571438
2025-09-18,w180_days_buy 16+,SEQ-D3A-S42,40106,0.20995157701871484,1.403230636063701,0.0016746214744136623,0.747544566565386,0.004779346422272179,0.13217657689477502
2025-10-02,ВСЕ,SEQ-D3A-BASE-S42,193694,1.0,1.7549574405635069,0.0,0.8417592880736647,0.0,1.0
2025-10-02,ВСЕ,SEQ-D3A-S42,193694,1.0,1.753671898823084,-0.0012855417404229463,0.8425860211755796,0.0008267331019148338,1.0
2025-10-02,rec_buy 15-60,SEQ-D3A-BASE-S42,56699,0.2927246068541101,1.9549196703404756,0.0,0.7152926633051322,0.0,0.36323181989028913
2025-10-02,rec_buy 15-60,SEQ-D3A-S42,56699,0.2927246068541101,1.952372375745995,-0.0025472945944806646,0.7171079805027212,0.0018153171975889837,0.36281718889225695
2025-10-02,w180_days_buy 2-15,SEQ-D3A-BASE-S42,110149,0.5686753332576125,1.9529523553511152,0.0,0.7166694593439551,0.0,0.7042299800004921
2025-10-02,w180_days_buy 2-15,SEQ-D3A-S42,110149,0.5686753332576125,1.9520531308673454,-0.0008992244837697783,0.7177480074137741,0.0010785480698189964,0.7046135220402421
2025-10-02,пересечение,SEQ-D3A-BASE-S42,46128,0.23814883269486922,1.9966847202259692,0.0,0.6723564176868908,0.0,0.3082721336706413
2025-10-02,пересечение,SEQ-D3A-S42,46128,0.23814883269486922,1.9938467667616961,-0.0028379534642730686,0.6747029602079343,0.002346542521043493,0.3078472853656206
2025-10-02,rec_buy 0-14,SEQ-D3A-BASE-S42,87932,0.4539737937158611,1.7085744917828596,0.0,0.7979758532766148,0.0,0.43029415037065727
2025-10-02,rec_buy 0-14,SEQ-D3A-S42,87932,0.4539737937158611,1.7080486201372092,-0.0005258716456504331,0.7988639077472173,0.0008880544706024729,0.4306600191705746
2025-10-02,rec_buy 61-180,SEQ-D3A-BASE-S42,23633,0.1220120396088676,1.8397558454723761,0.0,0.657930887230332,0.0,0.13408799358648293
2025-10-02,rec_buy 61-180,SEQ-D3A-S42,23633,0.1220120396088676,1.8409001055815113,0.0011442601091351534,0.6564694968365186,-0.0014613903938134332,0.13445174609439717
2025-10-02,rec_buy 180+,SEQ-D3A-BASE-S42,5073,0.026190795791299678,1.5960193240302056,0.0,0.5838201459696016,0.0,0.02166166361288799
2025-10-02,rec_buy 180+,SEQ-D3A-S42,5073,0.026190795791299678,1.5941318930922423,-0.0018874309379632859,0.5923898812796866,0.00856973531008498,0.021642155342373993
2025-10-02,никогда не покупал,SEQ-D3A-BASE-S42,20357,0.10509876402986154,1.2192032909221047,0.0,0.6028827699440721,0.0,0.05072437253968274
2025-10-02,никогда не покупал,SEQ-D3A-S42,20357,0.10509876402986154,1.21475653770557,-0.004446753216534649,0.615941967444257,0.013059197500184916,0.0504288905003973
2025-10-02,w180_days_buy 0-1,SEQ-D3A-BASE-S42,42018,0.21692979648311253,1.4842188569087484,0.0,0.6774188724687936,0.0,0.15516076816717894
2025-10-02,w180_days_buy 0-1,SEQ-D3A-S42,42018,0.21692979648311253,1.482994351316833,-0.001224505591915337,0.6822800163502367,0.004861143881443097,0.1551320447410411
2025-10-02,w180_days_buy 16+,SEQ-D3A-BASE-S42,41527,0.21439487025927495,1.4212364677296756,0.0,0.7236413842414153,0.0,0.140609251832329
2025-10-02,w180_days_buy 16+,SEQ-D3A-S42,41527,0.21439487025927495,1.4184023645643196,-0.002834103165356039,0.7299170064211389,0.00627562217972355,0.14025443321871683
2025-10-16,ВСЕ,SEQ-D3A-BASE-S42,197379,1.0,1.7480797590300503,0.0,0.8424762537908504,0.0,1.0
2025-10-16,ВСЕ,SEQ-D3A-S42,197379,1.0,1.7463725369809606,-0.001707222049089685,0.8429462875739374,0.000470033783086965,1.0
2025-10-16,rec_buy 15-60,SEQ-D3A-BASE-S42,56145,0.28445275333242137,1.9440249265014309,0.0,0.719212535224458,0.0,0.3517963360031724
2025-10-16,rec_buy 15-60,SEQ-D3A-S42,56145,0.28445275333242137,1.9434891648293373,-0.000535761672093571,0.7195926391913839,0.0003801039669258932,0.35229023313615027
2025-10-16,w180_days_buy 2-15,SEQ-D3A-BASE-S42,111441,0.5646041372182451,1.950534637685446,0.0,0.7140964364286941,0.0,0.7029572294888345
2025-10-16,w180_days_buy 2-15,SEQ-D3A-S42,111441,0.5646041372182451,1.9493385346489311,-0.0011961030365148506,0.7151440153397888,0.0010475789110946376,0.7034687440075281
2025-10-16,пересечение,SEQ-D3A-BASE-S42,45667,0.23136706539196167,1.985104505471184,0.0,0.6765687856176001,0.0,0.29836357341124825
2025-10-16,пересечение,SEQ-D3A-S42,45667,0.23136706539196167,1.9841939704566123,-0.0009105350145717228,0.67740543990978,0.0008366542921798281,0.2986730266516884
2025-10-16,rec_buy 0-14,SEQ-D3A-BASE-S42,91095,0.4615232623531379,1.7135673571384498,0.0,0.7964630794271252,0.0,0.4434794174271968
2025-10-16,rec_buy 0-14,SEQ-D3A-S42,91095,0.4615232623531379,1.7103726556126009,-0.0031947015258488864,0.7980717227142782,0.0016086432871529333,0.4426916178684184
2025-10-16,rec_buy 61-180,SEQ-D3A-BASE-S42,24231,0.12276381985925554,1.8245767421657324,0.0,0.654929252269435,0.0,0.1337433429182234
2025-10-16,rec_buy 61-180,SEQ-D3A-S42,24231,0.12276381985925554,1.8240028396530803,-0.0005739025126521025,0.655901152146354,0.0009718998769190357,0.13392067425019305
2025-10-16,rec_buy 180+,SEQ-D3A-BASE-S42,5524,0.027986766575978195,1.5927263835593124,0.0,0.5816237255473552,0.0,0.023233390164397526
2025-10-16,rec_buy 180+,SEQ-D3A-S42,5524,0.027986766575978195,1.5927681720450395,0.000041788485727112246,0.575549852473621,-0.006073873073734193,0.023280059000960515
2025-10-16,никогда не покупал,SEQ-D3A-BASE-S42,20384,0.103273397879207,1.188618241551764,0.0,0.6013324691784565,0.0,0.0477475134870098
2025-10-16,никогда не покупал,SEQ-D3A-S42,20384,0.103273397879207,1.1883263044222843,-0.00029193712947983563,0.6036626646782669,0.0023301954998103946,0.047817415744277954
2025-10-16,w180_days_buy 0-1,SEQ-D3A-BASE-S42,42698,0.21632493831663957,1.4683258851408723,0.0,0.684309319136065,0.0,0.1526261714594235
2025-10-16,w180_days_buy 0-1,SEQ-D3A-S42,42698,0.21632493831663957,1.468793392926606,0.00046750778573367846,0.6843352851089628,0.000025965972897834533,0.1530221229349532
2025-10-16,w180_days_buy 16+,SEQ-D3A-BASE-S42,43240,0.21907092446511534,1.4193105479593335,0.0,0.7243364364073728,0.0,0.1444165990517421
2025-10-16,w180_days_buy 16+,SEQ-D3A-S42,43240,0.21907092446511534,1.4134625072211842,-0.005848040738149374,0.7294309655892237,0.0050945291818509375,0.14350913305751878
