segment,exp,arm,lam,n,share,mse_share,rmsle,auc,d_vs_BASE,d_vs_BUYCTRL,d_auc_vs_BASE
w180_days_buy 2-15,FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,111441,0.5646041372182451,0.7037285465307305,1.9493199306125586,0.7151707446848322,-0.0010384240102359055,,0.0009443020562365234
w180_days_buy 2-15,FNL-CART-L10-S42,CART,0.1,111441,0.5646041372182451,0.7033412286932479,1.948846052791082,0.7147086418694677,-0.0015123018317124703,-0.0004738778214765649,0.0004821992408720055
w180_days_buy 2-15,FNL-BASER2-L00-S42,BASE-R2,0.0,111441,0.5646041372182451,0.7038634224418397,1.951104681959155,0.7133770737207337,0.0007463273363605971,,-0.0008493689078620248
пересечение 2-15 x 15-60,FNL-BASE-L00-S42,BASE,0.0,45667,0.23136706539196167,0.2987692839864598,1.9853764479362772,0.6756131694718978,0.0,,0.0
пересечение 2-15 x 15-60,FNL-FUNNEL-L30-S42,FUNNEL,0.3,45667,0.23136706539196167,0.298805483234123,1.9853140132199836,0.6760206310938639,-0.00006243471629363562,0.00026090387032384754,0.0004074616219661431
пересечение 2-15 x 15-60,FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,45667,0.23136706539196167,0.2990895499944607,1.9850531093496597,0.6769777641441674,-0.00032333858661748316,,0.0013645946722696811
пересечение 2-15 x 15-60,FNL-CART-L30-S42,CART,0.3,45667,0.23136706539196167,0.29870586853809633,1.9854808001811306,0.6762822226821911,0.00010435224485338956,0.0004276908314708727,0.0006690532102933133
пересечение 2-15 x 15-60,FNL-FUNNEL-L10-S42,FUNNEL,0.1,45667,0.23136706539196167,0.2991641477742239,1.9853461435610589,0.675801885111353,-0.000030304375218337398,0.0012036543550228984,0.00018871563945521697
пересечение 2-15 x 15-60,FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,45667,0.23136706539196167,0.29877353024472536,1.984142489206036,0.6774235067598053,-0.0012339587302412358,,0.0018103372879075819
пересечение 2-15 x 15-60,FNL-CART-L10-S42,CART,0.1,45667,0.23136706539196167,0.2988566527738056,1.9844822508208388,0.6765524401763303,-0.0008941971154383666,0.00033976161480286926,0.0009392707044325599
пересечение 2-15 x 15-60,FNL-BASER2-L00-S42,BASE-R2,0.0,45667,0.23136706539196167,0.29882319563673754,1.985933878355217,0.6746969749765341,0.0005574304189397417,,-0.0009161944953636203
никогда не покупал,FNL-BASE-L00-S42,BASE,0.0,20384,0.103273397879207,0.04771277309544442,1.187541396890634,0.6063782034271661,0.0,,0.0
никогда не покупал,FNL-FUNNEL-L30-S42,FUNNEL,0.3,20384,0.103273397879207,0.04773148057816036,1.187664883348077,0.6080128222025944,0.00012348645744286735,-0.0006037908925049518,0.0016346187754283648
никогда не покупал,FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,20384,0.103273397879207,0.04783802072022001,1.188268674240582,0.6027708723102212,0.0007272773499478191,,-0.0036073311169448896
никогда не покупал,FNL-CART-L30-S42,CART,0.3,20384,0.103273397879207,0.04760771004003061,1.186421467018704,0.6080723031449684,-0.0011199298719299922,-0.0018472072218778113,0.001694099717802322
никогда не покупал,FNL-FUNNEL-L10-S42,FUNNEL,0.1,20384,0.103273397879207,0.0475200937974202,1.1843406728724903,0.6189064457448163,-0.0032007240181437524,-0.005669727395220203,0.012528242317650262
никогда не покупал,FNL-BUYCTRL-L10-S42,BUYCTRL,0.1,20384,0.103273397879207,0.04797167095246262,1.1900104002677105,0.5953766542514698,0.002469003377076451,,-0.01100154917569629
никогда не покупал,FNL-CART-L10-S42,CART,0.1,20384,0.103273397879207,0.047595959876082616,1.1853792910503251,0.6168304237815048,-0.002162105840308959,-0.00463110921738541,0.010452220354338682
никогда не покупал,FNL-BASER2-L00-S42,BASE-R2,0.0,20384,0.103273397879207,0.04757301732252024,1.1860268372459664,0.6072310994531431,-0.0015145596446677345,,0.0008528960259770457
rec_buy 0-7,FNL-BASE-L00-S42,BASE,0.0,66561,0.337224324776192,0.30177370147519844,1.6527490248776548,0.8098537136722628,0.0,,0.0
rec_buy 0-7,FNL-FUNNEL-L30-S42,FUNNEL,0.3,66561,0.337224324776192,0.3014473545315797,1.6517031129547635,0.8095587625151338,-0.001045911922891385,0.002039797360449791,-0.00029495115712896425
rec_buy 0-7,FNL-BUYCTRL-L30-S42,BUYCTRL,0.3,66561,0.337224324776192,0.3010682564104364,1.6496633155943137,0.8105519976117679,-0.003085709283341176,,0.0006982839395051066
rec_buy 0-7,FNL-CART-L30-S42,CART,0.3,66561,0.337224324776192,0.301906059570137,1.653373799887739,0.8098675755601451,0.0006247750100840666,0.0037104842934252424,0.000013861887882327117
rec_buy 0-7,FNL-FUNNEL-L10-S42,FUNNEL,0.1,66561,0.337224324776192,0.3013918498758698,1.6505874469999686,0.8096226531842472,-0.002161577877686227,0.0004069021369725867,-0.00023106048801557755
